 	elle	brasse	la	pâte	</S>
a23	0.157464	0.117786	0.0927151	0.198191	0.433843
a87	0.370626	0.162403	0.117378	0.130828	0.218765
a23	0.426072	0.182531	0.11821	0.113673	0.159514
a79	0.293829	0.123894	0.0905341	0.152781	0.338962
a20	0.15109	0.182099	0.144632	0.200282	0.321896
a30	0.445539	0.28713	0.135043	0.0750824	0.057205
a11	0.617012	0.275182	0.0660078	0.0239889	0.0178092
a75	0.591006	0.268709	0.0851036	0.031913	0.0232687
a41	0.381603	0.345806	0.144012	0.0734132	0.0551656
a35	0.279935	0.351812	0.175254	0.107887	0.0851124
a76	0.2819	0.324376	0.170534	0.118173	0.105018
a94	0.199752	0.237938	0.192355	0.183028	0.186928
a32	0.140681	0.235474	0.239326	0.193937	0.190582
a54	0.0929202	0.209963	0.273895	0.225745	0.197477
a41	0.0609298	0.166962	0.249419	0.250974	0.271716
a94	0.0349516	0.126321	0.272688	0.303165	0.262873
a26	0.0346234	0.0950441	0.211294	0.32087	0.338168
a76	0.0195391	0.059598	0.183276	0.341916	0.39567
a94	0.0273158	0.0738907	0.184513	0.344074	0.370206
a38	0.0222603	0.0590825	0.141333	0.305763	0.471561
a76	0.0198013	0.043746	0.109328	0.255382	0.571743
a94	0.0301565	0.0585938	0.134594	0.284033	0.492622
a58	0.0168405	0.0381104	0.0896851	0.234182	0.621182
a76	0.00887778	0.0194776	0.0573637	0.190554	0.723727
a94	0.0104666	0.0232142	0.0776096	0.222292	0.666417
a58	0.00986594	0.0249304	0.0671426	0.204103	0.693958
a35	0.00386309	0.0108881	0.0454557	0.194511	0.745282
a94	0.00248922	0.00568694	0.0262399	0.149607	0.815977
a58	0.00264532	0.00715932	0.0344402	0.174549	0.781206
a82	0.00214544	0.0061369	0.0335585	0.180474	0.777685
a87	0.00307608	0.00612819	0.0218992	0.142366	0.82653
</S>	0.0154666	0.0168521	0.0314328	0.1518	0.784448
