 	qui	va	mettre	cette	marmite	au	feu	</S>
a66	0.446375	0.312144	0.116199	0.0522141	0.0327846	0.0207364	0.0115738	0.00797309
a87	0.364615	0.254952	0.128437	0.0869443	0.0731732	0.0456599	0.0270048	0.0192142
a23	0.427413	0.289123	0.121936	0.0592454	0.0331456	0.0233645	0.0219057	0.0238666
a57	0.358295	0.205214	0.0977297	0.06495	0.0535247	0.0588168	0.0687334	0.0927367
a87	0.327177	0.195473	0.110353	0.0701169	0.059941	0.0653338	0.0763006	0.0953046
a23	0.402282	0.235267	0.123993	0.0702592	0.0509726	0.0404558	0.036416	0.0403544
a79	0.351558	0.194338	0.095922	0.064306	0.0555821	0.0638034	0.0737433	0.100747
a69	0.348829	0.292399	0.155844	0.0758472	0.0403781	0.0339203	0.0246466	0.0281355
a20	0.224649	0.255263	0.246817	0.151955	0.0587109	0.0321417	0.0165155	0.0139473
a98	0.163466	0.206894	0.249391	0.193079	0.0931927	0.0489789	0.0242857	0.0207135
a6	0.12089	0.183536	0.263858	0.206369	0.104637	0.057207	0.0325474	0.0309555
a5	0.0960687	0.128591	0.229113	0.228602	0.133154	0.0824989	0.0522362	0.0497365
a37	0.10232	0.116899	0.19039	0.210804	0.155431	0.0941725	0.0647176	0.065266
a36	0.08224	0.0898196	0.156471	0.18714	0.173918	0.117286	0.089446	0.103678
a56	0.0436243	0.04679	0.079761	0.12055	0.166219	0.166422	0.160918	0.215716
a96	0.0362358	0.031536	0.0551779	0.0961466	0.174206	0.20746	0.181962	0.217275
a56	0.03165	0.027139	0.04625	0.0824872	0.157986	0.21929	0.203936	0.231262
a34	0.0213638	0.0196935	0.0337343	0.0654701	0.143388	0.235693	0.241052	0.239605
a56	0.00875586	0.00769299	0.012913	0.0263635	0.0678725	0.167046	0.294229	0.415127
a21	0.00569364	0.00494411	0.00779052	0.0156656	0.0407098	0.120427	0.272475	0.532294
a85	0.00169369	0.0016034	0.00232228	0.00467613	0.01733	0.0755775	0.265278	0.631519
a92	0.00146794	0.00149583	0.00256282	0.00479241	0.0118281	0.0472714	0.201546	0.729035
a75	0.000551177	0.000523359	0.000895076	0.00230104	0.00893654	0.0449563	0.184566	0.757271
a6	0.000862116	0.000809581	0.00113687	0.00255991	0.00926932	0.0442653	0.185489	0.755607
a36	0.00160847	0.00146529	0.00202645	0.00416884	0.0128295	0.0542089	0.198995	0.724698
a2	0.00902725	0.0111174	0.0141624	0.0229586	0.0474217	0.114708	0.248476	0.532128
a57	0.0705374	0.065902	0.0694661	0.0848317	0.113013	0.144801	0.183693	0.267755
a87	0.349323	0.19341	0.0858137	0.0649689	0.0650102	0.0696563	0.0763459	0.0954711
a23	0.323474	0.25958	0.136228	0.0811683	0.0554807	0.0462019	0.0440186	0.0538477
a87	0.147335	0.109651	0.0611855	0.0458353	0.047523	0.0864177	0.166761	0.335292
a97	0.0287458	0.0197827	0.0140748	0.0167884	0.0341778	0.094542	0.238853	0.553036
</S>	0.100169	0.0858443	0.0621128	0.0585337	0.0694317	0.104536	0.183115	0.336257
