 	si	un	pneu	reçoit	trop	d'	air	il	explose	</S>
a23	0.201992	0.167103	0.194075	0.201774	0.0785495	0.054557	0.0445519	0.0313414	0.0192964	0.00675924
a87	0.204529	0.161244	0.120746	0.132055	0.0820162	0.0683606	0.0747302	0.0586455	0.064085	0.0335879
a62	0.11394	0.127463	0.0919906	0.128731	0.100989	0.0772281	0.0828741	0.0619033	0.0718503	0.143031
a12	0.283591	0.247956	0.189125	0.0968311	0.0262942	0.0217085	0.0417045	0.0438762	0.0248259	0.0240879
a83	0.289829	0.243183	0.199574	0.130387	0.052276	0.0253497	0.0225705	0.0183052	0.010656	0.00786899
a9	0.250802	0.214115	0.184378	0.170733	0.0714053	0.0306156	0.0286203	0.0222678	0.0154145	0.0116492
a53	0.202936	0.188152	0.17344	0.153482	0.0877349	0.0351976	0.0536475	0.0360763	0.03323	0.0361033
a93	0.148788	0.15522	0.184188	0.215764	0.108839	0.0486072	0.0540561	0.0407724	0.0229814	0.0207839
a90	0.112463	0.154231	0.24921	0.24884	0.0950951	0.0367681	0.0382428	0.0312756	0.0176362	0.016238
a25	0.101305	0.15466	0.251699	0.230792	0.0960135	0.0485989	0.0427415	0.0378579	0.0182022	0.0181295
a7	0.0873884	0.128781	0.18856	0.232185	0.125345	0.0721928	0.0631386	0.0530991	0.0255148	0.0237967
a38	0.07604	0.12975	0.212805	0.2127	0.111376	0.0642781	0.0701405	0.0581253	0.03013	0.0346546
a25	0.0593425	0.094159	0.162038	0.212699	0.123652	0.08522	0.0893734	0.0755862	0.0449559	0.0529743
a94	0.0468432	0.0751695	0.139448	0.184992	0.123488	0.102234	0.120126	0.10478	0.0535629	0.0493557
a11	0.0363692	0.0519651	0.104937	0.192762	0.148104	0.120055	0.136622	0.103206	0.0553195	0.0506603
a31	0.0444297	0.0610245	0.115303	0.215143	0.163709	0.131007	0.118111	0.0806054	0.0395626	0.0311055
a83	0.0521978	0.0639972	0.107827	0.187646	0.139444	0.139622	0.134581	0.0987514	0.0488231	0.0271107
a9	0.0306859	0.0407102	0.0708329	0.134864	0.12551	0.158761	0.187722	0.139809	0.0700629	0.0410421
a30	0.013083	0.0205238	0.0407699	0.0637519	0.10878	0.17156	0.237429	0.185828	0.087572	0.0707021
a93	0.0176744	0.0310521	0.0616095	0.0700513	0.0887529	0.140155	0.192489	0.197586	0.110687	0.0899424
a75	0.0102783	0.0133599	0.0237165	0.0424216	0.0673847	0.153899	0.245923	0.218016	0.124609	0.100393
a18	0.0202403	0.0247096	0.0276725	0.035752	0.0468912	0.123745	0.174161	0.17845	0.130881	0.237498
a75	0.00773001	0.0095125	0.0137313	0.0261888	0.0430527	0.128229	0.23795	0.243953	0.163899	0.125753
a96	0.0292575	0.0321911	0.0295759	0.0367818	0.0476284	0.126495	0.194722	0.210218	0.13306	0.160069
a90	0.012012	0.012547	0.0146652	0.0247366	0.0372997	0.132051	0.203728	0.23083	0.176145	0.155986
a57	0.0155923	0.0165384	0.0165735	0.0206383	0.0326221	0.124323	0.197257	0.247805	0.179013	0.149637
a53	0.00443159	0.0054426	0.00665115	0.00885598	0.0157683	0.0627622	0.144511	0.208688	0.245406	0.297484
a93	0.00957306	0.0100237	0.00947125	0.012898	0.0207717	0.0776668	0.160246	0.233265	0.231165	0.234919
a43	0.00970322	0.0115419	0.0139672	0.0169504	0.0268159	0.086745	0.117963	0.170663	0.198133	0.347518
a11	0.00228043	0.00248973	0.00326773	0.00524392	0.0101043	0.0435871	0.0740407	0.102746	0.158453	0.597787
a4	0.00131806	0.00131603	0.00161971	0.00291604	0.00633708	0.0290973	0.0563174	0.0841065	0.144371	0.672601
a11	0.000803082	0.00084639	0.000988796	0.00176734	0.00423167	0.0221486	0.043558	0.0651963	0.119378	0.741082
a31	0.000573085	0.000528239	0.000555787	0.00113869	0.0035934	0.0185836	0.0348541	0.055034	0.129331	0.755808
a21	0.000577309	0.000573476	0.000632326	0.00123962	0.00289282	0.0129739	0.021009	0.0337975	0.0882408	0.838063
a66	0.000282025	0.000281558	0.000282909	0.000475551	0.00130838	0.0067388	0.0144731	0.0245681	0.0879356	0.863654
a90	0.00239336	0.00207839	0.000875526	0.000844474	0.00289875	0.0158773	0.040916	0.0673599	0.172305	0.694452
a70	0.000194891	0.000205559	0.000234439	0.0004472	0.00121023	0.0053199	0.015806	0.0268329	0.0917415	0.858007
a44	0.000228522	0.000233623	0.000233026	0.00043908	0.00154255	0.0086695	0.0182045	0.0309736	0.0792573	0.860218
a57	0.000216015	0.000222067	0.00022289	0.000416526	0.00139842	0.00809117	0.0164358	0.0275807	0.0827376	0.862679
a9	0.000722948	0.000736397	0.000411025	0.000399479	0.00163472	0.00926845	0.0224481	0.0397626	0.12771	0.796906
a87	0.0254485	0.0199887	0.00539847	0.00436628	0.00811482	0.0312321	0.0649342	0.0962285	0.219478	0.524811
a23	0.106842	0.0848531	0.0236032	0.0186867	0.0323006	0.0539994	0.0884243	0.103423	0.17035	0.317518
a87	0.0307005	0.0201358	0.00788927	0.00694354	0.0179145	0.0400235	0.0716615	0.0840708	0.197675	0.522985
</S>	0.019025	0.0170936	0.00733443	0.00585582	0.0143915	0.0271723	0.0444849	0.0697712	0.145972	0.6489
