 	il	tomba	en	bas	de	l'	arbre	</S>
a23	0.290142	0.166543	0.0856428	0.0807336	0.0610305	0.0724529	0.107405	0.136051
a85	0.33387	0.231692	0.116194	0.0806057	0.04946	0.0465347	0.0582389	0.0834058
a87	0.290012	0.219645	0.08058	0.0602154	0.0450028	0.0596053	0.0888699	0.15607
a23	0.260128	0.234807	0.118512	0.0832627	0.0537473	0.0591818	0.0763519	0.11401
a87	0.235946	0.132221	0.0479366	0.0436641	0.0390814	0.0770311	0.151046	0.273074
a23	0.168857	0.139079	0.0810137	0.0849967	0.0669301	0.0945303	0.143315	0.221278
a20	0.1729	0.123817	0.0579233	0.0567194	0.0501432	0.0882056	0.161372	0.288919
a73	0.438746	0.232911	0.0901921	0.0767307	0.0483749	0.0420068	0.0371362	0.033903
a26	0.28943	0.237142	0.190688	0.147027	0.0625824	0.0325012	0.0224612	0.0181684
a75	0.236654	0.217148	0.203145	0.169399	0.0748071	0.0416214	0.0310221	0.0262033
a94	0.246393	0.240631	0.195996	0.146781	0.0729078	0.0422107	0.0302638	0.0248175
a76	0.223804	0.235689	0.19855	0.159486	0.0778581	0.0422274	0.0325078	0.0298777
a94	0.184831	0.221532	0.206627	0.166283	0.0875337	0.0522224	0.041676	0.0392941
a38	0.164587	0.196943	0.200622	0.175379	0.105978	0.0602949	0.0469131	0.0492828
a24	0.120181	0.159367	0.214135	0.192002	0.115109	0.0679232	0.058927	0.072355
a94	0.0985395	0.132823	0.174631	0.178001	0.152163	0.103269	0.0768012	0.0837721
a98	0.0948425	0.124184	0.169782	0.168322	0.141236	0.103799	0.0885005	0.109335
a71	0.0685621	0.0920721	0.165535	0.187406	0.159885	0.111956	0.0950448	0.11954
a38	0.0524108	0.0658879	0.117305	0.144422	0.167851	0.159184	0.138931	0.154009
a76	0.050886	0.0572491	0.0942953	0.130361	0.167085	0.166878	0.151767	0.181478
a20	0.0374205	0.036804	0.0563277	0.0875216	0.131745	0.158611	0.188555	0.303016
a84	0.0308342	0.0278607	0.0512102	0.0861594	0.141847	0.182126	0.201197	0.278765
a87	0.0222525	0.0214702	0.0459919	0.079084	0.133882	0.171309	0.207976	0.318035
</S>	0.0198358	0.0147248	0.0274814	0.0432679	0.071038	0.134838	0.259521	0.429293
