 	cet	homme	est	encore	jeune	</S>
a66	0.47724	0.20391	0.131349	0.0916033	0.0564624	0.0394347
a87	0.326265	0.224731	0.186166	0.122376	0.0742978	0.0661654
a23	0.603448	0.243756	0.0804761	0.0295502	0.019541	0.0232289
a83	0.573971	0.226192	0.0859438	0.0373789	0.0308658	0.0456491
a38	0.49662	0.247398	0.116872	0.055483	0.0413697	0.0422568
a54	0.410882	0.279854	0.145519	0.0748117	0.0497345	0.0391986
a47	0.203289	0.245205	0.238818	0.17066	0.0892296	0.052798
a6	0.117395	0.17459	0.227719	0.222712	0.149495	0.10809
a36	0.104856	0.167103	0.223411	0.206245	0.163022	0.135362
a43	0.0861188	0.114168	0.155013	0.191011	0.210361	0.243328
a75	0.0714423	0.0799227	0.112597	0.177672	0.231067	0.3273
a47	0.0266816	0.0454632	0.120259	0.259202	0.271534	0.27686
a36	0.0152661	0.0193107	0.0454073	0.153491	0.294935	0.47159
a11	0.0123282	0.00944498	0.0117194	0.0453952	0.204751	0.716361
a47	0.00790292	0.00726637	0.0102151	0.0412772	0.19239	0.740948
a62	0.00691483	0.00698406	0.0101816	0.035031	0.161419	0.77947
a88	0.00668171	0.00788151	0.0152882	0.0623601	0.218963	0.688825
a71	0.00363406	0.00447923	0.00923407	0.0498941	0.213539	0.719219
a9	0.0164055	0.0204474	0.0303898	0.0819008	0.238437	0.61242
a87	0.117245	0.086414	0.0896518	0.12683	0.205449	0.37441
a23	0.405823	0.190127	0.116248	0.0954536	0.090858	0.10149
a87	0.195111	0.104145	0.0781866	0.10738	0.18165	0.333527
</S>	0.0236295	0.0154339	0.0183929	0.0560109	0.203769	0.682764
