 	elle	mit	la	sauce	dans	un	bol	</S>
a23	0.285738	0.24982	0.121123	0.064045	0.0519169	0.0477425	0.0710192	0.108595
a87	0.245996	0.196581	0.131407	0.0881817	0.085828	0.0621771	0.0764072	0.113422
a23	0.195931	0.181304	0.165357	0.124209	0.111038	0.0726835	0.0653007	0.0841775
a20	0.155486	0.108096	0.106988	0.105637	0.110294	0.106784	0.12077	0.185945
a84	0.301402	0.266213	0.17816	0.103016	0.0597946	0.0421141	0.0341506	0.0151504
a38	0.194774	0.200092	0.194279	0.217535	0.137137	0.0396539	0.0118708	0.00465909
a41	0.16056	0.182131	0.186678	0.240905	0.157441	0.0495395	0.0154564	0.00728904
a18	0.164411	0.195917	0.194865	0.221647	0.13893	0.047947	0.0210953	0.0151884
a24	0.143184	0.157352	0.157564	0.26559	0.171675	0.0608428	0.0275442	0.0162476
a88	0.14688	0.148723	0.135439	0.242314	0.163014	0.0799808	0.0509988	0.0326504
a71	0.143884	0.132986	0.116063	0.227617	0.175629	0.0935885	0.0634161	0.046816
a62	0.124194	0.113166	0.0991877	0.187839	0.165955	0.112538	0.101284	0.0958362
a41	0.1432	0.130859	0.104939	0.184776	0.152369	0.105535	0.0952579	0.0830649
a98	0.157437	0.158901	0.105069	0.124563	0.109198	0.105854	0.118155	0.120823
a41	0.125883	0.129639	0.0841644	0.0933492	0.0988564	0.11585	0.140864	0.211395
a32	0.0593719	0.0663017	0.0465454	0.0634023	0.0932874	0.154408	0.226258	0.290425
a75	0.0489633	0.0574191	0.0339484	0.0351272	0.0526007	0.131393	0.258863	0.381686
a41	0.0345936	0.0389793	0.0238535	0.0335074	0.0569829	0.140405	0.229473	0.442205
a56	0.03016	0.0354766	0.0222971	0.0293516	0.0439089	0.132213	0.235944	0.470649
a61	0.0515687	0.0569136	0.0362473	0.0408782	0.0444978	0.0986207	0.180588	0.490686
a62	0.0362845	0.0345098	0.0223708	0.0324356	0.0376072	0.078067	0.15844	0.600285
a24	0.0440808	0.0413124	0.0231244	0.0287329	0.0306522	0.0689187	0.151401	0.611778
a31	0.0099334	0.00958685	0.00562729	0.0054563	0.00641511	0.0222759	0.0743598	0.866345
a88	0.0215533	0.0219973	0.0138386	0.0129477	0.0146565	0.0372676	0.0931837	0.784555
a71	0.0107875	0.0101533	0.00571667	0.00578062	0.00703255	0.0247265	0.0766624	0.85914
a62	0.00899096	0.00890052	0.00457882	0.00399623	0.00473012	0.0176261	0.0547073	0.89647
a47	0.00994497	0.00958771	0.00495573	0.0040862	0.00443736	0.0168591	0.0542458	0.895883
a21	0.00575682	0.00540907	0.00283264	0.00290721	0.00362293	0.0154855	0.0535095	0.910476
a41	0.00382864	0.00370874	0.00188246	0.00204354	0.00279949	0.0129748	0.0568921	0.91587
a27	0.00341886	0.00305964	0.00144297	0.00176029	0.00302252	0.0211838	0.0967861	0.869326
a82	0.00325311	0.00338196	0.00170638	0.00173171	0.00248023	0.0165349	0.0583125	0.912599
a87	0.00739455	0.00618141	0.00290991	0.00272442	0.00519901	0.0251885	0.0671619	0.88324
</S>	0.00899444	0.00902149	0.00573069	0.00549297	0.0132302	0.0584095	0.120508	0.778613
