 	j'	ai	subi	une	entorse	au	bras	</S>
a57	0.309942	0.240091	0.170058	0.123069	0.0779106	0.0358271	0.0226581	0.0204439
a10	0.442699	0.22864	0.102118	0.0955045	0.0460654	0.0292299	0.0242618	0.031481
a87	0.42641	0.227894	0.144648	0.0772198	0.0284147	0.023152	0.0285233	0.0437388
a23	0.432925	0.243254	0.1406	0.0740501	0.0251805	0.0190289	0.0238287	0.0411323
a83	0.473925	0.20063	0.0978736	0.0496381	0.0271628	0.0260738	0.0434935	0.0812037
a54	0.278251	0.216191	0.168066	0.102998	0.0570667	0.0441759	0.0588715	0.0743801
a36	0.172786	0.184987	0.241201	0.187034	0.0947762	0.0461685	0.039916	0.0331321
a5	0.119552	0.146609	0.229731	0.186939	0.129874	0.0710994	0.0632052	0.0529902
a37	0.111371	0.158536	0.244931	0.176665	0.1085	0.0641207	0.0634305	0.0724467
a90	0.102701	0.137081	0.2147	0.156291	0.113462	0.0805236	0.0868797	0.108361
a15	0.0993618	0.136562	0.208343	0.189227	0.129428	0.0806482	0.0744623	0.0819677
a79	0.0545899	0.0802139	0.160974	0.187225	0.161757	0.115277	0.116981	0.122983
a12	0.0313918	0.041329	0.0877872	0.124474	0.166769	0.149541	0.181814	0.216894
a96	0.01585	0.0168479	0.0360429	0.0662607	0.132832	0.167737	0.24394	0.320489
a88	0.00909669	0.00861356	0.0180781	0.0393797	0.129145	0.202466	0.269361	0.32386
a0	0.00307734	0.00258603	0.00508765	0.0125262	0.0704723	0.204132	0.323818	0.378301
a38	0.00140251	0.00102221	0.00145001	0.00355464	0.0253574	0.128399	0.323398	0.515416
a79	0.00109011	0.000837614	0.00120023	0.0038851	0.025135	0.11188	0.280045	0.575927
a44	9.53556e-05	7.4772e-05	0.000133906	0.000597284	0.00782495	0.0602408	0.259126	0.671907
a58	0.000142288	0.000113491	0.000227742	0.00102319	0.0111616	0.0704668	0.267143	0.649722
a82	0.000384137	0.000326986	0.000569854	0.00143874	0.00869954	0.0551793	0.229957	0.703444
a87	0.0965833	0.0437371	0.030232	0.0287572	0.0459297	0.0879828	0.20206	0.464718
a23	0.394264	0.180478	0.0854849	0.0624586	0.0619705	0.0594189	0.0641239	0.0918015
a87	0.168349	0.0686648	0.0458191	0.051368	0.0838067	0.129739	0.197875	0.254378
</S>	0.00899973	0.00456523	0.00578042	0.0110766	0.0396605	0.122324	0.312583	0.49501
