 	le	sang	de	la	viande	s'	est	coagulé	dans	la	marmite	</S>
a66	0.132367	0.122713	0.129798	0.138168	0.17843	0.125618	0.0778058	0.0392255	0.0217776	0.0141623	0.0111996	0.00873565
a87	0.144508	0.121294	0.135489	0.125202	0.115347	0.0807828	0.0502505	0.0311277	0.0411889	0.0420977	0.0542861	0.0584263
a40	0.0882528	0.0610238	0.0560589	0.0627773	0.0783338	0.105706	0.0925271	0.119883	0.106245	0.0923278	0.0769861	0.0598786
a37	0.161109	0.0881053	0.0681696	0.0604808	0.0655257	0.080743	0.0653597	0.11071	0.0949185	0.0817091	0.0692154	0.053954
a79	0.325213	0.218808	0.137067	0.0764753	0.0473738	0.0286685	0.0194756	0.016518	0.0293668	0.0336478	0.0365648	0.0308206
a98	0.321924	0.197806	0.126616	0.0701247	0.0453767	0.0267189	0.0217434	0.0210708	0.0339728	0.0401173	0.0515136	0.0430154
a14	0.287485	0.206462	0.157232	0.0934124	0.0637685	0.0333269	0.0259771	0.0181885	0.0234056	0.0247686	0.032354	0.0336189
a85	0.157382	0.173749	0.173187	0.132253	0.105567	0.0614232	0.0457135	0.0283201	0.030449	0.0278829	0.0307554	0.0333187
a21	0.219114	0.196331	0.155681	0.101029	0.0673244	0.0418464	0.0327671	0.0229419	0.026372	0.0284716	0.0439394	0.0641833
a85	0.147787	0.148669	0.147127	0.115164	0.103518	0.0686785	0.058135	0.0339336	0.0331945	0.035178	0.0473857	0.0612295
a92	0.113632	0.146921	0.140948	0.107572	0.0825207	0.0580519	0.0488445	0.0441167	0.0472054	0.0474363	0.065389	0.097363
a98	0.070189	0.0878351	0.0966424	0.0913313	0.096125	0.0783202	0.0774625	0.0654134	0.063438	0.069512	0.0882923	0.115439
a47	0.0315409	0.0629401	0.085538	0.0938518	0.0982884	0.0856538	0.08441	0.0794896	0.0742862	0.075766	0.0960148	0.13222
a37	0.00947894	0.0222913	0.0329027	0.0474288	0.064755	0.0755325	0.0856184	0.0863719	0.0793161	0.104366	0.152139	0.2398
a75	0.0106535	0.0190752	0.0260145	0.0411557	0.0661732	0.0799098	0.0993192	0.103953	0.0816682	0.102069	0.145755	0.224253
a47	0.00645729	0.011359	0.0162465	0.027965	0.0476597	0.0628462	0.0902195	0.129041	0.119309	0.11769	0.147179	0.224028
a92	0.00353517	0.00666949	0.00969573	0.0165992	0.0308932	0.0475708	0.0759608	0.132057	0.126421	0.135647	0.166605	0.248346
a98	0.00296577	0.00533668	0.00769654	0.0137242	0.0248769	0.0397649	0.0691161	0.139513	0.142804	0.138931	0.168509	0.246762
a15	0.00206428	0.00352161	0.00526067	0.00883401	0.0166224	0.0292227	0.0550432	0.117187	0.147351	0.151553	0.185305	0.278035
a47	0.00147283	0.00186189	0.00222164	0.00340606	0.00561062	0.0119854	0.0225314	0.0791008	0.092717	0.147923	0.258796	0.372374
a0	0.0013718	0.00140815	0.0016609	0.00244863	0.00404503	0.0113052	0.0212799	0.0665275	0.0974067	0.172752	0.276544	0.34325
a75	0.00308751	0.00260843	0.00251612	0.00285026	0.00368729	0.00961876	0.0181025	0.0595119	0.0859856	0.162288	0.27096	0.378784
a92	0.000911846	0.000952252	0.0011682	0.0015537	0.00231582	0.0050377	0.0142755	0.0645061	0.10319	0.156222	0.264653	0.385215
a37	0.000338853	0.000442353	0.000582948	0.00085636	0.00146478	0.0033497	0.00962498	0.0385062	0.0937092	0.148792	0.267128	0.435205
a56	0.000429259	0.000581662	0.000699704	0.000918211	0.00124709	0.00279351	0.00758397	0.0349603	0.0889931	0.154577	0.284118	0.423098
a96	0.000470524	0.000660118	0.000842475	0.00111597	0.00158352	0.00293231	0.00823934	0.0311307	0.0818055	0.147904	0.279743	0.443573
a66	0.000544514	0.000654556	0.00084378	0.00112972	0.00176485	0.00415987	0.0102287	0.0438315	0.0841718	0.153933	0.277364	0.421373
a9	0.00405198	0.00338479	0.00392608	0.00450148	0.00654871	0.0121047	0.0228566	0.0730063	0.0954209	0.161563	0.245079	0.367557
a97	0.0390969	0.0280162	0.0219432	0.0199018	0.0213861	0.033445	0.0456027	0.122923	0.10575	0.137044	0.174545	0.250347
a87	0.0608342	0.0381044	0.0315207	0.0311265	0.0359716	0.0518306	0.0623919	0.14006	0.128411	0.139845	0.134496	0.145408
a23	0.0339229	0.0220338	0.0185798	0.0189373	0.0229953	0.0382615	0.0649925	0.13899	0.153213	0.163697	0.161104	0.163273
a99	0.00945656	0.00466048	0.0033438	0.00311001	0.00276775	0.00479808	0.00790515	0.0260815	0.099161	0.206002	0.300239	0.332475
a97	0.00928142	0.00492425	0.00423299	0.00503026	0.00544289	0.00910108	0.0105154	0.0409733	0.102786	0.197612	0.276034	0.334066
</S>	0.00670471	0.00439805	0.0045919	0.0060059	0.00699099	0.0103486	0.0116633	0.0418018	0.0951338	0.187443	0.272841	0.352076
