 	j'	ai	six	poules	</S>
a15	0.633031	0.21011	0.0819553	0.0465606	0.0283436
a66	0.813009	0.133637	0.0255149	0.015873	0.0119658
a87	0.778133	0.158769	0.0277544	0.0176302	0.0177139
a23	0.677007	0.24672	0.0453063	0.0158776	0.0150889
a99	0.658398	0.174586	0.0662468	0.0473977	0.0533715
a50	0.483589	0.228231	0.105543	0.0889476	0.0936899
a88	0.419211	0.303003	0.126039	0.0804318	0.0713158
a62	0.285906	0.322199	0.189287	0.112527	0.0900806
a75	0.195306	0.296866	0.221963	0.163996	0.12187
a6	0.11347	0.18368	0.231487	0.270107	0.201256
a36	0.0747377	0.142626	0.191233	0.322687	0.268716
a56	0.0743531	0.0998035	0.109577	0.282904	0.433362
a11	0.116731	0.123842	0.137626	0.256661	0.36514
a93	0.0716899	0.0668354	0.175755	0.271269	0.41445
a4	0.0390719	0.0372872	0.158839	0.301216	0.463586
a13	0.0175454	0.017776	0.111243	0.308907	0.544529
a4	0.00507871	0.00448122	0.036424	0.2024	0.751617
a20	0.00570567	0.00617847	0.0310231	0.1829	0.774193
a7	0.00108454	0.00171531	0.0210826	0.171028	0.80509
a84	0.000897368	0.00150589	0.0159121	0.147932	0.833752
a87	0.250354	0.0871317	0.105991	0.175957	0.380567
a23	0.597649	0.175478	0.0749752	0.0731893	0.0787085
a87	0.227007	0.0801985	0.0959304	0.249268	0.347596
</S>	0.0401895	0.0183651	0.0548919	0.305205	0.581348
