 	nous	sommes	sur	le	point	de	partir	</S>
a10	0.358733	0.300841	0.0747731	0.065956	0.0605199	0.0500939	0.050231	0.0388516
a38	0.277251	0.173594	0.0924121	0.0852162	0.0794033	0.0982302	0.113403	0.0804904
a47	0.193362	0.211156	0.205459	0.168857	0.0748003	0.0391302	0.0451593	0.0620762
a0	0.28295	0.191642	0.183953	0.157652	0.0622449	0.0415811	0.0393788	0.0405981
a21	0.173653	0.132342	0.20398	0.249232	0.106461	0.0626546	0.0406695	0.0310078
a34	0.332022	0.269775	0.21229	0.113499	0.032252	0.0192646	0.0123233	0.00857399
a21	0.209755	0.167778	0.190812	0.177895	0.0983232	0.0675541	0.0516781	0.0362042
a96	0.115168	0.0765274	0.122051	0.163669	0.165222	0.151928	0.120865	0.0845702
a18	0.0147848	0.00762867	0.0291022	0.0759089	0.159704	0.237692	0.248786	0.226394
a11	0.00928145	0.00452799	0.01125	0.0346284	0.0809934	0.209321	0.298351	0.351647
a90	0.00208454	0.000890871	0.00179878	0.00577057	0.0258499	0.134956	0.294	0.534649
a7	0.0022156	0.000771473	0.00259445	0.00942	0.0446979	0.164951	0.288123	0.487227
a84	0.000162702	4.63767e-05	0.000193802	0.000846065	0.00641297	0.0688985	0.275665	0.647775
a87	0.0039502	0.00152335	0.00290005	0.00502792	0.0154646	0.0711281	0.240934	0.659072
a23	0.0666809	0.0387142	0.0371863	0.0425894	0.0730809	0.171314	0.274517	0.295917
a87	0.0108897	0.00544779	0.0090379	0.0121764	0.0463293	0.218574	0.343079	0.354466
a23	0.00512737	0.00286122	0.00462144	0.00777405	0.0440157	0.174141	0.324793	0.436666
a87	0.00331605	0.00203862	0.00368598	0.00608366	0.0342066	0.170422	0.333822	0.446424
</S>	0.0038397	0.00207595	0.00427106	0.00847033	0.0445688	0.171899	0.317467	0.447408
