 	allume	la	radio	</S>
a23	0.697732	0.154563	0.105078	0.0426264
a83	0.649369	0.234783	0.0727465	0.0431018
a90	0.689526	0.182956	0.0692252	0.0582925
a15	0.665974	0.22669	0.0763445	0.0309911
a94	0.492163	0.330245	0.134304	0.0432883
a76	0.448744	0.355413	0.12105	0.0747931
a98	0.357713	0.36165	0.18339	0.0972469
a92	0.377577	0.309771	0.176379	0.136273
a43	0.252715	0.318508	0.211733	0.217045
a75	0.199996	0.300887	0.204291	0.294826
a47	0.0999641	0.142299	0.239646	0.518091
a7	0.133557	0.138551	0.21523	0.512662
a2	0.0940317	0.10796	0.229073	0.568935
a38	0.0419716	0.0740182	0.18434	0.69967
a70	0.0317685	0.0421777	0.176277	0.749777
a0	0.0158437	0.0218713	0.103401	0.858884
a75	0.0104247	0.0126188	0.0798664	0.89709
a47	0.0168849	0.0229934	0.124377	0.835745
a36	0.0409847	0.0404162	0.145431	0.773168
a2	0.027408	0.0373481	0.160227	0.775016
a57	0.134713	0.0884533	0.179609	0.597225
a87	0.570348	0.154847	0.134961	0.139844
a23	0.479925	0.18111	0.215542	0.123423
a97	0.118623	0.0526553	0.184283	0.644439
a99	0.0385826	0.0322697	0.108063	0.821085
</S>	0.0581476	0.0407292	0.103419	0.797704
