 	la	manière	dont	mon	enfant	s'	est	noyé	est	mystérieuse	</S>
a66	0.276185	0.178355	0.112533	0.113041	0.118303	0.0958054	0.0508863	0.0222175	0.0130567	0.00834209	0.0112757
a87	0.324809	0.248662	0.144945	0.0935983	0.0719749	0.0522773	0.0213869	0.0110747	0.00772584	0.00873805	0.0148073
a23	0.352772	0.34662	0.158752	0.0490918	0.0304319	0.0187343	0.00900663	0.00615008	0.00604761	0.00852313	0.0138696
a50	0.258115	0.393521	0.207968	0.059494	0.0312684	0.0144142	0.0056793	0.00421194	0.00488035	0.00785317	0.0125947
a62	0.350669	0.300478	0.181473	0.0688623	0.0374827	0.020781	0.00951579	0.00668996	0.0061572	0.00716566	0.0107253
a31	0.440759	0.312552	0.161972	0.0427436	0.0166465	0.00913644	0.00398269	0.00248002	0.00241571	0.00305061	0.00426236
a24	0.201805	0.340973	0.278653	0.0956287	0.0391182	0.02006	0.00749921	0.00408144	0.00383135	0.00389669	0.00445356
a21	0.112143	0.233786	0.300466	0.171887	0.0788255	0.0473549	0.019154	0.00931692	0.0081908	0.0088148	0.0100605
a47	0.104354	0.188159	0.263216	0.212285	0.108408	0.0601761	0.023304	0.0106423	0.0096413	0.00909057	0.0107231
a31	0.105375	0.163249	0.250758	0.205863	0.114589	0.0673218	0.0297838	0.0148678	0.0143471	0.0149352	0.01891
a47	0.0963512	0.143815	0.211658	0.20515	0.137889	0.094779	0.0467694	0.0206141	0.0155333	0.0137451	0.0136956
a61	0.062011	0.0879126	0.160806	0.188991	0.163133	0.12562	0.0801069	0.0448286	0.0334002	0.0283273	0.0248631
a75	0.0369988	0.0495583	0.0918231	0.188131	0.198117	0.170434	0.108694	0.0545614	0.0380328	0.0306858	0.0329648
a98	0.0148235	0.0165771	0.0319969	0.0920389	0.123155	0.12304	0.149819	0.137773	0.116485	0.100805	0.0934872
a6	0.00871068	0.0097246	0.0240236	0.0887323	0.127155	0.132424	0.161024	0.136917	0.113632	0.103318	0.0943393
a98	0.00704128	0.00873641	0.0155554	0.0573427	0.0979144	0.119626	0.171587	0.159946	0.129056	0.123926	0.109269
a85	0.00607625	0.00591664	0.00871458	0.0286063	0.0573667	0.0813736	0.156828	0.167337	0.164271	0.168263	0.155248
a47	0.00314462	0.00283309	0.00443308	0.0171412	0.0379618	0.0602968	0.140607	0.165755	0.181108	0.20713	0.17959
a36	0.00993783	0.00700029	0.00599516	0.0135523	0.0245288	0.0388128	0.106072	0.133985	0.137036	0.20969	0.31339
a2	0.0263692	0.0264521	0.0279034	0.0347123	0.0366213	0.0381338	0.0685707	0.0904024	0.0982458	0.186247	0.366342
a61	0.018162	0.0176623	0.014683	0.0188813	0.0219226	0.0191121	0.0322219	0.0548881	0.0981861	0.27262	0.431661
a12	0.0135014	0.0132826	0.0124281	0.0201365	0.0256471	0.0252377	0.0441226	0.0766391	0.124898	0.208282	0.435825
a21	0.00265731	0.00172876	0.00250282	0.00718001	0.0125082	0.0160029	0.0444504	0.102558	0.185368	0.269789	0.355255
a85	0.00210617	0.00155846	0.00244107	0.00632602	0.00992265	0.0110999	0.0271582	0.065581	0.155678	0.289339	0.428789
a47	0.000421349	0.000347792	0.000583746	0.00182156	0.00331351	0.00430291	0.0155265	0.0468142	0.110701	0.29291	0.523258
a37	0.000955125	0.000697946	0.000942221	0.00277235	0.0045204	0.0058335	0.0187301	0.0507119	0.128753	0.324856	0.461227
a79	0.0013326	0.00112226	0.00128464	0.00285604	0.00351901	0.00363232	0.0110278	0.0346601	0.0988017	0.281064	0.560699
a54	0.00110748	0.000971678	0.00120554	0.00297181	0.00418858	0.00441365	0.0134702	0.0404095	0.103974	0.296473	0.530814
a79	0.000757065	0.000823194	0.00125434	0.00349093	0.00458066	0.00505579	0.0145792	0.037896	0.0921745	0.297131	0.542257
a37	0.000533818	0.00050339	0.000787299	0.00260852	0.00431725	0.00566581	0.0185302	0.0479311	0.10166	0.30423	0.513233
a92	0.000820336	0.000670897	0.00104076	0.00316115	0.00515706	0.00684973	0.0209873	0.0509344	0.115918	0.32213	0.472331
a37	0.000593485	0.000503249	0.000727909	0.00186664	0.00283634	0.0036299	0.0116859	0.0334198	0.0832588	0.284646	0.576832
a88	0.00109709	0.00110309	0.002064	0.00527402	0.00702237	0.00843181	0.0211361	0.0487846	0.113608	0.308441	0.483037
a71	0.00194538	0.00205835	0.00274004	0.00465367	0.00457835	0.00522015	0.0129318	0.032077	0.10245	0.315392	0.515953
a9	0.013694	0.00849682	0.00838277	0.01257	0.0130501	0.0181458	0.0440549	0.101756	0.182388	0.293504	0.303957
a87	0.118855	0.0610103	0.0306859	0.0384269	0.0417076	0.0623158	0.107988	0.15001	0.141551	0.137011	0.110439
a23	0.248551	0.171338	0.0998137	0.0694328	0.0634641	0.0692123	0.0695115	0.0643547	0.0510241	0.0493286	0.04397
a87	0.0903592	0.0775224	0.0429931	0.0335789	0.0339954	0.0368999	0.0510616	0.0689691	0.0898718	0.191958	0.28279
</S>	0.0116232	0.011114	0.00756615	0.00988547	0.0134635	0.0167146	0.037619	0.0703335	0.101754	0.264411	0.455516
