 	il	est	brimé	par	son	chef	</S>
a23	0.422245	0.215195	0.107799	0.0503066	0.0482379	0.078856	0.0773614
a85	0.443022	0.209525	0.106112	0.075704	0.0503494	0.0555059	0.0597821
a87	0.289506	0.163833	0.0982825	0.0933695	0.0812054	0.119884	0.153919
a23	0.250273	0.21483	0.16038	0.10587	0.0685748	0.083835	0.116236
a79	0.115909	0.113139	0.151134	0.125488	0.0885942	0.189502	0.216233
a58	0.282311	0.218151	0.193971	0.0971275	0.0539167	0.0718095	0.0827133
a82	0.27671	0.297866	0.247683	0.0975752	0.0366119	0.0229223	0.0206307
a53	0.187707	0.213912	0.310744	0.135635	0.0601961	0.0443288	0.0474756
a20	0.282435	0.257306	0.181407	0.102235	0.0681418	0.0511477	0.0573287
a94	0.331798	0.271981	0.150151	0.0872981	0.0646558	0.0506043	0.0435113
a38	0.292853	0.251555	0.185169	0.113617	0.0711055	0.0463763	0.0393255
a35	0.229741	0.195496	0.191627	0.138279	0.10279	0.0748765	0.0671909
a43	0.196281	0.146364	0.157439	0.155609	0.143653	0.110523	0.0901312
a11	0.0859626	0.0592616	0.0863917	0.120513	0.17858	0.232161	0.23713
a24	0.0573663	0.0357889	0.0576536	0.0827981	0.148781	0.274439	0.343173
a41	0.032402	0.0214652	0.02981	0.0594838	0.143939	0.29507	0.41783
a94	0.0099479	0.00663286	0.0112937	0.0251438	0.095478	0.314437	0.537067
a76	0.00742686	0.00470776	0.0077796	0.0163822	0.0699387	0.292405	0.60136
a69	0.00406356	0.00288834	0.00824048	0.0187548	0.0790536	0.325968	0.561031
a58	0.00475647	0.00369062	0.0098565	0.020662	0.0734038	0.274071	0.61356
a38	0.00164314	0.000942171	0.00268681	0.0062601	0.0300941	0.240954	0.71742
a41	0.00178636	0.000907493	0.00268305	0.0074913	0.0342646	0.258426	0.694441
a32	0.00491013	0.00285477	0.00656985	0.0137999	0.0472569	0.27445	0.650159
a25	0.00499182	0.00282844	0.00732118	0.0145593	0.0481241	0.254845	0.66733
a87	0.00297545	0.00165959	0.00392356	0.00792426	0.0321789	0.241252	0.710086
</S>	0.00779922	0.00460669	0.00998189	0.0189835	0.0638393	0.271097	0.623692
