 	cet	homme	a	mis	un	gris-gris	dans	son	safoutier	</S>
a66	0.270206	0.135713	0.0989176	0.104162	0.103101	0.0808806	0.0734993	0.0493958	0.0395359	0.0445887
a87	0.265469	0.179528	0.141622	0.101944	0.0723343	0.0558388	0.0465016	0.040189	0.0406149	0.0559592
a23	0.442438	0.268912	0.128056	0.0413334	0.0182216	0.0125461	0.0116212	0.016367	0.0227227	0.0377826
a38	0.331787	0.258065	0.16142	0.0565465	0.0331668	0.0233542	0.0251454	0.0270955	0.0328785	0.0505406
a94	0.267365	0.204611	0.126206	0.0677158	0.0492557	0.0409605	0.0527708	0.0506349	0.0605403	0.0799401
a93	0.237124	0.20834	0.160478	0.107087	0.0698626	0.0412685	0.0442438	0.0398967	0.045033	0.0466667
a56	0.182002	0.214872	0.215707	0.143253	0.0964047	0.0475508	0.0309645	0.0256621	0.0225864	0.0209981
a93	0.117636	0.161918	0.196259	0.18534	0.145718	0.0706492	0.0344011	0.0297794	0.0287981	0.0295016
a90	0.0874207	0.126907	0.173831	0.196876	0.173186	0.0898604	0.0427903	0.0366887	0.0367567	0.0356842
a69	0.0768594	0.100735	0.14213	0.192559	0.188359	0.117218	0.0588054	0.0442512	0.0408569	0.0382255
a20	0.0496662	0.0658414	0.0955052	0.155463	0.172562	0.1512	0.0949937	0.0717648	0.0734575	0.0695471
a47	0.0284024	0.0334492	0.0467895	0.0946306	0.131551	0.170395	0.151123	0.120246	0.115764	0.107649
a37	0.0158939	0.0202977	0.0290898	0.0655108	0.0893322	0.10033	0.106152	0.11809	0.195661	0.259642
a43	0.0355043	0.0360759	0.0419964	0.0761824	0.108234	0.115197	0.0968667	0.105304	0.159574	0.225065
a11	0.0379441	0.0355505	0.0366611	0.061173	0.087086	0.112303	0.112844	0.118801	0.158751	0.238887
a75	0.0412277	0.0338883	0.0315961	0.0441202	0.0635656	0.0834269	0.0916608	0.118284	0.17214	0.320091
a98	0.0125279	0.0141114	0.0173727	0.031859	0.044381	0.0661953	0.108093	0.18193	0.229331	0.294199
a73	0.00606235	0.00715229	0.00882272	0.018481	0.0274499	0.0580176	0.109236	0.186218	0.238712	0.339847
a69	0.00510306	0.00469306	0.0045064	0.00747605	0.0125834	0.0299181	0.0656329	0.141369	0.268239	0.460479
a32	0.0149048	0.0127458	0.0109037	0.0137043	0.0166851	0.034479	0.0732007	0.157762	0.259868	0.405747
a75	0.00311564	0.00245639	0.00211509	0.00330576	0.00410668	0.0132206	0.0376163	0.122521	0.296617	0.514926
a47	0.00325957	0.0027965	0.00267547	0.0043629	0.00625274	0.0166332	0.0372588	0.109074	0.282524	0.535163
a15	0.000843226	0.00072217	0.000688241	0.00111055	0.00161745	0.00728941	0.0242991	0.0976184	0.318372	0.547439
a44	0.00124238	0.00106826	0.000978771	0.00153856	0.00190398	0.00780076	0.0331426	0.126268	0.325208	0.500848
a7	0.00144901	0.00131567	0.00127629	0.00199208	0.0020276	0.00699453	0.0246781	0.0959657	0.301132	0.563169
a2	0.00148367	0.00127577	0.00133469	0.00222071	0.00223951	0.00792221	0.0365268	0.116256	0.292786	0.537954
a57	0.0625162	0.040302	0.0334152	0.0427181	0.0348439	0.0503779	0.0758108	0.114382	0.197972	0.347662
a87	0.188058	0.123829	0.0838177	0.0653159	0.046461	0.0563553	0.0726819	0.0870462	0.107319	0.169117
a23	0.239143	0.160835	0.104968	0.0728199	0.0436228	0.0408632	0.0553558	0.0712095	0.0911495	0.120033
a87	0.179494	0.114632	0.0717147	0.0513958	0.0328633	0.0450006	0.0649654	0.106521	0.163	0.170413
</S>	0.0259008	0.0225797	0.0199231	0.0215025	0.0192958	0.0330685	0.0594823	0.133164	0.291039	0.374044
