 	l'	albinos	n'	aime	pas	se	promener	sous	le	soleil	</S>
a66	0.228488	0.163432	0.228114	0.19725	0.0740468	0.0387543	0.0212487	0.0137859	0.0120147	0.0122698	0.0105956
a87	0.194761	0.153428	0.166489	0.123353	0.0732787	0.0466955	0.0283614	0.0325176	0.0425916	0.0605352	0.0779895
a23	0.390608	0.287325	0.128205	0.0511376	0.0245885	0.0163758	0.00936194	0.0101993	0.0146478	0.0250174	0.0425338
a87	0.392375	0.325322	0.129476	0.0459774	0.0219893	0.0145021	0.00958125	0.00867252	0.0101748	0.0142129	0.0277167
a23	0.423516	0.315402	0.118744	0.042897	0.0210993	0.0142843	0.00934097	0.00791415	0.00947485	0.0130971	0.02423
a50	0.397006	0.27796	0.131846	0.0505637	0.0262671	0.0187854	0.0135633	0.0107266	0.0128668	0.0193195	0.0410955
a62	0.304477	0.280799	0.206025	0.102111	0.0375029	0.0222802	0.013074	0.00825199	0.00748826	0.00758644	0.0104042
a34	0.311173	0.311435	0.175923	0.0905306	0.0381185	0.0207761	0.0135389	0.0105608	0.00883033	0.00842167	0.0106914
a43	0.240313	0.30131	0.198696	0.121182	0.0476896	0.0242497	0.0170571	0.0132633	0.0106058	0.01111	0.0145235
a56	0.187542	0.241651	0.181695	0.125702	0.0595081	0.0390496	0.0351878	0.0329198	0.0292836	0.0301169	0.0373439
a75	0.155972	0.218844	0.204992	0.166922	0.0736704	0.0410174	0.0337948	0.0276028	0.0229411	0.0242014	0.0300423
a85	0.09806	0.134626	0.161523	0.169585	0.109792	0.0709812	0.0621356	0.0557051	0.0446869	0.0429808	0.0499243
a47	0.078988	0.104583	0.132438	0.14547	0.114268	0.08038	0.0806816	0.0830032	0.0647163	0.0563623	0.05911
a5	0.0634317	0.0809718	0.126492	0.142164	0.110358	0.0798332	0.0853453	0.087856	0.0741036	0.0692792	0.0801647
a12	0.0682833	0.0867217	0.128234	0.1382	0.10422	0.0703607	0.072116	0.0843426	0.0760414	0.0784888	0.092992
a62	0.0425371	0.0484148	0.0793244	0.108826	0.119565	0.099351	0.101407	0.114842	0.0955399	0.0888767	0.101316
a88	0.0387169	0.0387636	0.0686304	0.111028	0.14083	0.117404	0.103495	0.109842	0.0882381	0.0841166	0.0989347
a56	0.0213529	0.0190206	0.0303232	0.0572083	0.106648	0.116433	0.125256	0.154229	0.124972	0.114332	0.130225
a43	0.0130803	0.0121066	0.0202314	0.0457281	0.093533	0.115404	0.136586	0.166976	0.137521	0.125235	0.133599
a56	0.0160196	0.013046	0.0176591	0.0317726	0.0727605	0.104618	0.136223	0.174021	0.147663	0.135693	0.150523
a90	0.00431478	0.00388436	0.00586705	0.0128987	0.0419469	0.0765521	0.140587	0.201666	0.181401	0.162232	0.168651
a92	0.0034368	0.00281223	0.00436048	0.0090588	0.0287831	0.0594529	0.129955	0.208212	0.202052	0.176974	0.174902
a44	0.00116265	0.000882166	0.0013416	0.00294501	0.0129846	0.0324859	0.0900542	0.168094	0.192502	0.218608	0.27894
a90	0.00205648	0.00126248	0.00164382	0.00240925	0.00744164	0.0198885	0.0624864	0.115852	0.172066	0.240735	0.374159
a44	0.00110933	0.000785444	0.00112314	0.00237737	0.0106366	0.0294424	0.091379	0.153067	0.19589	0.226754	0.287437
a96	0.000894283	0.000490821	0.000587626	0.000922036	0.0035897	0.0112997	0.0484102	0.0995801	0.162752	0.256712	0.414762
a56	0.000637992	0.000332187	0.000397984	0.000577772	0.00183289	0.00580263	0.026232	0.0672801	0.151973	0.290489	0.454445
a43	0.000293039	0.000167338	0.000194609	0.000302226	0.0011344	0.00392033	0.0219725	0.0672083	0.151464	0.295154	0.458189
a75	0.000731862	0.000372921	0.000493818	0.000728744	0.00203005	0.00612864	0.0245392	0.0619629	0.143672	0.284111	0.475228
a12	0.000262271	0.000168002	0.000224827	0.000350733	0.00099093	0.00290776	0.0161263	0.0513751	0.130147	0.29155	0.505898
a18	0.000368851	0.000201965	0.00025452	0.000376546	0.00105859	0.00307785	0.0152895	0.0484433	0.127834	0.298341	0.504754
a54	0.00114276	0.000743967	0.00131296	0.00194369	0.00354515	0.00797442	0.02022	0.042651	0.120893	0.306913	0.49266
a36	0.00033258	0.000231174	0.000412987	0.000618741	0.00128709	0.00290125	0.0101919	0.0330846	0.0954867	0.277951	0.577502
a2	0.0159694	0.0111066	0.0177702	0.0214332	0.0271865	0.0392255	0.0543189	0.0822224	0.147869	0.25293	0.329969
a57	0.126788	0.0752704	0.0645083	0.0514695	0.0511288	0.0566302	0.0617257	0.0750797	0.106535	0.145546	0.185319
a87	0.237767	0.129552	0.0659689	0.0315635	0.0274905	0.0296056	0.0357137	0.048927	0.0791496	0.128711	0.185551
a97	0.217365	0.126859	0.0621099	0.026129	0.0243184	0.0326279	0.0453514	0.0614309	0.0929165	0.133332	0.177559
a99	0.195163	0.120311	0.0713629	0.0397195	0.0396683	0.0451098	0.0495062	0.0587537	0.0849375	0.125759	0.169709
a87	0.118888	0.0628709	0.0364416	0.0238372	0.028817	0.0327486	0.0429956	0.0676447	0.114865	0.192063	0.278829
a97	0.064402	0.0386327	0.0292214	0.0223327	0.0249463	0.0309923	0.0408135	0.0607925	0.107932	0.205723	0.374212
</S>	0.0916697	0.0610744	0.0556826	0.0376738	0.0319118	0.0339791	0.0424923	0.0605563	0.10068	0.181828	0.302452
