 	ondongo	m'	a	serré	violemment	la	main	</S>
a23	0.288516	0.164437	0.132953	0.138902	0.133297	0.0636424	0.0465633	0.0316902
a87	0.499612	0.221333	0.115842	0.0720481	0.042156	0.019943	0.0159889	0.013078
a23	0.294044	0.245758	0.177142	0.0921982	0.0529514	0.0352248	0.0432359	0.0594458
a30	0.364251	0.226637	0.125589	0.0676628	0.047958	0.0453658	0.0549072	0.067629
a93	0.395986	0.18844	0.0948955	0.0660573	0.0571718	0.0551713	0.0617869	0.0804908
a70	0.360747	0.256034	0.163894	0.0894605	0.0473649	0.031675	0.0268953	0.0239294
a96	0.242015	0.283779	0.265981	0.118132	0.0365198	0.0183982	0.0177827	0.0173914
a56	0.185567	0.24968	0.274124	0.148763	0.0560615	0.0307801	0.0276556	0.0273688
a12	0.141666	0.208753	0.240703	0.15871	0.0724279	0.0549578	0.0589394	0.0638424
a75	0.136377	0.233426	0.269683	0.180466	0.0726519	0.0404898	0.034555	0.0323512
a85	0.152331	0.225316	0.247381	0.170494	0.0793384	0.0477216	0.0411338	0.0362841
a37	0.115406	0.142653	0.151922	0.124484	0.112721	0.116219	0.129263	0.107331
a61	0.101148	0.158426	0.231575	0.189258	0.112857	0.0769231	0.0716807	0.0581318
a31	0.0660656	0.10819	0.173068	0.18692	0.158434	0.108361	0.110868	0.0880935
a47	0.0785862	0.115244	0.158231	0.163529	0.165458	0.112576	0.109864	0.0965121
a12	0.0944989	0.11258	0.14602	0.14026	0.166414	0.11594	0.114492	0.109795
a47	0.0485844	0.0660078	0.0902686	0.110952	0.187299	0.185744	0.183806	0.127339
a96	0.0420119	0.053779	0.0744407	0.0884547	0.19061	0.204572	0.19926	0.146872
a21	0.0150452	0.0202421	0.029416	0.0426805	0.136436	0.23396	0.291099	0.231122
a5	0.0264372	0.0263942	0.0266454	0.0343241	0.0969121	0.196682	0.290949	0.301657
a44	0.01445	0.0143532	0.0149595	0.0178209	0.0558244	0.162968	0.327203	0.392421
a90	0.00372333	0.00425551	0.00638117	0.0090479	0.037231	0.123154	0.302708	0.513499
a58	0.00227173	0.00244922	0.00382345	0.00605914	0.0313074	0.10891	0.278994	0.566185
a82	0.00297104	0.00221797	0.00268911	0.00433406	0.0230858	0.0985821	0.299472	0.566648
a10	0.0176022	0.0145674	0.0138178	0.018234	0.0705007	0.160867	0.296911	0.407499
a87	0.0465058	0.0524029	0.064514	0.0728958	0.156958	0.212479	0.220334	0.173911
a23	0.0884494	0.101116	0.129148	0.136992	0.179033	0.147438	0.126515	0.0913087
a87	0.0305759	0.04336	0.0632051	0.0794112	0.163322	0.189229	0.221051	0.209846
a23	0.00764321	0.0117323	0.020921	0.036026	0.107002	0.186991	0.298116	0.331568
a10	0.00817013	0.0119765	0.0219505	0.0369356	0.112	0.19554	0.307248	0.306179
a87	0.0281841	0.0347257	0.0444613	0.0518556	0.103909	0.164894	0.268516	0.303454
</S>	0.0166865	0.0203745	0.0290251	0.0430049	0.104471	0.17292	0.283993	0.329525
