 	on	enflamme	amadou	</S>
a23	0.726923	0.150687	0.0637059	0.0586849
a10	0.331548	0.283954	0.158746	0.225752
a87	0.4619	0.231862	0.140022	0.166217
a23	0.521816	0.253328	0.109649	0.115206
a38	0.495477	0.20662	0.16454	0.133363
a30	0.794083	0.153668	0.0397772	0.0124717
a35	0.701576	0.219891	0.053585	0.0249477
a57	0.70834	0.217975	0.0543075	0.0193772
a38	0.439381	0.329532	0.148816	0.0822705
a94	0.415017	0.344785	0.160877	0.0793212
a35	0.566756	0.330412	0.0770279	0.0258038
a66	0.518755	0.375113	0.079006	0.0271253
a54	0.31062	0.45632	0.165686	0.0673743
a14	0.32331	0.38811	0.182888	0.105693
a30	0.29705	0.339521	0.23315	0.130279
a57	0.150046	0.324883	0.341654	0.183417
a40	0.0504532	0.15995	0.430739	0.358858
a73	0.0499057	0.169459	0.432082	0.348553
a35	0.0406803	0.131221	0.398176	0.429923
a54	0.0353776	0.101553	0.340876	0.522193
a14	0.0204718	0.0628503	0.306806	0.609872
a44	0.0176999	0.0482765	0.268241	0.665783
a57	0.0118816	0.0320899	0.191912	0.764116
a38	0.000708253	0.00459861	0.153299	0.841394
a13	0.000331153	0.00269052	0.145639	0.851339
a9	0.000468447	0.00394954	0.158664	0.836918
a87	0.000488128	0.00411456	0.109436	0.885962
</S>	0.000564267	0.00316489	0.0666578	0.929613
