 	le	ciel	pâlit	l'	aube	va	bientôt	venir	</S>
a23	0.245124	0.143552	0.130732	0.083782	0.0975932	0.140875	0.078269	0.0418904	0.0381811
a85	0.325729	0.197659	0.184389	0.0826899	0.0499297	0.0591784	0.0433686	0.0312775	0.0257786
a87	0.134979	0.166818	0.282396	0.195127	0.0793794	0.0528384	0.030895	0.0244183	0.033149
a23	0.160433	0.160592	0.246578	0.189048	0.0777557	0.0481187	0.0239954	0.0291201	0.0643594
a87	0.225555	0.241357	0.195678	0.104057	0.0452029	0.0276867	0.0247245	0.0436255	0.0921138
a23	0.114614	0.140565	0.191101	0.154225	0.094337	0.0747859	0.0581991	0.0716273	0.100545
a24	0.213266	0.243812	0.159566	0.0895948	0.0445953	0.0305612	0.0420672	0.073716	0.102821
a9	0.18903	0.196477	0.254865	0.209673	0.0998717	0.0272227	0.0102804	0.00682305	0.0057575
a10	0.155747	0.154618	0.24183	0.220414	0.144384	0.045552	0.0164214	0.0107633	0.0102694
a23	0.0973072	0.0991124	0.180247	0.181972	0.167428	0.0818244	0.0556812	0.0623929	0.0740344
a53	0.0757087	0.0882513	0.133825	0.133971	0.134893	0.0609543	0.0647268	0.125857	0.181813
a20	0.135342	0.164646	0.224895	0.211075	0.175928	0.0506952	0.0168807	0.0105672	0.00997086
a76	0.160162	0.212083	0.219546	0.181301	0.140076	0.0519139	0.0163744	0.0095151	0.00902776
a20	0.142835	0.182377	0.205557	0.194667	0.162792	0.0724557	0.0203376	0.00999296	0.00898552
a84	0.141293	0.163255	0.197039	0.196705	0.162434	0.0746828	0.0280391	0.018191	0.0183627
a24	0.0619486	0.0728659	0.159379	0.227075	0.231827	0.127735	0.0422007	0.0339306	0.0430376
a32	0.0555336	0.0722689	0.143915	0.223144	0.234218	0.153373	0.058675	0.0290632	0.0298095
a24	0.0298535	0.0377672	0.115293	0.203863	0.225406	0.173303	0.0911824	0.0532003	0.0701326
a31	0.0432367	0.0585694	0.131018	0.20066	0.196232	0.132551	0.0980704	0.0681615	0.0715011
a24	0.045778	0.0519482	0.11069	0.190838	0.210836	0.140763	0.0991869	0.06797	0.0819894
a25	0.0347793	0.0413242	0.0963345	0.163659	0.157936	0.125552	0.118822	0.112758	0.148835
a10	0.038198	0.0423365	0.086797	0.140347	0.169219	0.175214	0.154047	0.0852665	0.108574
a24	0.0339151	0.0411104	0.0776428	0.108109	0.121442	0.144954	0.154832	0.122595	0.195399
a41	0.0311248	0.0338707	0.0746894	0.116263	0.122318	0.107397	0.1197	0.151286	0.24335
a96	0.0230742	0.0258357	0.0556941	0.0887509	0.110371	0.10384	0.130632	0.156809	0.304993
a56	0.0375197	0.0422071	0.0756758	0.0977809	0.111712	0.114524	0.130186	0.143859	0.246535
a18	0.0421377	0.0442043	0.0729288	0.0888435	0.104551	0.111401	0.147972	0.148701	0.23926
a82	0.0538117	0.0545227	0.0900637	0.0914868	0.0916242	0.1023	0.131598	0.14851	0.236083
a87	0.04531	0.0456624	0.0633036	0.0555723	0.052527	0.0763048	0.127314	0.189886	0.34412
a23	0.0202691	0.0192643	0.0252474	0.0278857	0.0376441	0.0581433	0.0853045	0.201616	0.524626
a99	0.00932462	0.00574503	0.00952813	0.0117357	0.0170641	0.036817	0.0729211	0.188929	0.647935
a38	0.00133958	0.00119585	0.00285954	0.00435938	0.00735493	0.0133007	0.0433505	0.182564	0.743676
a90	0.000940802	0.00113755	0.0039453	0.00836535	0.0155962	0.0274443	0.104004	0.249032	0.589534
a98	0.00414226	0.00421156	0.0100677	0.0134046	0.0200661	0.0295533	0.083929	0.222826	0.611799
a32	0.00263321	0.00230122	0.00399314	0.0052774	0.00703598	0.0111461	0.0547276	0.210414	0.702472
a76	0.0030782	0.00303995	0.00503063	0.00607152	0.0073919	0.0128155	0.0513386	0.211586	0.699648
a90	0.00640327	0.00478331	0.0065744	0.00762486	0.00947313	0.0133232	0.0550951	0.214046	0.682677
a94	0.0053544	0.00360848	0.00582118	0.00748376	0.0105659	0.0138031	0.0475339	0.194799	0.71103
a31	0.00205615	0.00144408	0.00207222	0.00285308	0.00385153	0.00512736	0.0233036	0.146668	0.812625
a96	0.0102753	0.00704229	0.00871442	0.00952541	0.00944896	0.0119295	0.037775	0.168965	0.736324
a66	0.0069449	0.00488722	0.00624271	0.00655578	0.00567459	0.00740555	0.0270747	0.161114	0.7741
a90	0.00893716	0.00678762	0.00769305	0.00666443	0.00535179	0.00777754	0.0306396	0.175456	0.750693
a82	0.0104477	0.00551332	0.00726814	0.0078689	0.00791601	0.0116926	0.0427107	0.197987	0.708595
a38	0.00480888	0.00310096	0.00375035	0.00333666	0.00391263	0.00731595	0.0263146	0.156742	0.790718
a98	0.00345725	0.00209236	0.00240006	0.00179665	0.00149541	0.0034534	0.01594	0.138753	0.830612
a73	0.00588537	0.00447131	0.00638788	0.00547021	0.00356262	0.00573482	0.0182935	0.141225	0.80897
a2	0.00455413	0.00342301	0.00564373	0.00589665	0.00377028	0.00575357	0.0268948	0.178638	0.765426
a57	0.0017232	0.000806203	0.00110892	0.0011581	0.00109728	0.00228976	0.0125563	0.139463	0.839797
a87	0.00467309	0.00186633	0.00169245	0.00123694	0.00108886	0.00424146	0.0204507	0.170264	0.794486
</S>	0.0051841	0.0020646	0.00266003	0.00259758	0.00362153	0.0158947	0.0503081	0.216828	0.700842
