 	mon	pied	s'	est	enflé	</S>
a66	0.444824	0.173355	0.0979421	0.0857023	0.108243	0.0899346
a87	0.425663	0.220399	0.12531	0.0894204	0.0894925	0.0497157
a23	0.45191	0.287954	0.142686	0.0544945	0.0393149	0.0236398
a62	0.471785	0.221568	0.100183	0.0678425	0.0777916	0.0608301
a21	0.419722	0.213156	0.121431	0.0993318	0.0870454	0.0593142
a56	0.453371	0.32126	0.12987	0.0539901	0.0264457	0.0150634
a37	0.219885	0.285438	0.251503	0.152856	0.0627554	0.0275628
a56	0.110803	0.17943	0.266114	0.236707	0.141283	0.0656629
a12	0.0869465	0.148364	0.24574	0.250005	0.176839	0.0921049
a61	0.0726502	0.0952324	0.161873	0.246955	0.250969	0.17232
a43	0.0235607	0.0239757	0.057899	0.16317	0.337145	0.394249
a94	0.0121567	0.0110828	0.0264216	0.101133	0.308485	0.540721
a56	0.00675884	0.00654264	0.0170837	0.0612002	0.257753	0.650662
a43	0.00416307	0.0040682	0.0136094	0.0594209	0.23722	0.681518
a0	0.00493817	0.00681698	0.0225577	0.0658715	0.221839	0.677976
a27	0.0483959	0.0458995	0.0760587	0.144536	0.22178	0.46333
a82	0.239828	0.104515	0.0818062	0.113346	0.161602	0.298902
a10	0.452458	0.205302	0.0833072	0.0671502	0.083086	0.108696
a87	0.342761	0.265797	0.148641	0.0836986	0.0851723	0.0739301
a23	0.235134	0.206582	0.165443	0.106658	0.144319	0.141864
a99	0.10459	0.0659095	0.0764696	0.106327	0.241603	0.405101
a38	0.0643944	0.0511227	0.0716292	0.118402	0.264483	0.429968
a36	0.110132	0.107426	0.112237	0.134465	0.218959	0.316782
</S>	0.127963	0.101127	0.0990297	0.130882	0.215592	0.325407
