 	mon	père	m'	a	encouragé	à	réussir	dans	mes	études	</S>
a66	0.281219	0.286301	0.222773	0.114245	0.0196676	0.0157097	0.0164869	0.0146646	0.0109969	0.00905102	0.00888633
a87	0.534421	0.312868	0.0867261	0.0219775	0.00362251	0.00486044	0.00782645	0.0069092	0.00673625	0.00658868	0.00746395
a23	0.569487	0.217783	0.0769924	0.0389368	0.0155114	0.0157251	0.0191608	0.0160209	0.0125781	0.0080815	0.00972229
a40	0.3251	0.110344	0.0408144	0.0225094	0.0238966	0.0529944	0.11285	0.0984715	0.0766197	0.0645897	0.0718103
a36	0.226827	0.159044	0.116641	0.108856	0.0788357	0.0783468	0.0668977	0.0579269	0.0457708	0.0308605	0.0299928
a2	0.193352	0.235151	0.243532	0.139342	0.0506047	0.0417119	0.0322155	0.0233445	0.0208253	0.0106888	0.00923254
a5	0.159923	0.110767	0.147478	0.166301	0.160496	0.0987543	0.0527756	0.0390596	0.0391149	0.0160978	0.00923384
a96	0.12764	0.119208	0.204287	0.217632	0.139469	0.0802609	0.0393257	0.0258317	0.0253018	0.0133662	0.00767684
a75	0.0988769	0.093016	0.180723	0.200551	0.122762	0.0843444	0.0648451	0.0474418	0.0461877	0.0363458	0.0249064
a6	0.033094	0.0617486	0.222819	0.243454	0.116586	0.0844368	0.0628415	0.0514385	0.0546361	0.0404627	0.0284833
a36	0.052279	0.0807942	0.185642	0.178341	0.0996517	0.0861331	0.073021	0.0634563	0.0705671	0.0628623	0.0472516
a47	0.0612488	0.0678926	0.144074	0.156788	0.0975215	0.0955968	0.087007	0.071008	0.0738332	0.0802189	0.0648114
a5	0.0349339	0.0434863	0.094421	0.10742	0.0755855	0.10126	0.101375	0.0996906	0.116879	0.12539	0.0995591
a12	0.0278778	0.0356429	0.0666458	0.0814705	0.0948828	0.130842	0.116656	0.110964	0.121096	0.121374	0.0925484
a96	0.0106405	0.0142577	0.0238865	0.0272726	0.0655106	0.121827	0.131859	0.139974	0.145096	0.172118	0.147558
a18	0.0136626	0.0223997	0.0413959	0.0426983	0.0679578	0.126215	0.142733	0.146846	0.124646	0.14312	0.128326
a71	0.0132507	0.0177054	0.0296094	0.0352853	0.0451004	0.0862399	0.122534	0.161845	0.156384	0.167685	0.164361
a38	0.0108011	0.010555	0.0155306	0.0270072	0.0419617	0.0518504	0.0739585	0.119618	0.162848	0.243929	0.241941
a50	0.00674509	0.00640821	0.00905585	0.0154961	0.0338951	0.0391031	0.0570865	0.0977415	0.128293	0.274934	0.331241
a62	0.00546452	0.00547653	0.00802302	0.0147989	0.0497499	0.0517643	0.0730691	0.0988946	0.107807	0.256426	0.328526
a88	0.00172222	0.00214072	0.00410303	0.00834927	0.0346906	0.0485025	0.0696808	0.120262	0.147757	0.285635	0.277157
a62	0.000691668	0.000879464	0.00177712	0.00417564	0.023204	0.0406484	0.0656742	0.128505	0.166049	0.294906	0.273489
a12	0.000873865	0.00106316	0.00209106	0.00459199	0.0203544	0.0337179	0.0532744	0.101029	0.147857	0.320507	0.31464
a5	0.000518783	0.000648835	0.00123921	0.0023493	0.0113614	0.0219166	0.0390122	0.0861181	0.139108	0.336719	0.361009
a18	0.000386714	0.000522508	0.00117696	0.00328363	0.0195171	0.0302277	0.0442452	0.0790166	0.117669	0.327354	0.376601
a27	0.00132789	0.00146298	0.00237165	0.00783284	0.0474809	0.0512281	0.0509528	0.0633225	0.0814272	0.259326	0.433268
a53	0.0056193	0.0062138	0.00767605	0.0187877	0.0634187	0.0584744	0.0517335	0.064985	0.0759809	0.225107	0.422004
a69	0.000829995	0.00109823	0.00197131	0.00939516	0.0569609	0.0643908	0.0665247	0.0979239	0.119745	0.240781	0.340379
a44	9.84999e-05	0.000178453	0.000427159	0.00178567	0.0155977	0.0257587	0.0340837	0.060999	0.0957771	0.28926	0.476034
a58	0.00013691	0.000242594	0.000573169	0.00234978	0.0201911	0.0280547	0.0328212	0.0510487	0.0776563	0.257592	0.529334
a82	0.00101384	0.00126929	0.00188726	0.00626934	0.0265307	0.0347879	0.0322908	0.0377596	0.0526875	0.220348	0.585156
a87	0.0637512	0.0507357	0.0410126	0.0522341	0.0684849	0.0633327	0.054868	0.0554585	0.0682441	0.158461	0.323417
a23	0.3022	0.23076	0.11633	0.0772969	0.038163	0.0345357	0.0366202	0.0382898	0.0385392	0.0409565	0.0463087
a87	0.159648	0.113869	0.0553258	0.0437652	0.0459185	0.0660636	0.0804516	0.0851588	0.0992178	0.12925	0.121332
</S>	0.0481116	0.0396662	0.0226179	0.0264643	0.0533562	0.0736497	0.0882378	0.100743	0.140042	0.203476	0.203635
