 	il	est	trop	bon	</S>
a23	0.508412	0.203893	0.1342	0.0737945	0.0797006
a20	0.49742	0.210915	0.129569	0.080647	0.081449
a84	0.22454	0.13988	0.199661	0.216289	0.21963
a54	0.415132	0.259966	0.191994	0.0818043	0.0511046
a41	0.296577	0.237369	0.242696	0.13865	0.0847093
a18	0.267224	0.263228	0.230721	0.146889	0.0919375
a76	0.276422	0.226422	0.196075	0.163061	0.138021
a90	0.286258	0.230248	0.186058	0.156316	0.14112
a58	0.229343	0.227512	0.214942	0.186078	0.142125
a38	0.173615	0.179526	0.202792	0.219166	0.224901
a41	0.0814565	0.100599	0.155013	0.27629	0.386642
a27	0.0451067	0.070341	0.128369	0.290137	0.466047
a25	0.0369016	0.0394497	0.0718294	0.196918	0.654901
a87	0.0302672	0.0338713	0.059186	0.182773	0.693903
</S>	0.0208785	0.0272999	0.0630263	0.236305	0.65249
