 	le	malade	est	couché	sur	le	lit	</S>
a23	0.30761	0.178402	0.125524	0.0980288	0.10978	0.0777856	0.0570465	0.0458227
a79	0.390309	0.186458	0.108014	0.0871989	0.0842511	0.0616799	0.0489141	0.0331745
a69	0.434912	0.178524	0.0835577	0.0505206	0.0513934	0.0559762	0.0704631	0.0746526
a58	0.502751	0.188365	0.10374	0.0570024	0.042527	0.0353264	0.0389188	0.0313697
a84	0.423229	0.212675	0.132627	0.0731804	0.0389146	0.034025	0.0446277	0.0407213
a53	0.201889	0.175197	0.145858	0.115935	0.0766433	0.0748843	0.101003	0.108591
a15	0.122121	0.124944	0.132822	0.120237	0.0865919	0.094618	0.132086	0.18658
a56	0.100753	0.0990291	0.105813	0.120507	0.108144	0.117965	0.144362	0.203425
a92	0.11546	0.130888	0.14454	0.159802	0.115467	0.099581	0.104394	0.129869
a96	0.0984294	0.107219	0.118065	0.134679	0.115541	0.122089	0.134415	0.169562
a61	0.070878	0.0933946	0.113721	0.158427	0.144155	0.136782	0.133419	0.149223
a70	0.038648	0.0551274	0.0688132	0.110769	0.131594	0.174689	0.198995	0.221366
a75	0.0296684	0.0440945	0.0562368	0.0916419	0.120471	0.177889	0.21593	0.264069
a25	0.031271	0.0370235	0.0401627	0.0578863	0.0842243	0.149716	0.222881	0.376835
a56	0.0171049	0.0207114	0.0277722	0.0472373	0.07432	0.153174	0.238889	0.420791
a13	0.0113997	0.013867	0.0182361	0.0330564	0.055295	0.129758	0.23612	0.502268
a75	0.00280126	0.0031703	0.00389699	0.00673467	0.0188813	0.0700686	0.209211	0.685236
a47	0.00638448	0.00614738	0.00714722	0.0108642	0.025999	0.0815981	0.212114	0.649746
a62	0.00502453	0.00506126	0.00711651	0.0121803	0.0282767	0.085513	0.221715	0.635113
a83	0.00247112	0.00237654	0.00399603	0.00891758	0.0235402	0.0792807	0.208252	0.671166
a9	0.00584329	0.00554697	0.0082933	0.015341	0.0333704	0.090735	0.207013	0.633857
a87	0.0332408	0.0265042	0.02562	0.0325925	0.0594495	0.120618	0.199861	0.502114
a23	0.178121	0.103831	0.0827013	0.0768463	0.0932531	0.122343	0.144902	0.198002
a87	0.0426414	0.0311355	0.0385592	0.0498682	0.0683641	0.140551	0.233182	0.395698
</S>	0.0213247	0.0206129	0.0313067	0.0472362	0.0757402	0.150576	0.248252	0.404951
