 	votre	père	est	fatigué	</S>
a66	0.422521	0.292646	0.175761	0.0780273	0.0310444
a87	0.43716	0.201049	0.149886	0.134004	0.0779003
a23	0.605684	0.188327	0.079679	0.066905	0.0594049
a62	0.567364	0.178909	0.10099	0.0934262	0.0593109
a47	0.546144	0.230748	0.105669	0.0782311	0.0392082
a31	0.267019	0.251288	0.167597	0.19661	0.117486
a88	0.401352	0.306711	0.143428	0.101734	0.0467755
a75	0.295954	0.330079	0.18869	0.123745	0.0615315
a85	0.190718	0.26101	0.235258	0.193807	0.119207
a47	0.181184	0.264459	0.218604	0.160542	0.17521
a92	0.148261	0.22391	0.236081	0.179391	0.212357
a79	0.171571	0.25069	0.244908	0.18316	0.149671
a90	0.103951	0.188216	0.259227	0.233269	0.215338
a69	0.0748478	0.142898	0.239061	0.261995	0.281199
a53	0.0349232	0.0694306	0.177611	0.253446	0.464589
a4	0.0250822	0.0468774	0.149123	0.223846	0.555071
a57	0.009404	0.0164641	0.0731018	0.169312	0.731718
a82	0.00493969	0.00663497	0.0258216	0.119009	0.843594
a99	0.0359473	0.0378258	0.0775126	0.167176	0.681539
a9	0.145452	0.0949286	0.118344	0.173085	0.468191
a87	0.301574	0.138257	0.125135	0.145008	0.290026
a23	0.288762	0.155802	0.131259	0.171275	0.252902
a87	0.0971945	0.0510224	0.0708528	0.195969	0.584961
a23	0.0387384	0.0279987	0.0514161	0.170068	0.711779
</S>	0.0484722	0.0366049	0.0610421	0.170372	0.683508
