 	il	a	ficelé	un	paquet	avec	le	fil	de	fer	</S>
a66	0.217367	0.233671	0.174123	0.153823	0.130216	0.0342851	0.0150889	0.0091798	0.00693991	0.0116078	0.0136989
a87	0.238885	0.175635	0.106662	0.127331	0.140407	0.0592908	0.0483745	0.038958	0.0240903	0.0224702	0.0178964
a23	0.318897	0.190503	0.126955	0.148876	0.108057	0.0382556	0.0174138	0.0112683	0.00902529	0.0135184	0.017231
a79	0.209991	0.120538	0.0912178	0.149031	0.13563	0.0652606	0.0375413	0.0286076	0.0305538	0.053833	0.0777953
a20	0.11917	0.0790083	0.0957	0.155362	0.219813	0.104227	0.0703841	0.0477832	0.0345619	0.0368562	0.0371342
a7	0.116656	0.110884	0.116103	0.143032	0.232661	0.117111	0.0699289	0.0394667	0.0233662	0.0175965	0.0131944
a75	0.0437206	0.0570269	0.0815409	0.144124	0.280192	0.153202	0.102315	0.0658529	0.0327175	0.0241206	0.0151872
a6	0.0433425	0.0534773	0.0810341	0.118815	0.221619	0.177115	0.125966	0.0787284	0.0402297	0.0342075	0.0254652
a37	0.0422951	0.0489208	0.0839452	0.136888	0.214459	0.180773	0.105256	0.0669586	0.0421378	0.0407525	0.0376146
a61	0.0490575	0.0423293	0.0557057	0.104779	0.185381	0.202446	0.114581	0.0755872	0.0527823	0.0556364	0.0617143
a62	0.045899	0.0320572	0.0409732	0.0694771	0.109966	0.176226	0.143817	0.102395	0.0778746	0.0851777	0.116136
a88	0.0481504	0.0322878	0.0415438	0.0628306	0.0792082	0.159098	0.167374	0.129873	0.0856117	0.0797679	0.114254
a62	0.027396	0.0192545	0.0237981	0.0433063	0.058007	0.115165	0.135433	0.135761	0.138626	0.133497	0.169756
a21	0.0175753	0.0131622	0.0216662	0.0317895	0.0304781	0.0585818	0.0822511	0.121548	0.188318	0.186745	0.247885
a61	0.00994007	0.00933035	0.0133718	0.0170826	0.0176583	0.0317648	0.0589142	0.115117	0.220355	0.213827	0.292639
a75	0.0042391	0.00378986	0.00735113	0.00924929	0.00697013	0.0155762	0.0272584	0.0566691	0.180622	0.27633	0.411945
a98	0.00161905	0.00134118	0.00250499	0.00352931	0.00298753	0.0075441	0.0152725	0.0341839	0.119701	0.242746	0.56857
a85	0.00136286	0.000982676	0.00231695	0.0043739	0.00416695	0.00996618	0.0182688	0.0383881	0.137984	0.281446	0.500743
a92	0.000536729	0.000379986	0.000841243	0.00166693	0.00155998	0.0039477	0.00841504	0.0228869	0.101637	0.255331	0.602798
a37	0.00162417	0.00134786	0.00220659	0.00218606	0.00133377	0.00253672	0.00582875	0.0152117	0.0606373	0.187694	0.719393
a75	0.00710528	0.00523901	0.00922564	0.00916594	0.00427087	0.00768683	0.0129081	0.0238881	0.069651	0.208933	0.641927
a0	0.00237421	0.00194442	0.00328094	0.00343684	0.00266888	0.00503577	0.00968229	0.0190453	0.0554354	0.17989	0.717206
a27	0.00136577	0.00112381	0.00249145	0.00377481	0.00392039	0.00938596	0.0203383	0.0400546	0.102781	0.229936	0.584828
a30	0.069385	0.0590341	0.0559939	0.0546617	0.0415098	0.0452821	0.0482271	0.0541278	0.0924671	0.164565	0.314746
a87	0.244105	0.138756	0.142655	0.125626	0.0631591	0.0441189	0.0311065	0.027882	0.0351078	0.0536322	0.0938528
a23	0.29366	0.169133	0.15004	0.131349	0.0912871	0.0533497	0.0302601	0.0227211	0.0162072	0.0170018	0.024991
a87	0.138857	0.093435	0.106691	0.110751	0.0719474	0.0454882	0.0332275	0.0380637	0.0536368	0.105949	0.201953
</S>	0.0436223	0.0242106	0.0260585	0.0309853	0.0246777	0.0216674	0.0192971	0.0301641	0.0664486	0.203347	0.509522
