 	ta	marchandise	s'	écoule	bien	</S>
a66	0.456366	0.229759	0.138191	0.0718925	0.0586984	0.0450933
a87	0.339641	0.209739	0.146184	0.0871682	0.0947136	0.122554
a27	0.410716	0.301204	0.134217	0.0494834	0.0428168	0.0615625
a57	0.351217	0.321011	0.158739	0.0758418	0.0464313	0.0467601
a87	0.42027	0.309005	0.120188	0.0626368	0.0421633	0.0457367
a97	0.356814	0.307676	0.148547	0.0820684	0.0502137	0.0546801
a30	0.396554	0.33454	0.125758	0.0677818	0.0369315	0.0384342
a4	0.456628	0.325349	0.0996949	0.0457719	0.0305838	0.0419727
a70	0.52269	0.269785	0.0996828	0.0361393	0.034224	0.0374791
a90	0.450821	0.259266	0.140422	0.0504428	0.0522028	0.0468456
a56	0.256335	0.209874	0.1803	0.123424	0.129195	0.100872
a98	0.190881	0.174395	0.170038	0.161995	0.170478	0.132213
a85	0.126286	0.157707	0.187924	0.220696	0.177322	0.130065
a92	0.0972428	0.180339	0.222411	0.195737	0.169726	0.134544
a25	0.0626115	0.138768	0.196365	0.226824	0.207443	0.167989
a56	0.0673683	0.127518	0.171678	0.211381	0.196783	0.225271
a54	0.0111253	0.0330646	0.0757025	0.266464	0.270427	0.343217
a47	0.00957117	0.0342392	0.0821808	0.260014	0.246183	0.367812
a36	0.001651	0.00723088	0.0247099	0.221453	0.227946	0.517009
a2	0.00131787	0.00441421	0.0143068	0.181493	0.233726	0.564743
a57	0.0123827	0.0186415	0.0392899	0.187093	0.225559	0.517034
a97	0.0618606	0.0640508	0.0720129	0.168462	0.218086	0.415528
a99	0.186917	0.162621	0.140532	0.173407	0.148443	0.188079
a97	0.182846	0.146374	0.126625	0.185208	0.14731	0.211637
</S>	0.0911943	0.0930685	0.10292	0.274806	0.180082	0.25793
