 	sa	mère	l'	a	habitué	à	l'	argent	</S>
a66	0.321182	0.321463	0.169065	0.073926	0.0480694	0.0260497	0.0180501	0.0117454	0.0104496
a87	0.365153	0.299628	0.159411	0.0664416	0.0411409	0.0240558	0.0161028	0.0125178	0.0155487
a23	0.379696	0.308647	0.164681	0.0660834	0.0393231	0.0137216	0.00901118	0.00826848	0.0105682
a87	0.45247	0.330239	0.113824	0.0429688	0.0216781	0.00694784	0.00817142	0.00989198	0.0138098
a23	0.476157	0.308283	0.11525	0.0504355	0.0236521	0.00638027	0.00592022	0.00593336	0.00798857
a87	0.427998	0.289274	0.0912833	0.0495523	0.0349399	0.0183426	0.0237949	0.027609	0.0372064
a23	0.447717	0.266796	0.102125	0.0633824	0.0439985	0.0178153	0.0184961	0.0180316	0.0216372
a87	0.436668	0.236249	0.079212	0.0486719	0.0414653	0.027886	0.0370303	0.0410044	0.0518129
a23	0.433984	0.242636	0.0931138	0.0601493	0.049238	0.0270789	0.0300964	0.0291899	0.0345135
a18	0.365015	0.247651	0.109365	0.0672792	0.0500659	0.0313342	0.0380442	0.0403065	0.0509395
a30	0.116463	0.137395	0.120006	0.111985	0.129406	0.0991091	0.109575	0.0858099	0.0902517
a53	0.0897744	0.10276	0.10447	0.109525	0.137973	0.106884	0.116707	0.109367	0.12254
a69	0.0514779	0.10722	0.169421	0.225932	0.211625	0.116329	0.0528741	0.033203	0.0319169
a93	0.0289296	0.0642371	0.124868	0.18404	0.238505	0.16595	0.0784163	0.0588269	0.0562265
a70	0.0198336	0.0406479	0.0953384	0.156127	0.196369	0.15785	0.101292	0.110159	0.122383
a11	0.0294977	0.0449083	0.103926	0.177836	0.200664	0.144776	0.0884083	0.0962289	0.113755
a43	0.0266364	0.0338562	0.0979436	0.178968	0.206929	0.128354	0.0827922	0.104194	0.140327
a54	0.0150395	0.0165758	0.0435043	0.100717	0.205407	0.154668	0.106612	0.145783	0.211693
a73	0.00621174	0.00739551	0.0199623	0.0400705	0.119618	0.175009	0.192781	0.204279	0.234673
a69	0.00377949	0.00545627	0.0161457	0.0290742	0.113243	0.194272	0.166547	0.198508	0.272974
a4	0.00283901	0.0032896	0.00731918	0.0131487	0.0592185	0.153669	0.184975	0.245301	0.330239
a69	0.00252766	0.00236969	0.0043225	0.00811355	0.0388546	0.1258	0.18618	0.266313	0.365519
a93	0.00218989	0.00189019	0.00371741	0.00715319	0.0374056	0.154237	0.239634	0.248091	0.305682
a70	0.00145829	0.00126336	0.00207159	0.00372101	0.0189255	0.0908267	0.218208	0.295645	0.36788
a4	0.000309776	0.000246726	0.000321671	0.000604225	0.00263396	0.0185936	0.125719	0.354612	0.496959
a57	0.000294413	0.000258113	0.00039463	0.000684806	0.00379247	0.0274415	0.152205	0.340151	0.474778
a82	0.000201223	0.000157305	0.000226205	0.000304181	0.00103267	0.00875381	0.0806255	0.328277	0.580422
a3	0.00799787	0.00451101	0.00321647	0.00291094	0.00433546	0.0165946	0.0728677	0.286072	0.601494
a10	0.238587	0.153158	0.0710961	0.0340581	0.0246322	0.0285109	0.0599473	0.144093	0.245917
a87	0.194185	0.10962	0.0579544	0.0295385	0.0263927	0.0306116	0.0893869	0.204949	0.257362
a23	0.187854	0.124956	0.0789516	0.0431456	0.0370657	0.0428997	0.105613	0.184139	0.195374
a87	0.143398	0.125481	0.0794022	0.0346204	0.0324993	0.0607438	0.132488	0.180052	0.211317
a23	0.0465181	0.0389813	0.0231898	0.0106987	0.0183917	0.0597486	0.161664	0.274065	0.366743
a10	0.086453	0.0832345	0.053332	0.0204459	0.0255832	0.0707082	0.158357	0.215273	0.286613
a87	0.0786431	0.0601522	0.0319215	0.01688	0.0295911	0.0830695	0.170592	0.232161	0.296989
</S>	0.0716536	0.0600755	0.0309949	0.0128173	0.0217626	0.0657008	0.167639	0.247299	0.322057
