 	au	cours	de	cette	petite	saison	de	pluie	mon	barrage	à	nasses	n'	était	pas	rentable	</S>
a66	0.115748	0.0641194	0.0391486	0.0322671	0.0328962	0.0495918	0.0793098	0.10765	0.0966963	0.0796425	0.105661	0.0849002	0.0570922	0.0186669	0.0156442	0.0114035	0.00956304
a87	0.267711	0.139743	0.0619702	0.0609753	0.0667128	0.0683347	0.0537273	0.0406881	0.026295	0.0221106	0.0386585	0.0397606	0.0415928	0.0197627	0.021282	0.0170773	0.0135978
a23	0.19841	0.168371	0.115515	0.0945971	0.0774871	0.0725843	0.0579267	0.0538079	0.0298703	0.019985	0.0332001	0.0205431	0.0168329	0.0077379	0.0109622	0.0107027	0.0114674
a40	0.123747	0.131789	0.0865815	0.0856576	0.0867982	0.0909204	0.0578245	0.0443251	0.0311884	0.0330781	0.0505213	0.036502	0.0349527	0.0243599	0.0244522	0.0309217	0.0263808
a36	0.277747	0.17771	0.0684269	0.0551446	0.0355558	0.03232	0.0314049	0.0364323	0.038978	0.0430256	0.0622781	0.056467	0.0422733	0.016185	0.0107558	0.00668709	0.00860877
a5	0.170957	0.196149	0.117327	0.103336	0.058666	0.0484979	0.0439393	0.0310925	0.0246634	0.0202722	0.0201972	0.0240916	0.0343473	0.0346176	0.0261963	0.0239527	0.0216964
a18	0.107912	0.200201	0.171267	0.149742	0.0947156	0.081911	0.0580139	0.0379638	0.0271222	0.0155418	0.0128833	0.0100558	0.00973899	0.00817748	0.0064177	0.00504801	0.00328738
a27	0.0295307	0.0638718	0.0929618	0.134273	0.156303	0.161427	0.120927	0.0770499	0.054354	0.0320798	0.0244888	0.0174991	0.0142836	0.0095867	0.0065324	0.00290982	0.00192194
a54	0.0260189	0.0386858	0.0573626	0.0935616	0.142349	0.169392	0.134609	0.0766613	0.0549039	0.0375938	0.0335836	0.0286276	0.0273362	0.0264339	0.0235157	0.0157983	0.0135672
a36	0.014489	0.0213703	0.0443321	0.0758677	0.113059	0.139808	0.141416	0.114243	0.0907502	0.0618152	0.0456106	0.0351004	0.029174	0.0239079	0.0214364	0.014154	0.0134679
a6	0.0117788	0.0140859	0.0287155	0.0571766	0.114448	0.162989	0.157985	0.118084	0.0877309	0.0597778	0.0462206	0.0341593	0.0258585	0.0228235	0.022913	0.0176167	0.0176369
a36	0.0110929	0.0130808	0.0286784	0.0483016	0.10283	0.146967	0.144459	0.109545	0.0870746	0.0664599	0.0489205	0.0410741	0.0358411	0.0337299	0.0327735	0.0227293	0.0264432
a26	0.00617617	0.00721411	0.0158018	0.0293333	0.0697831	0.127253	0.163305	0.135907	0.106334	0.0816402	0.0610801	0.0455924	0.0346092	0.030605	0.0328699	0.0254947	0.027001
a88	0.00552995	0.0043961	0.0103813	0.0222492	0.0540392	0.10183	0.159202	0.139236	0.117056	0.094771	0.0867581	0.069213	0.0498815	0.0271074	0.0232358	0.0169688	0.018144
a9	0.00227628	0.00219398	0.00537613	0.0105917	0.0401759	0.0926957	0.158014	0.142766	0.128019	0.100108	0.0772449	0.0667929	0.0533372	0.0381646	0.0302382	0.0259528	0.0260523
a87	0.00417699	0.00238435	0.00619648	0.0120672	0.026581	0.0591355	0.118789	0.115444	0.136234	0.125838	0.118558	0.0922474	0.0686516	0.0364822	0.0301412	0.0240217	0.0230519
a23	0.0295608	0.0221922	0.0342374	0.0407357	0.0431785	0.0638751	0.098067	0.0980167	0.116371	0.110354	0.101229	0.0708476	0.0648601	0.0394533	0.0337216	0.0173289	0.0159706
a79	0.0419467	0.0344442	0.0397274	0.0369331	0.0330798	0.049682	0.0810747	0.071188	0.0663754	0.0689323	0.0629582	0.0542887	0.059244	0.069534	0.0716144	0.0769295	0.0820476
a44	0.0276769	0.0213966	0.0314915	0.0423815	0.0414688	0.0518718	0.0890101	0.0962725	0.103008	0.0894726	0.0835636	0.0717118	0.077373	0.065602	0.0525518	0.027176	0.027972
a57	0.0238855	0.0162077	0.0320288	0.0434392	0.0506657	0.0747355	0.122253	0.118776	0.113082	0.0923381	0.0829924	0.0685514	0.0644608	0.0369379	0.0311769	0.016448	0.0120218
a40	0.00590126	0.00445556	0.0104992	0.0170651	0.0283437	0.0494956	0.0973981	0.0996802	0.105376	0.0983842	0.0887522	0.0809547	0.0899754	0.0752966	0.071693	0.0416027	0.0351265
a26	0.0133573	0.0113578	0.0204722	0.0230203	0.0300096	0.0544791	0.119441	0.151063	0.147105	0.11687	0.100347	0.0746038	0.0542177	0.0295687	0.0248778	0.0147645	0.0144446
a44	0.00397834	0.0029096	0.00689171	0.0111455	0.0195177	0.0351391	0.0797182	0.0978256	0.111586	0.112914	0.102511	0.0933382	0.0907481	0.0742156	0.0721356	0.0445974	0.0408283
a54	0.00442386	0.00301444	0.0075431	0.0116024	0.018347	0.0287803	0.0601008	0.080637	0.101411	0.117148	0.112407	0.106769	0.101572	0.0844704	0.0756028	0.0453285	0.0408418
a7	0.00603452	0.00538744	0.0113667	0.0168775	0.0245183	0.0372578	0.0831144	0.135454	0.160163	0.127489	0.108825	0.0811108	0.0613122	0.047716	0.038388	0.0235826	0.0314029
