 	l'	écorce	de	bananier	flétrie	est	utilisée	comme	bretelles	de	hotte	</S>
a87	0.245167	0.124821	0.0805243	0.0804427	0.110622	0.110489	0.0938056	0.0495066	0.0464857	0.0241613	0.0183632	0.0156111
a23	0.152977	0.0927449	0.0477693	0.0560105	0.0410762	0.0561049	0.0661818	0.0563911	0.0870323	0.0967098	0.122188	0.124815
a50	0.160108	0.158384	0.128008	0.124986	0.110386	0.0647419	0.0386735	0.0296135	0.0321386	0.0313079	0.0500874	0.071564
a83	0.365562	0.171312	0.0842693	0.0560166	0.0491069	0.0443978	0.0373061	0.030005	0.0306468	0.0313337	0.0433018	0.0567422
a9	0.35198	0.224778	0.146954	0.0910065	0.0635724	0.0307641	0.0169445	0.0120171	0.0106686	0.0110416	0.0162555	0.0240189
a99	0.228021	0.225421	0.193901	0.127712	0.0864456	0.0335332	0.0189792	0.0133249	0.0131452	0.0125463	0.0185481	0.0284226
a93	0.194307	0.195406	0.171415	0.136754	0.102669	0.0461405	0.0272298	0.0213078	0.0204326	0.0189975	0.0263141	0.0390276
a4	0.124888	0.173836	0.219738	0.212753	0.12762	0.0492003	0.0204034	0.0152174	0.0131516	0.0112776	0.0127268	0.0191894
a93	0.0920727	0.14851	0.215336	0.223665	0.149279	0.064123	0.027837	0.0180304	0.0153376	0.0125351	0.0136105	0.0196641
a62	0.0732419	0.136488	0.210428	0.228863	0.173462	0.071966	0.0284277	0.0186312	0.0160904	0.0124227	0.0127382	0.0172412
a47	0.0597355	0.110292	0.201484	0.237819	0.198633	0.0948218	0.0322579	0.0172146	0.0146689	0.0107003	0.0101843	0.0121884
a21	0.0577969	0.106944	0.17013	0.209147	0.180134	0.0980559	0.0508734	0.0310727	0.0283437	0.0227462	0.0214023	0.0233537
a5	0.0881068	0.125999	0.181494	0.199383	0.164971	0.0889094	0.0497105	0.0270396	0.0246793	0.0176419	0.0162242	0.0158413
a96	0.0471249	0.0647474	0.113401	0.179104	0.191731	0.138965	0.0894714	0.0517504	0.0437459	0.0291122	0.0254591	0.0253882
a62	0.0317489	0.0470774	0.0835559	0.148855	0.20005	0.191062	0.114336	0.0544568	0.0465421	0.0299298	0.0259495	0.0264355
a21	0.0270943	0.039777	0.0713911	0.124698	0.170109	0.197304	0.141454	0.0725653	0.0632167	0.0366518	0.0281926	0.0275463
a85	0.0477758	0.048112	0.0570274	0.082206	0.11914	0.163956	0.145067	0.0915715	0.0905106	0.060077	0.0474535	0.0471026
a44	0.0414659	0.0337041	0.0370019	0.0502327	0.0857637	0.160579	0.147639	0.114954	0.105322	0.0779191	0.0687918	0.0766264
a54	0.0229351	0.0274255	0.0318958	0.0409603	0.071812	0.195254	0.218364	0.111916	0.093567	0.0576926	0.0554761	0.0727018
a7	0.0188522	0.0147744	0.016218	0.0218607	0.0353081	0.106653	0.152028	0.142373	0.126036	0.109309	0.114174	0.142413
a57	0.0183412	0.0210835	0.0233013	0.0281877	0.0417689	0.132117	0.218918	0.122876	0.102116	0.070624	0.086685	0.133981
a53	0.0122367	0.0163197	0.0186872	0.0216545	0.0291544	0.0701408	0.139344	0.09745	0.0917754	0.0829709	0.13859	0.281677
a90	0.0102392	0.0129369	0.0161754	0.0205242	0.02807	0.0758904	0.164621	0.120123	0.112387	0.0911496	0.119902	0.227982
a37	0.00580697	0.00576188	0.00817553	0.0117688	0.0202781	0.0862787	0.197492	0.14591	0.139797	0.110554	0.114551	0.153627
a98	0.00487804	0.00554914	0.00812898	0.0117763	0.0185413	0.0726844	0.181228	0.140285	0.133707	0.100583	0.11853	0.204109
a47	0.00778948	0.0066169	0.00810974	0.0110779	0.0156722	0.0632389	0.169246	0.144977	0.131309	0.109542	0.131597	0.200824
a37	0.00960182	0.0073148	0.00764963	0.00905664	0.0122423	0.0547331	0.153743	0.158971	0.147639	0.115212	0.132837	0.190999
a6	0.0041945	0.00506063	0.00652237	0.00818749	0.010042	0.0433073	0.135638	0.145427	0.142682	0.114364	0.14193	0.242645
a37	0.00435197	0.00392568	0.00493933	0.00691176	0.00872162	0.0404992	0.121484	0.124895	0.145921	0.132561	0.162873	0.242916
a66	0.00273289	0.00323934	0.00485121	0.00740012	0.00933619	0.0372958	0.10049	0.114332	0.128737	0.123777	0.170007	0.297802
a98	0.00131544	0.00104652	0.00114258	0.00174508	0.00200753	0.00785401	0.0268399	0.0482095	0.0691921	0.109529	0.236899	0.494219
a47	0.00055653	0.000750172	0.00115663	0.00194127	0.00173355	0.00730945	0.0281497	0.0625221	0.0789736	0.124417	0.241977	0.450513
a79	0.0012467	0.00148187	0.00189578	0.00270774	0.00267818	0.0101381	0.0356857	0.0685674	0.0801233	0.119817	0.240786	0.434872
a37	0.000334314	0.000517334	0.00099097	0.00195205	0.00253593	0.015642	0.0476765	0.0980579	0.109103	0.140041	0.219418	0.363731
a94	0.000395157	0.000439112	0.000786062	0.00159141	0.00215485	0.0094758	0.0314095	0.0636406	0.0892834	0.129829	0.22474	0.446255
a96	0.000325246	0.000349476	0.000590526	0.00119981	0.00156118	0.00697144	0.020818	0.04876	0.0718792	0.120239	0.235938	0.491368
a44	0.0005731	0.000569168	0.00083644	0.00166534	0.0021591	0.00808976	0.0225415	0.0475146	0.0738002	0.119722	0.238025	0.484504
a57	0.000333219	0.000318554	0.000460687	0.000847732	0.00103835	0.00467308	0.0135922	0.0327496	0.0497222	0.0991661	0.237636	0.559462
a99	0.00114117	0.00067371	0.000541444	0.000679373	0.000716297	0.0029628	0.0141382	0.0404747	0.0669646	0.165869	0.279225	0.426614
a87	0.00300824	0.00179569	0.00127104	0.00140543	0.00109007	0.00299608	0.0114234	0.0305483	0.0591711	0.163872	0.299456	0.423963
a23	0.0417707	0.0238343	0.0158666	0.0150702	0.00852059	0.0195054	0.0429503	0.0724728	0.123283	0.184109	0.218121	0.234496
a87	0.00603522	0.00471614	0.00473848	0.00637551	0.00568567	0.0248776	0.0470541	0.0956028	0.145617	0.201048	0.230175	0.228073
a97	0.00149701	0.00162908	0.00270022	0.00524855	0.00495428	0.0235108	0.0334334	0.071235	0.0958069	0.156633	0.257857	0.345495
</S>	0.00807933	0.00902398	0.0119078	0.0184195	0.011713	0.0230625	0.0266991	0.0505737	0.0725177	0.118263	0.237689	0.412051
