 	les	femmes	emballent	du	manioc	avec	les	feuilles	sauvages	awoyo	</S>
a66	0.311404	0.28118	0.233241	0.0625012	0.0270686	0.0257227	0.0184028	0.0131292	0.010343	0.00891513	0.00809198
a87	0.568631	0.26897	0.0516484	0.0133661	0.00876948	0.0102502	0.0114005	0.0138907	0.0170173	0.0225523	0.0135036
a23	0.563997	0.201069	0.0647624	0.0187239	0.0142923	0.017875	0.0150995	0.0207437	0.0211769	0.0310496	0.0312102
a40	0.182304	0.0784743	0.0382095	0.0279595	0.0337741	0.0434032	0.054137	0.0995231	0.127563	0.161661	0.152991
a37	0.24275	0.163086	0.136514	0.0794972	0.064994	0.073327	0.0476994	0.0476255	0.0468552	0.0566175	0.0410342
a44	0.308824	0.36163	0.118405	0.0435205	0.024641	0.0248211	0.0184618	0.021124	0.0187299	0.0337697	0.026073
a54	0.282803	0.332815	0.147344	0.0927533	0.04002	0.0343026	0.0232695	0.017321	0.00937777	0.0135413	0.00645272
a15	0.0906912	0.240397	0.151382	0.132762	0.0984746	0.0874945	0.0583954	0.0436111	0.0318342	0.0362849	0.0286727
a47	0.138252	0.266365	0.168964	0.11727	0.0750745	0.0636856	0.047081	0.0363331	0.027938	0.0327737	0.0262628
a36	0.157518	0.21075	0.176655	0.114659	0.0674678	0.0585577	0.0480341	0.0395216	0.0330537	0.0458947	0.0478882
a6	0.121114	0.177259	0.179211	0.131667	0.0817834	0.0699633	0.0541014	0.0459169	0.0415727	0.0532647	0.044146
a37	0.0862425	0.16421	0.1587	0.111317	0.0755466	0.0841789	0.0758584	0.0638067	0.0551918	0.0680418	0.0569067
a61	0.0520814	0.0788308	0.152151	0.121076	0.104387	0.105019	0.0835356	0.0738181	0.0759525	0.0750509	0.0780981
a96	0.0234642	0.0339557	0.0846591	0.0906257	0.10582	0.137095	0.132135	0.110137	0.101007	0.0880638	0.0930385
a88	0.0123198	0.0190566	0.0380266	0.0579052	0.0823019	0.125461	0.153544	0.13865	0.131345	0.114426	0.126964
a44	0.00505836	0.00758438	0.0188432	0.0361081	0.0668919	0.102813	0.152779	0.153657	0.152323	0.152197	0.151746
a90	0.00691482	0.0101801	0.0228432	0.0340986	0.0532934	0.0817545	0.128889	0.153192	0.169907	0.172558	0.16637
a25	0.00314229	0.00393333	0.00741397	0.0114014	0.021205	0.0405649	0.0902754	0.154698	0.203177	0.22476	0.239429
a92	0.00049683	0.00058481	0.00186748	0.00445746	0.010607	0.0223104	0.053014	0.104405	0.164864	0.282704	0.354688
a98	0.000862291	0.000918387	0.00251062	0.00474192	0.0117093	0.0250003	0.0607012	0.119538	0.19202	0.275483	0.306515
a79	0.000140648	0.000197625	0.00083068	0.0038883	0.010454	0.0226313	0.047924	0.0953659	0.152325	0.289293	0.37695
a44	0.000221293	0.00026089	0.00100178	0.0035884	0.0111713	0.0244649	0.0575731	0.116503	0.196432	0.263741	0.325042
a4	0.000644862	0.000706458	0.00186161	0.00534718	0.0144318	0.0293626	0.0651001	0.109317	0.170508	0.236661	0.36606
a70	0.00105626	0.00134434	0.00216584	0.00553693	0.00990247	0.0204706	0.0499961	0.082373	0.145961	0.242154	0.439039
a13	0.000814479	0.00105953	0.00193599	0.00424552	0.00667133	0.0135576	0.0369482	0.0673763	0.127461	0.231665	0.508265
a99	0.00153752	0.0021111	0.00430631	0.0104208	0.0135556	0.0276158	0.0641984	0.0994439	0.156807	0.206293	0.41371
a87	0.0183797	0.0123874	0.023727	0.0463375	0.0492165	0.0833931	0.115303	0.138476	0.16384	0.136354	0.212585
a23	0.344307	0.159764	0.118553	0.0524179	0.0359108	0.0471753	0.0513797	0.0560917	0.0550602	0.0409692	0.0383716
a99	0.085658	0.0432201	0.0204576	0.0160139	0.0211488	0.0385619	0.0714791	0.128221	0.162031	0.202368	0.21084
a87	0.034724	0.0168353	0.0103988	0.0117044	0.0194349	0.0358064	0.0657407	0.11788	0.163269	0.22079	0.303417
</S>	0.0427871	0.0240766	0.0150421	0.0102666	0.0116269	0.0240687	0.0502746	0.112686	0.176955	0.229145	0.303071
