 	la	berge	est	très	élevée	à	cet	endroit	</S>
a23	0.114217	0.10014	0.135695	0.212375	0.278396	0.0988857	0.0290306	0.0164878	0.0147733
a87	0.280354	0.139045	0.0954239	0.0806563	0.125003	0.105278	0.0686992	0.0530542	0.0524862
a23	0.143342	0.123722	0.109179	0.0831428	0.0983022	0.0883487	0.078674	0.101677	0.173612
a94	0.373153	0.191479	0.134165	0.0674545	0.0495344	0.0242353	0.0237946	0.0436331	0.0925511
a12	0.372499	0.254549	0.158333	0.0943753	0.0609343	0.020415	0.0103831	0.0128323	0.0156778
a98	0.492839	0.30446	0.121329	0.0422502	0.0169248	0.00532067	0.00389149	0.00587929	0.00710606
a83	0.391819	0.31014	0.146205	0.0763827	0.0352208	0.0111005	0.00780233	0.00990204	0.0114283
a71	0.376252	0.297098	0.141412	0.0821621	0.0394545	0.0152444	0.0123539	0.0161525	0.0198706
a38	0.218415	0.221691	0.186804	0.160235	0.095362	0.0412745	0.0255359	0.024327	0.0263561
a41	0.159755	0.177107	0.194458	0.194572	0.12424	0.0563868	0.0328087	0.0288129	0.0318584
a24	0.121481	0.147282	0.196008	0.211432	0.159805	0.0699397	0.0347654	0.0277205	0.0315659
a31	0.0807795	0.117287	0.21219	0.230134	0.187934	0.0790164	0.0339298	0.0271247	0.031605
a24	0.083077	0.111704	0.201558	0.223128	0.18938	0.0863785	0.037249	0.0301445	0.03738
a41	0.0685406	0.088737	0.171023	0.209252	0.195866	0.122236	0.0565451	0.0400314	0.0477695
a27	0.0659828	0.0781422	0.170977	0.221755	0.200086	0.123189	0.0539361	0.0381738	0.0477582
a25	0.0420315	0.0441728	0.0957429	0.176993	0.230752	0.192076	0.0848941	0.0560412	0.077297
a87	0.0783677	0.0713658	0.127437	0.205482	0.197062	0.12372	0.0614135	0.0516376	0.0835141
a23	0.0455056	0.0472712	0.0787378	0.0980479	0.106173	0.137833	0.141521	0.137176	0.207735
a79	0.0688814	0.0499675	0.064686	0.0791107	0.0961031	0.112591	0.107308	0.136277	0.285075
a58	0.0316753	0.0249131	0.0413648	0.0416384	0.0486644	0.0610986	0.0953722	0.207628	0.447645
a57	0.0179458	0.0229635	0.0547048	0.06723	0.081995	0.10286	0.138616	0.196363	0.317323
a54	0.0151041	0.0164643	0.0371342	0.0425431	0.0544077	0.1051	0.15908	0.215908	0.354258
a41	0.0268478	0.022656	0.0433545	0.0630981	0.092291	0.104645	0.12248	0.187722	0.336906
a54	0.0147539	0.0174958	0.0493261	0.0765652	0.104502	0.121212	0.143765	0.18611	0.28627
a41	0.015732	0.0162011	0.0353134	0.0511268	0.0708731	0.0967584	0.136263	0.206991	0.370741
a26	0.0122313	0.0132308	0.0300377	0.0448691	0.0728454	0.106996	0.156714	0.214013	0.349062
a41	0.00664457	0.00585108	0.00908545	0.0108538	0.022063	0.0625235	0.163143	0.281705	0.438131
a18	0.013232	0.00985826	0.014168	0.0137484	0.0245403	0.0714541	0.170185	0.26767	0.415144
a75	0.0140478	0.00933727	0.0108166	0.0111398	0.0193286	0.0589695	0.158295	0.277916	0.440149
a73	0.0193804	0.0116492	0.0136608	0.0115708	0.0178983	0.0595752	0.166162	0.273486	0.426617
a76	0.00807086	0.00616195	0.0107422	0.0123994	0.0234058	0.0703911	0.173428	0.292874	0.402526
a90	0.0343897	0.022182	0.0310863	0.021633	0.0295242	0.0790353	0.171696	0.240449	0.370004
a58	0.0129334	0.00923007	0.0152129	0.0185566	0.0268436	0.0641979	0.152091	0.277299	0.423635
a44	0.00910032	0.00582194	0.00770927	0.00788118	0.0132908	0.0458544	0.134266	0.287055	0.489021
a75	0.0180712	0.0100639	0.0107895	0.0105502	0.0165402	0.0465164	0.132902	0.275574	0.478992
a41	0.0170306	0.0101296	0.0118034	0.0115824	0.0171523	0.0456765	0.130949	0.274655	0.481021
a18	0.00821965	0.00570621	0.0076087	0.00761298	0.0108923	0.0343166	0.109361	0.282449	0.533834
a38	0.00740953	0.00466146	0.00567037	0.00595338	0.0087788	0.0254903	0.0894683	0.253614	0.598954
a0	0.00989806	0.00583042	0.00659145	0.0065371	0.0105883	0.0296377	0.0990429	0.267233	0.564641
a31	0.00843727	0.00495378	0.00572371	0.00492678	0.00725154	0.0231276	0.0887135	0.253568	0.603298
a88	0.0123443	0.00749273	0.0092144	0.00643789	0.00743293	0.0204857	0.0762663	0.223041	0.637285
a71	0.00829143	0.00585331	0.00771286	0.00609344	0.00797933	0.0228264	0.0768573	0.214045	0.650341
a25	0.00721707	0.0046052	0.00656526	0.00607819	0.00968465	0.0274223	0.0929519	0.228627	0.616848
a53	0.00720928	0.00418907	0.00460054	0.00348483	0.00599428	0.0195857	0.0877741	0.246566	0.620597
a4	0.00583684	0.00342159	0.00363085	0.00282596	0.00560002	0.0166975	0.0677557	0.221919	0.672312
a57	0.00553463	0.00333598	0.00450009	0.00390228	0.00742567	0.0221405	0.0783918	0.219535	0.655234
a3	0.00406248	0.00254489	0.00313417	0.00266989	0.0055505	0.0184464	0.0710411	0.200862	0.691688
a87	0.00305692	0.00194049	0.00226387	0.00159093	0.00329823	0.0133616	0.0650612	0.19979	0.709636
</S>	0.0064081	0.0044313	0.00576209	0.00450789	0.011641	0.0320351	0.0874956	0.204153	0.643566
