 	cet	homme	est	un	brigand	</S>
a23	0.351136	0.191931	0.136557	0.122203	0.104027	0.094145
a87	0.497931	0.212597	0.126099	0.0667162	0.0454909	0.0511653
a23	0.418479	0.251098	0.148171	0.081404	0.0510877	0.0497604
a38	0.530283	0.23195	0.101256	0.0446763	0.0347695	0.057065
a20	0.541958	0.252455	0.100377	0.0448468	0.0302397	0.0301235
a94	0.401718	0.298733	0.16147	0.0718117	0.0391299	0.0271375
a90	0.328337	0.298703	0.210231	0.0955643	0.0433534	0.0238123
a94	0.273332	0.275244	0.230037	0.123301	0.0630667	0.0350186
a20	0.270691	0.259703	0.21712	0.132455	0.0754902	0.0445402
a30	0.280174	0.252155	0.198065	0.12667	0.085938	0.056998
a26	0.262207	0.244998	0.213101	0.145996	0.0867448	0.0469543
a24	0.207403	0.187419	0.195914	0.177632	0.13367	0.0979621
a41	0.155655	0.150516	0.175242	0.191469	0.180556	0.146562
a35	0.110827	0.114343	0.169713	0.21184	0.206525	0.186752
a66	0.0678093	0.0689307	0.125601	0.214832	0.262718	0.260109
a11	0.0507426	0.0523512	0.0869477	0.159307	0.264183	0.386468
a90	0.0347648	0.0296396	0.0450818	0.107145	0.245638	0.53773
a94	0.0194622	0.0157857	0.0309065	0.10621	0.272816	0.55482
a90	0.0199145	0.014938	0.0275369	0.0905443	0.238415	0.608652
a57	0.0192711	0.0153523	0.0279192	0.0901381	0.250958	0.596361
a3	0.0185127	0.0131178	0.021007	0.0621934	0.208656	0.676513
a87	0.0208834	0.0111209	0.014225	0.041588	0.189325	0.722858
</S>	0.0591263	0.0366797	0.0511212	0.116594	0.251553	0.484925
