 	ces	chiens	sont	en	train	de	s'	accoupler	</S>
a66	0.18942	0.245081	0.177394	0.164125	0.125876	0.0592032	0.0214372	0.0112259	0.00623834
a87	0.612883	0.15161	0.0545096	0.0407019	0.0382083	0.03115	0.0295423	0.0240137	0.0173809
a23	0.668919	0.152033	0.0337175	0.0245702	0.0283468	0.020873	0.0208193	0.0240171	0.0267033
a40	0.44438	0.0892577	0.0357261	0.0322479	0.0384785	0.0525244	0.0815833	0.108963	0.116839
a7	0.388355	0.121825	0.107225	0.098008	0.104779	0.0715617	0.0445858	0.0398428	0.0238177
a37	0.295949	0.181392	0.135811	0.0827158	0.0684041	0.0672326	0.07741	0.0589139	0.0321709
a26	0.250895	0.167849	0.182522	0.135728	0.0903602	0.0682549	0.0588857	0.0318415	0.0136639
a54	0.119162	0.0953435	0.14721	0.168525	0.137315	0.128029	0.12618	0.0581019	0.0201338
a6	0.112429	0.159581	0.21047	0.157898	0.10059	0.0794204	0.0753969	0.0655832	0.0386313
a37	0.0932533	0.140487	0.214748	0.175043	0.0972197	0.0757646	0.0708102	0.0669652	0.0657085
a5	0.0972546	0.162639	0.207394	0.17874	0.114571	0.0754921	0.064114	0.0540221	0.045773
a96	0.0523743	0.123294	0.175838	0.169992	0.127339	0.0916488	0.0848179	0.0921186	0.0825774
a44	0.0334156	0.0747315	0.125302	0.156114	0.140568	0.114014	0.112278	0.12277	0.120806
a15	0.0287061	0.0622183	0.121277	0.164082	0.142478	0.114588	0.11498	0.124575	0.127095
a47	0.0266976	0.0593008	0.118969	0.153916	0.118033	0.0981411	0.104941	0.124703	0.195299
a6	0.0269748	0.0612026	0.123468	0.164199	0.130502	0.0958863	0.0857767	0.103117	0.208873
a37	0.0264058	0.0546937	0.116541	0.166207	0.14508	0.121334	0.110886	0.10716	0.151693
a61	0.030703	0.0467427	0.0727469	0.125121	0.136207	0.115686	0.105395	0.157598	0.2098
a21	0.0303888	0.0472686	0.0625467	0.100514	0.122765	0.124092	0.106823	0.155247	0.250355
a6	0.00870456	0.015759	0.0219076	0.0405942	0.0706691	0.112292	0.122728	0.194955	0.41239
a36	0.00439974	0.0083119	0.0161177	0.0350111	0.0629663	0.108241	0.121579	0.18754	0.455833
a27	0.00444453	0.00763377	0.0110684	0.0184653	0.0294608	0.0525046	0.0761248	0.213276	0.587021
a38	0.0123402	0.014005	0.0163438	0.0254691	0.0397645	0.0593462	0.0925647	0.179713	0.560454
a18	0.0121982	0.00938912	0.0101957	0.0149174	0.0214994	0.0399616	0.0979737	0.257862	0.536002
a27	0.00635283	0.00820299	0.0108819	0.0164253	0.0254367	0.0369943	0.0808889	0.21637	0.598448
a82	0.0218986	0.0207732	0.0176939	0.0226687	0.0347211	0.0375161	0.0607108	0.149821	0.634196
a87	0.105567	0.0640399	0.0379919	0.0394501	0.054635	0.0614575	0.092137	0.136372	0.40835
a23	0.345795	0.145723	0.0691161	0.0765166	0.105448	0.100038	0.0718763	0.0366278	0.0488578
a87	0.394249	0.125887	0.051124	0.0405165	0.0529768	0.0706787	0.0953539	0.069848	0.0993669
</S>	0.12339	0.0533862	0.034485	0.0479403	0.0788305	0.106579	0.166418	0.165262	0.22371
