 	grande	brousse	qui	pousse	après	la	plantation	</S>
a23	0.320553	0.144715	0.116583	0.131577	0.120101	0.0650566	0.0510029	0.0504116
a83	0.470131	0.14013	0.0982103	0.0723385	0.0631175	0.0499663	0.0520608	0.0540459
a38	0.344273	0.20339	0.111174	0.0493211	0.0564074	0.0563671	0.0787195	0.100348
a10	0.487248	0.287962	0.122428	0.0317731	0.024318	0.0149047	0.0157649	0.0156009
a11	0.418499	0.320873	0.164312	0.0408102	0.0194875	0.0123361	0.0118612	0.0118212
a70	0.265798	0.283278	0.208643	0.0958666	0.0467109	0.0326938	0.0324695	0.0345407
a61	0.206787	0.252286	0.228829	0.132927	0.0616567	0.0391376	0.0371253	0.041251
a31	0.188368	0.245726	0.231325	0.142149	0.0658008	0.0422482	0.039929	0.0444547
a0	0.172106	0.23387	0.234169	0.169319	0.0792486	0.0411516	0.034264	0.0358716
a9	0.111755	0.163749	0.217226	0.216375	0.117227	0.0650637	0.0534671	0.0551371
a75	0.0717603	0.104616	0.154578	0.178206	0.130777	0.10676	0.114783	0.138521
a25	0.0664527	0.0982022	0.119094	0.15522	0.140679	0.13006	0.132883	0.15741
a56	0.0807972	0.10709	0.127553	0.197442	0.179177	0.11874	0.0921816	0.0970183
a96	0.0900863	0.103635	0.107516	0.189638	0.175909	0.131191	0.102345	0.0996799
a90	0.0429069	0.0487458	0.0659984	0.184484	0.230662	0.181502	0.127407	0.118294
a96	0.0396358	0.0495784	0.0578322	0.146031	0.21817	0.204164	0.155351	0.129237
a75	0.0303673	0.0340926	0.0420991	0.0974623	0.181226	0.251322	0.202541	0.16089
a56	0.043742	0.0484923	0.0508536	0.0834204	0.127281	0.19315	0.214871	0.238189
a11	0.0118456	0.0127318	0.0165888	0.04895	0.116384	0.248011	0.28359	0.261898
a75	0.00508896	0.00419303	0.00514557	0.0187916	0.0491171	0.160454	0.303051	0.454159
a92	0.0213395	0.0196172	0.0190318	0.0353798	0.0708216	0.162479	0.262678	0.408653
a34	0.0249292	0.023165	0.0243198	0.0433435	0.0738078	0.152609	0.245123	0.412702
a70	0.00489323	0.00461248	0.00510557	0.0144415	0.0352369	0.117719	0.278701	0.53929
a93	0.00231798	0.00219689	0.0026379	0.010681	0.0309075	0.118322	0.284855	0.548081
a70	0.00349924	0.00297152	0.00354755	0.0105288	0.0299002	0.116167	0.28547	0.547915
a75	0.00579683	0.00510634	0.00551404	0.0143816	0.0332557	0.106794	0.264772	0.56438
a37	0.00848834	0.00811772	0.00946203	0.0201842	0.036507	0.103685	0.254811	0.558745
a27	0.0022102	0.0021261	0.00221228	0.0075722	0.0244647	0.105687	0.277292	0.578435
a54	0.0042363	0.00315761	0.00326823	0.008116	0.0262125	0.112579	0.312551	0.529879
a37	0.00206794	0.00167268	0.00193455	0.00686508	0.0235405	0.102016	0.301947	0.559956
a26	0.00164536	0.00150238	0.00163326	0.00553103	0.0204866	0.0949757	0.286853	0.587373
a57	0.0221344	0.0138935	0.0129723	0.0198185	0.0487283	0.147489	0.297504	0.43746
a87	0.0936427	0.0736499	0.0672798	0.0629468	0.103905	0.168307	0.204861	0.225409
a23	0.134404	0.0991096	0.0861783	0.0781341	0.126624	0.157102	0.165914	0.152534
a87	0.0873985	0.0732869	0.0566678	0.0522741	0.120582	0.187229	0.20433	0.218232
</S>	0.0223169	0.0189927	0.0189729	0.0388131	0.109588	0.200768	0.257848	0.3327
