 	ragardez	si	vous	le	voyez	au-dessus	</S>
a23	0.308955	0.125522	0.0910478	0.0972685	0.110234	0.11493	0.152043
a87	0.511376	0.126762	0.0585683	0.0467684	0.0527102	0.0791724	0.124643
a23	0.314111	0.143445	0.0784491	0.0585481	0.0672118	0.121621	0.216613
a83	0.597242	0.100169	0.0433609	0.0283991	0.03617	0.056535	0.138125
a24	0.856566	0.0838367	0.0206576	0.0115092	0.00866943	0.00828018	0.0104812
a18	0.78362	0.150908	0.0292412	0.0118049	0.00781065	0.00773065	0.00888468
a25	0.667121	0.213781	0.0499946	0.0217266	0.0165711	0.0150524	0.0157529
a38	0.375888	0.296386	0.125996	0.0656715	0.0499508	0.0438694	0.0422379
a30	0.351306	0.317128	0.153319	0.0733344	0.0467225	0.0307272	0.0274621
a2	0.281352	0.299202	0.216099	0.102291	0.0504977	0.0270581	0.0235004
a57	0.117735	0.165925	0.197525	0.180134	0.121739	0.0994556	0.117487
a79	0.089053	0.109512	0.125034	0.133367	0.13848	0.170128	0.234427
a53	0.137925	0.153518	0.154426	0.132099	0.126832	0.127943	0.167257
a15	0.176088	0.249016	0.214761	0.129456	0.0915032	0.0756379	0.0635376
a73	0.100059	0.147857	0.159866	0.126959	0.136351	0.163559	0.165349
a69	0.0818134	0.13422	0.178819	0.138665	0.119919	0.157845	0.188718
a15	0.0942257	0.0905118	0.106672	0.123029	0.136097	0.197321	0.252143
a73	0.0533563	0.052394	0.0694023	0.102874	0.140092	0.237895	0.343987
a44	0.0626839	0.0508519	0.0604115	0.0879204	0.130216	0.237578	0.370337
a98	0.058096	0.0471823	0.0538934	0.0817	0.122311	0.243514	0.393304
a14	0.0445062	0.0372722	0.0497191	0.0847601	0.135836	0.27081	0.377097
a44	0.0444271	0.0479194	0.0759021	0.133155	0.175321	0.23152	0.291755
a2	0.0289386	0.0325014	0.0522972	0.0902947	0.149659	0.282216	0.364094
a57	0.0192939	0.0214689	0.0329206	0.0613159	0.125746	0.317922	0.421333
a75	0.0232899	0.0185487	0.0281434	0.0501785	0.110358	0.288162	0.481319
a14	0.0375334	0.0156862	0.0192989	0.0368014	0.0934306	0.276674	0.520576
a94	0.0147502	0.0180581	0.0355282	0.0846468	0.158966	0.282557	0.405494
a12	0.00880601	0.011439	0.022762	0.0378971	0.0730376	0.268116	0.577942
a98	0.0201052	0.0186959	0.0286537	0.0466393	0.0846427	0.268825	0.532438
a88	0.0184244	0.0138577	0.0241977	0.0412438	0.0796529	0.276487	0.546136
a9	0.0144711	0.0126228	0.0209572	0.0266061	0.0485835	0.218599	0.65816
a87	0.00321254	0.00310099	0.00642271	0.0127324	0.0405412	0.247101	0.686889
a84	0.003449	0.00140362	0.00311167	0.0094019	0.0497519	0.258247	0.674635
a53	0.0129975	0.00429163	0.0109571	0.030684	0.0804373	0.25475	0.605883
a13	0.0175599	0.00426417	0.00416574	0.0097955	0.0444807	0.265189	0.654545
a9	0.0117869	0.00455289	0.0069768	0.0156927	0.0526103	0.277874	0.630506
a87	0.0027499	0.00146166	0.00261988	0.00759785	0.0368377	0.272571	0.676162
</S>	0.00603455	0.00251917	0.00614678	0.0169371	0.0653501	0.264002	0.63901
