 	les	sangliers	dorment	dans	les	endroits	touffus	de	la	forêt	</S>
a84	0.243045	0.175107	0.169388	0.147201	0.0996486	0.0459042	0.0318156	0.0252889	0.0217828	0.0205638	0.0202553
a87	0.609224	0.141061	0.0477112	0.0389222	0.0376464	0.0261831	0.027712	0.0175545	0.0199125	0.016436	0.0176375
a23	0.299231	0.143903	0.113126	0.0875619	0.0837371	0.0677213	0.0490196	0.0445738	0.0400638	0.0324161	0.0386471
a40	0.199626	0.101475	0.0821846	0.0795925	0.109715	0.0779991	0.0708179	0.0623726	0.0608036	0.0608878	0.0945261
a36	0.269152	0.19345	0.129254	0.112241	0.0919785	0.0473536	0.0531278	0.0343634	0.0271772	0.0222251	0.0196767
a93	0.133719	0.187184	0.140776	0.0808247	0.0911944	0.0990436	0.0965409	0.0575618	0.0437692	0.0372913	0.0320946
a70	0.132469	0.139785	0.131757	0.0753752	0.0872282	0.106328	0.114325	0.0801193	0.0534618	0.0435775	0.0355726
a93	0.137685	0.119878	0.121396	0.0909125	0.0973507	0.110223	0.113688	0.072372	0.0476765	0.0459733	0.0428454
a70	0.0933222	0.138349	0.156449	0.0926277	0.0789564	0.0770972	0.0752682	0.0753001	0.0574637	0.0734995	0.0816673
a98	0.0790762	0.114689	0.167972	0.107749	0.0887378	0.0772144	0.0623977	0.0700216	0.0630534	0.07857	0.0905192
a15	0.0839962	0.116276	0.122533	0.0870091	0.0686805	0.0575723	0.0587326	0.0811981	0.0801064	0.111471	0.132425
a98	0.0549611	0.0980792	0.159579	0.100764	0.076983	0.0596683	0.0521191	0.0771997	0.0871657	0.110153	0.123329
a15	0.0544895	0.0933576	0.149668	0.0846554	0.0715124	0.0670933	0.066979	0.0835565	0.07829	0.113906	0.136492
a0	0.028925	0.056547	0.187456	0.129244	0.111181	0.0931432	0.0707968	0.0779632	0.0730328	0.0822377	0.0894733
a56	0.0106946	0.0190331	0.0656982	0.043834	0.0559683	0.0842566	0.0647439	0.107362	0.133563	0.199248	0.215598
a44	0.0154749	0.02044	0.0451144	0.0418277	0.0684564	0.0847743	0.0738508	0.112331	0.124606	0.182204	0.230921
a96	0.00554368	0.00755416	0.0158045	0.0156849	0.0321387	0.0532843	0.0594114	0.124271	0.157938	0.227954	0.300414
a0	0.00412881	0.00574738	0.0100589	0.0102769	0.0217266	0.0449145	0.0538898	0.116508	0.173684	0.23347	0.325595
a31	0.00356958	0.00571581	0.0101618	0.0126676	0.0218812	0.0538011	0.0597769	0.125378	0.193507	0.219667	0.293874
a88	0.0033345	0.00467285	0.00740398	0.00928492	0.0168353	0.0406146	0.0540523	0.12623	0.21545	0.237215	0.284906
a38	0.00176143	0.00297699	0.00649774	0.0103818	0.016	0.0398095	0.0487197	0.101982	0.212644	0.242368	0.316858
a70	0.00218565	0.00354609	0.00908166	0.0174692	0.0261863	0.0527606	0.0516089	0.091363	0.175226	0.22938	0.341193
a75	0.00161463	0.00261897	0.00971821	0.0227928	0.0369234	0.068091	0.0584613	0.0923583	0.170443	0.229312	0.307667
a6	7.3751e-05	0.000160895	0.000685988	0.00135872	0.00304269	0.0108843	0.0192278	0.0543303	0.155374	0.270049	0.484812
a36	0.000147344	0.000312446	0.00122585	0.00260311	0.00532768	0.0160856	0.0221447	0.055708	0.162746	0.276241	0.457458
a27	0.00212261	0.00374602	0.0114761	0.0224074	0.0331187	0.0523064	0.0424296	0.0717218	0.141834	0.240682	0.378155
a57	0.0266815	0.028679	0.0536357	0.0600941	0.0711623	0.0945633	0.0813802	0.107255	0.136649	0.161498	0.178402
a87	0.157494	0.0790816	0.0823037	0.0834979	0.085484	0.0894098	0.0750482	0.0755451	0.0884278	0.0864106	0.0972974
a23	0.190514	0.12236	0.116831	0.121119	0.102795	0.0752078	0.0624932	0.0497487	0.0540079	0.0465956	0.058328
a87	0.0443079	0.0187251	0.0170965	0.0154367	0.0190049	0.0309497	0.0604269	0.117411	0.172733	0.216268	0.28764
</S>	0.00900381	0.00457698	0.00639381	0.00867328	0.0121238	0.0176623	0.0311105	0.0821378	0.132904	0.253418	0.441995
