 	ce	petit	enfant	n'	a	pas	pu	bien	nettoyer	son	habit	voilà	pourquoi	il	est	gâté	</S>
a66	0.178017	0.133693	0.118028	0.102571	0.0886781	0.0802571	0.0802719	0.0533879	0.0414231	0.0301949	0.0224012	0.0188681	0.0150969	0.00982802	0.0101917	0.00835802	0.0087345
a87	0.232256	0.143036	0.0813274	0.0586862	0.0429778	0.0380189	0.0359356	0.0430436	0.0377659	0.0383731	0.0298514	0.0330133	0.0342919	0.0263216	0.0358691	0.0355053	0.0537263
a97	0.195701	0.111361	0.0533867	0.0434971	0.0354783	0.0324291	0.0328117	0.0267211	0.0304971	0.0282451	0.026607	0.0398395	0.0483212	0.0603578	0.0813874	0.0785096	0.0748487
a10	0.146287	0.0990714	0.0491485	0.0403907	0.0324258	0.0326669	0.0330196	0.0350856	0.0389688	0.0415076	0.0445718	0.0670829	0.0676062	0.0646228	0.0733946	0.0669314	0.0672189
a87	0.130146	0.0801797	0.0373799	0.0318267	0.0268345	0.0316278	0.036551	0.042622	0.0471384	0.0495862	0.0534468	0.0675637	0.0683386	0.068703	0.084761	0.0702824	0.0730117
a97	0.108997	0.0719342	0.0354624	0.0307412	0.026473	0.0322096	0.0383245	0.0459838	0.0522723	0.0560374	0.0610976	0.0740698	0.0695507	0.0698271	0.083027	0.0705666	0.073426
a53	0.102149	0.0634911	0.0336898	0.030596	0.0280481	0.0353197	0.0465774	0.0501786	0.0543313	0.0535718	0.0583636	0.0640681	0.0593999	0.068053	0.0905478	0.0790044	0.0826108
a54	0.240987	0.151076	0.0791425	0.0616141	0.047528	0.0443037	0.0580324	0.0519811	0.0473242	0.0234979	0.0188877	0.0156466	0.0170172	0.0231877	0.0438326	0.0357433	0.0401982
a92	0.184514	0.160532	0.102372	0.0821491	0.0662844	0.0525531	0.0653044	0.0583494	0.0534323	0.0216017	0.0160373	0.0128727	0.0127234	0.0165875	0.0342757	0.0285027	0.0319084
a5	0.123056	0.127629	0.0986891	0.0934334	0.0869567	0.0696883	0.0773871	0.0673232	0.0653594	0.0313902	0.022601	0.0187497	0.0170589	0.0153496	0.0267214	0.0272443	0.0313624
a37	0.0743736	0.0852581	0.0885253	0.0979963	0.104751	0.0920353	0.0952603	0.0810773	0.072657	0.0392454	0.0270169	0.0268642	0.0217138	0.0178938	0.0223873	0.0245351	0.0284092
a21	0.0560432	0.0667285	0.0781511	0.0923042	0.106469	0.0913424	0.0916661	0.0766954	0.0651417	0.0405906	0.0332006	0.035156	0.0295591	0.0271586	0.0328367	0.037421	0.0395361
a47	0.0607907	0.0757255	0.0910947	0.0993262	0.103926	0.0923874	0.0846866	0.0703189	0.0606467	0.0452319	0.0368069	0.0376483	0.029069	0.0239931	0.0268972	0.0298659	0.0315848
a31	0.040808	0.0516878	0.0799578	0.098277	0.115836	0.106752	0.101838	0.0812809	0.0649503	0.0517731	0.0479744	0.044822	0.0319272	0.022142	0.0200434	0.0194073	0.020523
a0	0.0355239	0.0462591	0.0774894	0.0947376	0.113288	0.104027	0.104133	0.0798887	0.0667151	0.0550226	0.0473753	0.0463424	0.0327816	0.0229496	0.0220726	0.0246299	0.0267642
a11	0.0177546	0.0235476	0.0523701	0.0760655	0.111122	0.123946	0.139088	0.103809	0.0847826	0.0575463	0.0431811	0.0389537	0.0263079	0.0198517	0.0197022	0.0265187	0.0354535
a93	0.0143793	0.0180432	0.0387774	0.0589835	0.0893832	0.114693	0.14278	0.114121	0.109072	0.0773639	0.050913	0.0417074	0.0272453	0.0201886	0.0189682	0.0256087	0.0377726
a90	0.0219302	0.0252149	0.0497089	0.0674013	0.0941759	0.106526	0.117959	0.0922371	0.0791171	0.0682749	0.0577011	0.052628	0.0390575	0.0281042	0.0267763	0.033322	0.0398656
a15	0.00683533	0.00814402	0.0197955	0.0290316	0.0466298	0.0661537	0.0743293	0.0711252	0.0609348	0.0812427	0.0922411	0.0987154	0.0792771	0.0585707	0.056061	0.0722428	0.0786699
a69	0.00446481	0.00570057	0.0158858	0.0252527	0.0442492	0.0773124	0.0893717	0.0838453	0.0690494	0.0942459	0.104368	0.101881	0.0700077	0.0485292	0.0415554	0.0564905	0.0677905
a20	0.00434409	0.00480766	0.00985257	0.0140043	0.023298	0.0439873	0.0622181	0.0683888	0.0697025	0.110276	0.126999	0.113071	0.0771553	0.0591683	0.0518125	0.0713615	0.0895534
a25	0.00441742	0.00545412	0.0113638	0.0152272	0.022782	0.0377672	0.0534299	0.0620518	0.0583211	0.108403	0.107129	0.110068	0.0717388	0.0596419	0.05299	0.0858457	0.133369
