 	il	paraît	que	la	maison	d'	un	tel	est	incendiée	</S>
a66	0.125694	0.0995355	0.120922	0.150736	0.149075	0.160459	0.112074	0.0471567	0.0141868	0.0111767	0.00898427
a87	0.302583	0.18094	0.144788	0.0982765	0.0725975	0.0795371	0.059341	0.0300547	0.0162884	0.00975657	0.00583653
a23	0.263499	0.174787	0.134729	0.102076	0.0912342	0.0908527	0.0686873	0.0426286	0.0166063	0.00830992	0.00659091
a13	0.206082	0.160002	0.0845561	0.0646856	0.0682251	0.0804171	0.0818362	0.0679974	0.0576638	0.0582751	0.0702606
a62	0.107787	0.112705	0.0770557	0.0721518	0.0760746	0.0821483	0.0940302	0.0744379	0.11157	0.099665	0.0923741
a21	0.21815	0.225962	0.155667	0.108034	0.0724378	0.0648405	0.0540785	0.0354989	0.0279128	0.0220655	0.0153529
a5	0.169884	0.189576	0.142876	0.107948	0.0955208	0.0912933	0.0740444	0.0486522	0.0464427	0.0219414	0.011821
a43	0.151517	0.162781	0.111606	0.0910644	0.0879	0.0956329	0.0867211	0.0709544	0.0694722	0.0456123	0.0267381
a31	0.117628	0.14115	0.109902	0.0882621	0.0853714	0.0890173	0.081599	0.0764975	0.0780971	0.0798927	0.0525833
a96	0.0890797	0.137081	0.134934	0.114355	0.101099	0.096302	0.0849013	0.0673399	0.0553735	0.0586353	0.060899
a75	0.0675709	0.119588	0.128619	0.115003	0.105437	0.0947218	0.0828598	0.0597879	0.0565503	0.0765024	0.0933605
a56	0.0639161	0.112973	0.113575	0.109083	0.0995757	0.0994825	0.0798968	0.0587638	0.0548955	0.0682094	0.139629
a90	0.0553653	0.104709	0.125498	0.131041	0.124134	0.109772	0.082983	0.0488312	0.0386386	0.0619293	0.117098
a98	0.0308616	0.0593942	0.0738224	0.0874509	0.097393	0.101797	0.0916691	0.0696127	0.0671316	0.106227	0.214641
a92	0.0252369	0.0431575	0.058568	0.0857044	0.101866	0.111878	0.0984591	0.0699901	0.0720529	0.0872083	0.245879
a12	0.0141464	0.0265812	0.0345788	0.0566858	0.0812636	0.0897251	0.0950829	0.0725447	0.0911005	0.11586	0.322431
a96	0.0155068	0.0225551	0.0256689	0.0417324	0.0589211	0.057781	0.0652526	0.0480403	0.0704112	0.143598	0.450532
a88	0.00903438	0.0156468	0.0188799	0.0313494	0.0410223	0.0414882	0.0475413	0.0346078	0.0479655	0.169099	0.543365
a53	0.00466222	0.00799392	0.0114519	0.0209642	0.0256558	0.0263962	0.0315348	0.0242639	0.0609607	0.185637	0.60048
a93	0.00166089	0.00262223	0.00359852	0.00696022	0.011836	0.0148598	0.0254453	0.0261645	0.0712994	0.208274	0.62728
a94	0.000775643	0.00106351	0.00148976	0.0031048	0.00518668	0.00655031	0.0110976	0.0110751	0.0457989	0.168401	0.745457
a26	0.000287075	0.000449223	0.000693967	0.00143773	0.00220357	0.00264519	0.00440893	0.00470573	0.0360647	0.133225	0.813879
a57	0.0156695	0.0190936	0.025061	0.032895	0.0308878	0.0275045	0.0288115	0.0279817	0.089205	0.16353	0.53936
a87	0.0417608	0.0377736	0.0454794	0.0579101	0.0620426	0.0598761	0.0764512	0.0882662	0.121829	0.134906	0.273705
a23	0.108835	0.0826139	0.0897152	0.0929064	0.113301	0.125523	0.160198	0.142646	0.0396813	0.0215857	0.0229945
a87	0.0354377	0.0191773	0.0170939	0.0212339	0.0349325	0.0595235	0.115667	0.18521	0.15965	0.132271	0.219803
</S>	0.00628939	0.00418517	0.00483565	0.00779542	0.0148617	0.0241883	0.0392555	0.0603195	0.117486	0.188301	0.532483
