 	la	pierre	que	j'	ai	lancée	au	chien	l'	a	atteint	</S>
a66	0.13474	0.101917	0.124904	0.145943	0.145674	0.116822	0.0910868	0.0636277	0.0364643	0.0194059	0.0104676	0.0089479
a87	0.103203	0.0482396	0.0591553	0.0825319	0.126468	0.21342	0.133462	0.0690061	0.0439362	0.0390698	0.0415411	0.0399668
a97	0.0861936	0.0625305	0.0911067	0.122564	0.173143	0.228165	0.0945132	0.0565141	0.0330515	0.0197519	0.0170883	0.0153774
a99	0.0740217	0.0601739	0.105347	0.139285	0.192727	0.200966	0.0915162	0.0527374	0.0326531	0.0204375	0.0165394	0.0135957
a83	0.131947	0.103518	0.114242	0.11859	0.144796	0.15407	0.078444	0.0566496	0.0383136	0.0256019	0.0182047	0.0156239
a88	0.211343	0.209416	0.141024	0.103458	0.0899179	0.0848729	0.0454773	0.0368254	0.0252337	0.0222147	0.0160594	0.0141579
a38	0.237523	0.25694	0.160817	0.100136	0.09369	0.0564545	0.0272487	0.0201058	0.0155623	0.0140193	0.0100192	0.00748478
a47	0.223745	0.254765	0.152657	0.0951461	0.095438	0.0549783	0.0283207	0.0213998	0.0195077	0.0202782	0.0181316	0.0156323
a24	0.15658	0.231007	0.158656	0.12391	0.144546	0.08318	0.0253153	0.0137017	0.0123531	0.0145387	0.0169645	0.0192484
a31	0.153914	0.229016	0.165965	0.12943	0.141874	0.0753183	0.0288904	0.0149479	0.0123811	0.0132176	0.0156116	0.0194341
a88	0.117273	0.17855	0.165007	0.153159	0.173801	0.103131	0.0361506	0.016211	0.011824	0.0117502	0.0145239	0.018619
a31	0.0849916	0.158238	0.1677	0.157943	0.176706	0.115035	0.0451103	0.0200449	0.0141069	0.0139324	0.0190883	0.0271041
a96	0.115989	0.156166	0.135988	0.124986	0.145272	0.108294	0.067085	0.0369442	0.0263679	0.0232964	0.0269193	0.0326931
a24	0.0522955	0.0968169	0.142254	0.149975	0.188753	0.150189	0.0820889	0.0391075	0.0242405	0.0201917	0.0235961	0.0304917
a96	0.0321329	0.0630257	0.119947	0.137603	0.187071	0.166394	0.108974	0.056888	0.0345419	0.0259131	0.0289638	0.0385454
a75	0.0277672	0.0514424	0.110607	0.140633	0.192165	0.173621	0.114323	0.0587285	0.0351318	0.0266556	0.0294875	0.0394395
a79	0.01361	0.0232767	0.0553135	0.0904084	0.141547	0.151343	0.119294	0.0824123	0.0595842	0.0623559	0.0850552	0.1158
a37	0.00925055	0.0193319	0.0555234	0.0947627	0.135579	0.151859	0.129919	0.0970715	0.0658918	0.0580405	0.0742946	0.108477
a54	0.0137091	0.0232773	0.0578349	0.0927432	0.120993	0.13235	0.129819	0.0970505	0.0637396	0.0546076	0.0768896	0.136987
a92	0.00950637	0.0164889	0.0327209	0.0484036	0.0699196	0.0950025	0.108603	0.110736	0.0815956	0.0849678	0.124089	0.217967
a37	0.00663861	0.011184	0.0241595	0.038928	0.0583514	0.0852179	0.101041	0.120825	0.0972266	0.0965	0.13174	0.228188
a56	0.00819986	0.0128696	0.0265295	0.0364371	0.0480287	0.0656792	0.0778236	0.0976043	0.0952941	0.110237	0.146233	0.275063
a31	0.00540463	0.00909138	0.0199572	0.0286647	0.0425186	0.0616905	0.0691519	0.0941612	0.101429	0.12838	0.167615	0.271935
a88	0.00675427	0.0107329	0.0223832	0.0310163	0.0382464	0.0464433	0.0421214	0.0525125	0.0613023	0.0995018	0.203196	0.385789
a71	0.00356737	0.00682152	0.016558	0.0237496	0.0312961	0.0421365	0.0368263	0.0424149	0.049498	0.0845771	0.209555	0.452999
a90	0.00391543	0.00434182	0.0101845	0.0177498	0.0202995	0.0321798	0.0298514	0.0400494	0.0535207	0.0827019	0.209298	0.495907
a25	0.000510659	0.000823007	0.00235205	0.00353043	0.00490582	0.00847188	0.0117349	0.0228516	0.0371449	0.0803946	0.246572	0.580708
a92	0.00031853	0.000552861	0.00153565	0.00242928	0.00313198	0.00468944	0.00509085	0.00923138	0.0159998	0.0425798	0.202395	0.712046
a56	0.000398934	0.000650108	0.00189875	0.00289941	0.00396106	0.00653548	0.00798697	0.0152588	0.0253272	0.0563722	0.215446	0.663265
a93	0.000510637	0.000764043	0.00203606	0.0036229	0.00513586	0.00871261	0.0108204	0.0190461	0.0294302	0.0665522	0.233826	0.619543
a4	0.000801693	0.00115027	0.00291413	0.0048552	0.00602185	0.00942791	0.0104652	0.0179821	0.0294012	0.0707214	0.251778	0.594481
