 	il	se	contorsionne	à	cause	des	maux	de	ventre	</S>
a66	0.262491	0.290096	0.1915	0.06163	0.0565382	0.0460324	0.0342186	0.0210904	0.0182114	0.0181927
a87	0.334827	0.315069	0.181461	0.0645788	0.0306137	0.0164232	0.0106996	0.0148059	0.0162246	0.015298
a23	0.55472	0.286354	0.0786959	0.0202125	0.0153515	0.00975095	0.00678459	0.00673856	0.00889632	0.0124957
a87	0.402253	0.259262	0.0640296	0.0311704	0.0322908	0.0392698	0.0362059	0.034385	0.0445556	0.0565779
a23	0.432679	0.270312	0.0932476	0.0299771	0.0291918	0.0325346	0.0308918	0.0267577	0.0271126	0.0272954
a79	0.219509	0.124902	0.0716871	0.0776293	0.0864895	0.0929631	0.0774458	0.0753097	0.0862068	0.0878574
a54	0.152078	0.268322	0.148159	0.0732473	0.0648415	0.0572503	0.0454208	0.056048	0.067665	0.0669674
a47	0.0636973	0.194186	0.165334	0.17193	0.140645	0.082753	0.0524089	0.0486698	0.0440556	0.0363195
a36	0.0489834	0.20925	0.272218	0.175975	0.120044	0.0563722	0.0309863	0.0301846	0.0292128	0.0267734
a6	0.0854777	0.195166	0.193546	0.188714	0.135939	0.0768613	0.0403927	0.0332454	0.0279646	0.0226929
a5	0.0515286	0.176719	0.187172	0.182731	0.150127	0.0907203	0.0526387	0.0378131	0.0358581	0.0346918
a85	0.0734677	0.193932	0.166519	0.155379	0.133639	0.0874752	0.0542746	0.0385998	0.0435683	0.0531461
a5	0.0239133	0.0563553	0.109762	0.165316	0.159474	0.12187	0.0934658	0.0778041	0.0880914	0.103949
a61	0.0549898	0.114407	0.175885	0.168865	0.14707	0.0898851	0.0667169	0.0492778	0.0567069	0.0761969
a43	0.0236483	0.0459591	0.0995413	0.151583	0.157853	0.119856	0.103056	0.0849255	0.0932769	0.120301
a38	0.00960014	0.0137496	0.0328063	0.173963	0.231864	0.172729	0.111143	0.0763597	0.0773282	0.100457
a96	0.00922633	0.0136437	0.0174797	0.0867988	0.174909	0.204726	0.160961	0.113073	0.100749	0.118434
a66	0.00939906	0.0133834	0.0176105	0.072203	0.151399	0.201517	0.163557	0.122755	0.113516	0.13466
a93	0.00557348	0.00713869	0.010802	0.0392805	0.0808915	0.16684	0.194179	0.151726	0.153197	0.190372
a70	0.00403619	0.00469637	0.00646091	0.0250787	0.062178	0.148702	0.182213	0.182351	0.182115	0.202168
a44	0.00231755	0.00342913	0.00492998	0.0131241	0.0305992	0.0901762	0.146395	0.194357	0.233923	0.280748
a90	0.00223395	0.00290508	0.00409259	0.0086948	0.0179577	0.0625179	0.114657	0.171374	0.253418	0.362148
a69	0.000460237	0.00066164	0.00115543	0.00248344	0.00636794	0.0289514	0.0634715	0.139208	0.272372	0.484869
a44	0.000494861	0.000537184	0.000500433	0.00139193	0.00421943	0.0211216	0.0485429	0.113862	0.265947	0.543382
a58	0.000251306	0.000276771	0.000247721	0.000977296	0.0025964	0.0118942	0.0321423	0.0949188	0.257587	0.599108
a82	0.00143058	0.00109118	0.00217568	0.0052486	0.00611863	0.014441	0.0348132	0.103524	0.264241	0.566917
a97	0.0203395	0.0178975	0.0406644	0.0648533	0.0614958	0.0699573	0.0998628	0.142362	0.191043	0.291524
a87	0.138261	0.105994	0.0767204	0.0752966	0.0732485	0.0737026	0.0954605	0.11206	0.119309	0.129946
a23	0.208345	0.163583	0.0799284	0.0550134	0.0544468	0.0648294	0.0874651	0.100212	0.0954452	0.0907319
a99	0.0725631	0.0474993	0.0301845	0.0271372	0.0317239	0.0565858	0.096312	0.169976	0.215734	0.252283
a87	0.0248039	0.0123971	0.0142549	0.0454747	0.067888	0.0937826	0.104837	0.159961	0.210707	0.265893
</S>	0.0121961	0.0066378	0.00961101	0.0217675	0.0253063	0.032315	0.0437558	0.118184	0.262903	0.467324
