 	il	n'	y	a	personne	pour	partager	la	nourriture	</S>
a66	0.196346	0.167391	0.146023	0.123568	0.118888	0.109558	0.0661345	0.0281334	0.0225201	0.0214378
a87	0.126685	0.114835	0.147681	0.157184	0.174887	0.154428	0.0711986	0.0243094	0.0152907	0.0135007
a23	0.27557	0.216377	0.184069	0.147396	0.0826675	0.0390832	0.0229433	0.012232	0.0105567	0.0091054
a99	0.236646	0.21349	0.189594	0.166667	0.0900753	0.041536	0.023953	0.0125069	0.0120553	0.0134759
a50	0.21562	0.200701	0.181299	0.155193	0.088755	0.0547792	0.033774	0.0215367	0.0228268	0.0255159
a62	0.164916	0.19758	0.184859	0.181228	0.114014	0.0761631	0.0353477	0.0193297	0.0143253	0.0122374
a96	0.155115	0.210753	0.224769	0.200765	0.104829	0.0522809	0.0162171	0.0122702	0.0112672	0.0117329
a47	0.142779	0.195453	0.216719	0.201156	0.115954	0.0610755	0.0201693	0.0162877	0.0150183	0.0153879
a62	0.114177	0.150264	0.171602	0.182191	0.135691	0.0973489	0.0379672	0.0374433	0.0365211	0.0367938
a88	0.14503	0.176413	0.197866	0.189805	0.142534	0.0732635	0.0208481	0.0178981	0.0175169	0.018826
a75	0.103701	0.12296	0.147971	0.161241	0.163828	0.125856	0.0419925	0.0406297	0.0438187	0.0480021
a98	0.0661897	0.0885539	0.123879	0.145652	0.147492	0.129278	0.0691302	0.0671454	0.0751426	0.0875384
a79	0.0380426	0.0459999	0.0602861	0.0855326	0.122463	0.17829	0.113176	0.105201	0.113082	0.137927
a25	0.0453027	0.0479365	0.055916	0.0704443	0.0996646	0.159192	0.123928	0.112513	0.129507	0.155597
a69	0.0202355	0.0203168	0.023302	0.0331254	0.06378	0.154912	0.172919	0.149892	0.165976	0.195541
a54	0.0235131	0.0192707	0.0186941	0.0216822	0.0390314	0.0951342	0.145495	0.156052	0.220491	0.260636
a98	0.0256556	0.0196944	0.0176184	0.0200177	0.0309186	0.0734399	0.142155	0.158567	0.226535	0.285398
a85	0.0105453	0.00817913	0.0078093	0.00926669	0.0164062	0.0450387	0.122588	0.173295	0.260144	0.346728
a6	0.00403448	0.00273216	0.00236159	0.00278918	0.00599921	0.0225414	0.0832736	0.177754	0.292169	0.406345
a36	0.00475964	0.00277632	0.00185631	0.0018427	0.00273494	0.00966423	0.0657607	0.178175	0.297741	0.434689
a26	0.00706804	0.0033903	0.00146955	0.00109002	0.00112799	0.00364598	0.0310241	0.132064	0.312535	0.506585
a84	0.0358259	0.0277819	0.016484	0.0132066	0.0111254	0.0186161	0.0511046	0.13921	0.285155	0.401491
a57	0.0905623	0.0619933	0.0533498	0.0554033	0.0464918	0.0405751	0.0714888	0.122268	0.193279	0.264588
a87	0.204711	0.126219	0.103463	0.0902426	0.0624493	0.0482635	0.0815146	0.082735	0.0930466	0.107355
a23	0.131734	0.0869384	0.0686566	0.0558699	0.0430732	0.0429205	0.102478	0.133359	0.151478	0.183492
a99	0.0258666	0.0168969	0.0137889	0.0128859	0.0122123	0.0190062	0.0884087	0.207565	0.291128	0.312241
a97	0.0194366	0.0132667	0.0125014	0.0122848	0.0139885	0.0262562	0.0815227	0.197766	0.296908	0.326069
</S>	0.0144956	0.0101211	0.0102653	0.0108362	0.0133989	0.0249454	0.062613	0.182393	0.312295	0.358637
