 	le	bateau	a	coulé	à	pic	dans	l'	alima	</S>
a15	0.338377	0.311373	0.124219	0.152732	0.0228292	0.0143625	0.0113355	0.00939435	0.00954757	0.00582869
a66	0.577153	0.122574	0.0277699	0.0490262	0.0325114	0.0367558	0.0425028	0.0458701	0.0448842	0.0209524
a87	0.211783	0.123033	0.0423541	0.084801	0.0350179	0.0437719	0.0617757	0.0993017	0.165626	0.132536
a23	0.460236	0.195907	0.101678	0.0727391	0.0360016	0.0337929	0.0289476	0.026183	0.0248906	0.0196237
a40	0.272763	0.0975362	0.0628902	0.0683774	0.0428971	0.0709434	0.072658	0.0803751	0.121415	0.110145
a47	0.271613	0.235309	0.109054	0.172929	0.0531502	0.0431999	0.0383822	0.0312247	0.0263511	0.0187867
a0	0.0345339	0.0821625	0.127882	0.261191	0.15493	0.0826386	0.0564069	0.0610697	0.0839586	0.0552273
a75	0.0362054	0.0617856	0.0870932	0.166694	0.197714	0.111397	0.0878209	0.085372	0.103406	0.0625117
a25	0.0546553	0.0878992	0.126019	0.252065	0.184712	0.0977974	0.0753438	0.0509012	0.0425667	0.0280402
a98	0.0280614	0.0656689	0.122504	0.136083	0.116829	0.102118	0.0933004	0.0822395	0.114404	0.138792
a47	0.0101827	0.0169211	0.0299244	0.0378774	0.0728937	0.133842	0.149929	0.131773	0.174327	0.24233
a85	0.00132733	0.00165745	0.0021974	0.00259803	0.00855201	0.0341653	0.0719357	0.137107	0.306824	0.433635
a6	0.000573798	0.000740043	0.00103903	0.00117248	0.00461756	0.0258145	0.0589541	0.129791	0.297702	0.479595
a37	0.00117603	0.00131453	0.00169459	0.0016503	0.00388627	0.0123065	0.0340257	0.0797811	0.237417	0.626748
a88	0.00211574	0.00210502	0.00292777	0.00330418	0.0099175	0.0309002	0.0585741	0.120092	0.253527	0.516537
a61	0.00198986	0.0024095	0.00286459	0.0063981	0.00918141	0.0250196	0.0496622	0.102001	0.226241	0.574233
a0	0.00205352	0.00213782	0.00268004	0.00665557	0.00829347	0.0309846	0.0675396	0.130609	0.250256	0.498791
a75	0.00185439	0.00225931	0.0032252	0.00958379	0.0149247	0.0370069	0.0611309	0.0908172	0.189501	0.589696
a5	0.000582296	0.000991848	0.00131814	0.00547463	0.00549198	0.0221721	0.0357869	0.088313	0.189771	0.650098
a61	0.00123753	0.00157713	0.0018259	0.00739349	0.0070401	0.0336356	0.0566316	0.114897	0.222005	0.553756
a66	0.00118612	0.00133445	0.00165851	0.00538279	0.00537898	0.0263231	0.0506938	0.110903	0.22738	0.569759
a54	0.00203888	0.00243837	0.00289339	0.00671611	0.0145691	0.0445487	0.0670755	0.0978455	0.168849	0.593026
a36	0.000966513	0.00225619	0.00411728	0.0127556	0.019225	0.0443365	0.067714	0.106629	0.168502	0.573497
a2	0.00432425	0.00534524	0.00679836	0.0141946	0.0262165	0.0642472	0.0973015	0.135673	0.204897	0.441003
a57	0.159891	0.106453	0.0837059	0.0676266	0.0715236	0.0736395	0.0741179	0.0616186	0.0872511	0.214173
a87	0.356962	0.216085	0.105296	0.0856451	0.0436905	0.043954	0.0549167	0.0337775	0.0264926	0.0331796
a23	0.227756	0.198833	0.0863322	0.106822	0.0442804	0.0611755	0.0844394	0.0617212	0.0615381	0.0671018
a87	0.141324	0.104885	0.0663726	0.0750034	0.033461	0.0790105	0.105382	0.106194	0.153921	0.134446
</S>	0.0433834	0.0422458	0.0268525	0.0661055	0.0324207	0.0676321	0.08335	0.127266	0.207393	0.303351
