 	monsieur	obela	a	abandonné	ses	enfants	</S>
a66	0.473941	0.211894	0.0822909	0.0635424	0.0684993	0.0542382	0.0455947
a87	0.532034	0.202647	0.111009	0.0687075	0.0430916	0.0222202	0.0202907
a23	0.50488	0.23809	0.11807	0.0429757	0.0311393	0.0306058	0.0342394
a79	0.428448	0.22262	0.129425	0.05717	0.0373553	0.0464631	0.0785197
a93	0.566171	0.231136	0.0829357	0.0374125	0.0236084	0.022785	0.0359511
a4	0.453982	0.29852	0.152106	0.0474624	0.0179943	0.0134048	0.0165299
a75	0.190842	0.294351	0.293478	0.137864	0.0414587	0.0219844	0.0200214
a21	0.158503	0.295728	0.267502	0.158947	0.0570306	0.0330226	0.0292676
a5	0.120042	0.275128	0.271946	0.185022	0.0784093	0.0390321	0.0304206
a37	0.0992911	0.202033	0.21574	0.202358	0.131542	0.0790277	0.0700079
a61	0.0788433	0.127379	0.157842	0.197529	0.187846	0.128389	0.122172
a31	0.0613725	0.0692747	0.0957937	0.15823	0.221226	0.198875	0.195228
a21	0.0165888	0.0252757	0.0486595	0.110251	0.214097	0.286878	0.29825
a6	0.00785776	0.0108934	0.0255542	0.0759209	0.202801	0.327378	0.349594
a98	0.00183537	0.00330302	0.0110753	0.0430051	0.16404	0.332923	0.443819
a47	0.000545188	0.000633437	0.00205634	0.00873332	0.0564157	0.280385	0.651231
a7	0.000387589	0.000506295	0.00155271	0.00540541	0.0353437	0.23007	0.726734
a27	0.000775862	0.000657973	0.00128853	0.00370648	0.0272721	0.202298	0.764001
a57	0.047654	0.036433	0.0300442	0.0383501	0.0782675	0.227304	0.541947
a87	0.246631	0.10113	0.0554045	0.0569435	0.0944155	0.166108	0.279367
a97	0.410554	0.194946	0.113289	0.0818834	0.0690609	0.0603811	0.0698856
a87	0.221966	0.1729	0.128938	0.0970381	0.100443	0.128473	0.150242
a23	0.158189	0.101783	0.0745895	0.0662585	0.112895	0.211398	0.274888
a87	0.0276984	0.0235399	0.0220867	0.0315303	0.0877525	0.318249	0.489143
a97	0.00868954	0.0130238	0.0188869	0.0339037	0.096344	0.312598	0.516554
</S>	0.0287796	0.0431892	0.0490673	0.0628861	0.108277	0.271099	0.436701
