 	j'	ai	ramassé	un	vieux	couteau	sur	la	route	d'	ekyembe	</S>
a66	0.254533	0.128456	0.128984	0.110385	0.115848	0.08958	0.0595807	0.0503766	0.0303236	0.0153266	0.00952786	0.0070783
a87	0.183612	0.148661	0.134052	0.0981254	0.0791459	0.0568482	0.0524102	0.0544614	0.0500878	0.0419498	0.050778	0.0498677
a23	0.287407	0.257418	0.20197	0.084342	0.0509698	0.0209188	0.0168732	0.0165703	0.0154733	0.0134265	0.0151716	0.0194605
a18	0.261202	0.260804	0.228003	0.0812316	0.0498439	0.019502	0.0147263	0.0126613	0.0134123	0.0139696	0.020939	0.0237052
a54	0.195299	0.196305	0.233581	0.111734	0.0686427	0.0294421	0.0190096	0.0172008	0.0235712	0.0305086	0.0380401	0.0366662
a36	0.202795	0.20361	0.233363	0.137118	0.0658435	0.0324823	0.0181144	0.0151943	0.0178688	0.0198691	0.0248352	0.0289068
a18	0.117083	0.17655	0.259828	0.158777	0.0888296	0.0434759	0.0262114	0.0221323	0.0228174	0.0254403	0.0284796	0.0303753
a27	0.104921	0.162716	0.25968	0.139788	0.0926153	0.047184	0.0331386	0.0285965	0.0279467	0.028632	0.0352738	0.0395075
a38	0.0814838	0.126516	0.205684	0.139495	0.1163	0.0590641	0.0451168	0.0400101	0.040539	0.0399305	0.0462589	0.0596027
a25	0.0686844	0.104661	0.177456	0.143501	0.129187	0.0647927	0.0499138	0.0433678	0.0436074	0.0436374	0.0555712	0.0756196
a75	0.0533397	0.0954553	0.150415	0.137016	0.147846	0.0742812	0.0630603	0.0554166	0.0525224	0.0467521	0.0481431	0.0757525
a92	0.025562	0.038111	0.0740554	0.114253	0.151168	0.128418	0.115759	0.0888718	0.0647384	0.0496186	0.060774	0.0886708
a56	0.0218378	0.0256199	0.0480901	0.101394	0.151234	0.164413	0.152081	0.116903	0.0733205	0.0447634	0.0448507	0.0554925
a93	0.0280615	0.0338297	0.0637206	0.119777	0.171775	0.160481	0.146566	0.109964	0.0661461	0.0354162	0.0299818	0.0342805
a53	0.0199415	0.0207477	0.0401579	0.0923082	0.156506	0.170012	0.165974	0.12732	0.0811925	0.0454608	0.037333	0.0430455
a93	0.00815046	0.00815849	0.0160573	0.04838	0.114792	0.161869	0.187647	0.150968	0.108196	0.0731272	0.0588973	0.0637567
a75	0.00747213	0.00668524	0.012778	0.0343001	0.104048	0.147469	0.179619	0.149996	0.123542	0.0870732	0.0662804	0.0807367
a92	0.00358901	0.00281054	0.00424817	0.0127876	0.0414514	0.0968546	0.159963	0.145874	0.124104	0.12469	0.136288	0.147339
a37	0.00415356	0.00307004	0.00473572	0.0144466	0.0488329	0.116571	0.183955	0.162256	0.132648	0.117007	0.106612	0.105712
a62	0.00403711	0.00322776	0.00529157	0.0120079	0.0429111	0.0923448	0.164455	0.148379	0.139114	0.132602	0.109788	0.145841
a88	0.00515519	0.00396447	0.00620364	0.0112895	0.029572	0.0613215	0.119058	0.127607	0.13731	0.163353	0.149934	0.185232
a71	0.00547535	0.00469822	0.00663345	0.0103325	0.0243329	0.0409327	0.0824868	0.0913756	0.107438	0.155659	0.206924	0.263712
a90	0.0111986	0.00958696	0.0114497	0.0155485	0.02919	0.0416045	0.0809349	0.092567	0.106788	0.148731	0.187497	0.264903
