 	pourras-tu	le	démentir	dans	cette	affaire	</S>
a66	0.490507	0.225145	0.122769	0.0464747	0.040851	0.0419861	0.032267
a87	0.305877	0.221669	0.164748	0.0713737	0.0599261	0.0758058	0.100601
a23	0.623377	0.262424	0.0509622	0.0132468	0.0104684	0.0155446	0.0239777
a87	0.721671	0.201448	0.0321421	0.00785987	0.00775367	0.0117839	0.017341
a23	0.697322	0.205002	0.0416261	0.0117202	0.0117773	0.0149085	0.0176446
a18	0.672854	0.193217	0.0418148	0.0152495	0.0193182	0.0260438	0.0315019
a44	0.444166	0.210848	0.0853664	0.042273	0.0503226	0.0739129	0.0931113
a90	0.512006	0.236796	0.0828831	0.0370765	0.0370809	0.0436307	0.0505278
a4	0.404133	0.257237	0.135105	0.0576164	0.0468005	0.045597	0.0535106
a93	0.255565	0.218321	0.199031	0.108752	0.0779722	0.068289	0.07207
a34	0.220938	0.207046	0.227503	0.129005	0.086847	0.0654121	0.0632493
a56	0.184338	0.188685	0.264244	0.144731	0.0917072	0.0638101	0.0624857
a32	0.15545	0.172277	0.295023	0.165518	0.0942994	0.0598733	0.0575596
a11	0.113051	0.113766	0.246003	0.194799	0.137573	0.0981231	0.0966847
a90	0.0786531	0.0665643	0.163006	0.197982	0.173529	0.14917	0.171095
a98	0.0581902	0.0657305	0.161333	0.239819	0.204721	0.148256	0.12195
a73	0.0311709	0.0268488	0.0593585	0.17185	0.256115	0.249086	0.20557
a79	0.011571	0.0076512	0.0192504	0.0958861	0.195549	0.273218	0.396874
a44	0.00875415	0.00564319	0.0141269	0.0844333	0.177405	0.282327	0.42731
a94	0.00686533	0.00343441	0.00629706	0.040689	0.108176	0.245206	0.589333
a62	0.00501757	0.00195745	0.00302245	0.0162635	0.0509311	0.18864	0.734168
a96	0.00755259	0.00315133	0.00465831	0.0169332	0.0438991	0.187486	0.736319
a90	0.00356618	0.00177886	0.00390957	0.0168249	0.0393732	0.181385	0.753163
a44	0.00100909	0.000397701	0.000928993	0.00649286	0.0236441	0.136832	0.830695
a11	0.001177	0.000472675	0.00131059	0.00928017	0.0274672	0.14484	0.815452
a31	0.00165407	0.000713908	0.00301567	0.0221582	0.0573869	0.194573	0.720498
a24	0.00206071	0.00103859	0.0044399	0.0241021	0.0565789	0.18875	0.72303
a9	0.00776088	0.00432453	0.0138261	0.0521386	0.10461	0.22894	0.5884
a87	0.154442	0.0558154	0.0657188	0.100986	0.131644	0.182145	0.309248
a23	0.445411	0.178708	0.100958	0.0687466	0.0616892	0.0650641	0.079423
a87	0.280502	0.0828631	0.048185	0.0657448	0.0775162	0.126995	0.318194
</S>	0.01968	0.00765759	0.0122349	0.0500997	0.0890827	0.204681	0.616564
