 	nous	revenons	de	là-bas	</S>
a66	0.464665	0.136495	0.104403	0.125637	0.1688
a87	0.382321	0.110957	0.124381	0.203763	0.178578
a97	0.443335	0.254018	0.151019	0.103132	0.0484971
a23	0.383473	0.234518	0.193523	0.131506	0.0569799
a50	0.471668	0.295183	0.129638	0.0706391	0.032872
a0	0.736443	0.212879	0.0279477	0.0134643	0.00926619
a31	0.576823	0.318993	0.0647417	0.0277813	0.0116619
a21	0.432749	0.351274	0.119887	0.0652018	0.0308885
a56	0.280952	0.32971	0.187878	0.140752	0.0607081
a94	0.0865956	0.140272	0.257627	0.321573	0.193932
a93	0.0250896	0.0587599	0.209469	0.3653	0.341381
a4	0.00921156	0.0286897	0.164141	0.357214	0.440744
a57	0.00118157	0.00439135	0.05483	0.264097	0.6755
a3	0.00348148	0.00674241	0.0555234	0.240477	0.693776
a97	0.109123	0.0868428	0.175233	0.302212	0.326589
a99	0.331932	0.18531	0.160549	0.186191	0.136019
a97	0.0396605	0.0337652	0.124789	0.379411	0.422374
a57	0.0491548	0.0520301	0.146249	0.341912	0.410654
</S>	0.0274759	0.0413121	0.139777	0.345081	0.446353
