 	des	troncs	d'	arbres	barrent	la	rivière	</S>
a23	0.367912	0.176289	0.076387	0.104593	0.0877797	0.070381	0.0641578	0.052501
a9	0.350779	0.278964	0.103284	0.0519112	0.0268019	0.0305604	0.0540658	0.103634
a10	0.244164	0.324484	0.15273	0.0731064	0.0297407	0.032059	0.0490276	0.0946886
a62	0.327014	0.391646	0.107259	0.0355558	0.0191746	0.0232249	0.0340239	0.0621012
a70	0.351692	0.359679	0.126442	0.0386593	0.022349	0.0247355	0.0354102	0.0410322
a75	0.326324	0.478832	0.149191	0.0170967	0.00612624	0.00643919	0.00784774	0.00814253
a98	0.322849	0.415817	0.128646	0.0317981	0.0157819	0.0220829	0.0301337	0.0328912
a79	0.233847	0.369682	0.158877	0.0678203	0.0421633	0.0407371	0.0418241	0.0450491
a44	0.227629	0.398154	0.15674	0.0595746	0.0359648	0.0379627	0.038572	0.045403
a90	0.20293	0.350821	0.199246	0.0769289	0.0376213	0.0411968	0.0419641	0.0492921
a25	0.165018	0.255109	0.21749	0.121081	0.0605659	0.0595789	0.0562134	0.0649435
a44	0.0866799	0.179339	0.209218	0.142083	0.0986326	0.104866	0.0897624	0.0894196
a62	0.104247	0.170645	0.192714	0.164338	0.0899741	0.0934941	0.0874183	0.09717
a0	0.0893991	0.116734	0.142296	0.184349	0.13286	0.129939	0.103979	0.100444
a75	0.0546181	0.0884632	0.116182	0.254187	0.154867	0.128846	0.0969083	0.105928
a92	0.0303877	0.0347606	0.0375471	0.088603	0.113177	0.205354	0.233999	0.256173
a56	0.0372621	0.0460027	0.0538237	0.140579	0.152793	0.206434	0.173525	0.18958
a25	0.0282152	0.032665	0.0426839	0.126695	0.164413	0.236358	0.189608	0.179362
a90	0.0152103	0.0201715	0.0283418	0.10133	0.145725	0.231958	0.202765	0.2545
a58	0.00933984	0.0136392	0.018911	0.0696559	0.120822	0.239071	0.248163	0.280398
a62	0.00443888	0.0062891	0.00774468	0.0487815	0.0964093	0.189018	0.2558	0.391519
a47	0.00360892	0.00552421	0.00652872	0.0335673	0.0718463	0.178278	0.29447	0.406176
a0	0.00492339	0.00740811	0.00860396	0.0350734	0.0671427	0.162668	0.29451	0.419671
a24	0.00148165	0.00160661	0.00251688	0.0178472	0.0529177	0.135836	0.274182	0.513612
a9	0.00233885	0.00239126	0.00401023	0.0210513	0.0500317	0.121167	0.271248	0.527762
a87	0.00365893	0.00231721	0.00215159	0.0114796	0.0342732	0.0886776	0.271708	0.585734
a23	0.0472297	0.0252291	0.014046	0.0495375	0.103968	0.151737	0.234054	0.374198
a87	0.0171354	0.00972153	0.00713929	0.0247832	0.0702616	0.161409	0.269004	0.440547
</S>	0.00752614	0.00698957	0.00755357	0.0295925	0.0708844	0.132133	0.23168	0.51364
