 	je	joins	les	planches	pour	fabriquer	un	luth	</S>
a66	0.239867	0.186226	0.112532	0.0673722	0.0716875	0.0739917	0.0789673	0.08404	0.0853158
a87	0.374777	0.185095	0.0912737	0.0426233	0.0678929	0.0847622	0.0753531	0.053279	0.024943
a23	0.413556	0.205801	0.11505	0.0429119	0.069506	0.0742872	0.0390114	0.0238215	0.0160536
a18	0.497861	0.181792	0.068692	0.0405029	0.0682581	0.0747468	0.0343596	0.0202177	0.0135699
a54	0.358376	0.171069	0.104182	0.0600089	0.0885912	0.0862365	0.0524113	0.0474623	0.031663
a5	0.31678	0.234877	0.1845	0.0804343	0.0574946	0.0472673	0.0311613	0.0211264	0.026359
a18	0.163582	0.233955	0.199926	0.132449	0.0933665	0.0771382	0.045379	0.0294529	0.0247523
a96	0.0699206	0.121695	0.138491	0.131015	0.116717	0.121336	0.101129	0.0906556	0.109042
a70	0.0489602	0.118467	0.131608	0.136615	0.136635	0.136705	0.0986801	0.0948226	0.0975068
a93	0.0574178	0.15077	0.149678	0.138428	0.130349	0.125763	0.0854331	0.0815703	0.0805909
a70	0.0495001	0.119658	0.134876	0.140031	0.144692	0.144956	0.088503	0.0860601	0.0917237
a34	0.0426449	0.0891655	0.117408	0.132937	0.151801	0.163085	0.100196	0.0994764	0.103286
a54	0.0200654	0.04089	0.0838719	0.127689	0.160198	0.185274	0.132864	0.129512	0.119636
a7	0.0221077	0.0402093	0.101877	0.145487	0.155644	0.168527	0.128047	0.122314	0.115787
a54	0.00395242	0.00720332	0.0271184	0.0703274	0.120794	0.169825	0.175158	0.183017	0.242605
a5	0.00547111	0.00879195	0.0313629	0.0806341	0.135087	0.186046	0.166698	0.178608	0.207301
a94	0.00241332	0.00330062	0.0136668	0.0451188	0.0953	0.148264	0.17282	0.232568	0.286549
a96	0.00087928	0.00103534	0.00437244	0.0163976	0.0476579	0.0929862	0.143752	0.263454	0.429465
a70	0.00063067	0.000685166	0.002951	0.012004	0.0394558	0.0794627	0.130834	0.270844	0.463133
a93	0.000206247	0.000191113	0.00079461	0.0034908	0.0171794	0.0503856	0.115144	0.27855	0.534059
a70	0.000385004	0.000318093	0.00140702	0.00592015	0.0215625	0.0444879	0.0974321	0.237878	0.590609
a53	0.000142942	0.000131939	0.000646695	0.00271863	0.0117071	0.0323704	0.0914653	0.260164	0.600653
a93	0.000167537	0.000168431	0.000732767	0.00285678	0.0112604	0.027879	0.0698184	0.220627	0.666489
a13	0.000107863	0.000103322	0.000494105	0.00173511	0.00733771	0.0213767	0.0682024	0.226315	0.674328
a50	0.000130912	0.000100517	0.000437623	0.00160257	0.007131	0.0259398	0.0862869	0.284553	0.593818
a83	0.000500334	0.000364921	0.00129157	0.00396162	0.0154475	0.0453262	0.105971	0.306779	0.520358
a9	0.000467689	0.000348017	0.00121395	0.00379343	0.0147411	0.0378205	0.0880768	0.307774	0.545764
a3	0.00548647	0.0025926	0.00361681	0.00821621	0.0291317	0.060363	0.102202	0.296297	0.492094
a97	0.0458879	0.0239237	0.015648	0.0215878	0.0653642	0.122449	0.142209	0.218693	0.344238
a87	0.0534955	0.0342855	0.0238171	0.0349589	0.100592	0.162825	0.161204	0.192757	0.236065
a97	0.0801039	0.0505727	0.0325265	0.0521355	0.134016	0.173448	0.154587	0.145035	0.177576
a87	0.0641175	0.048047	0.0466831	0.0777061	0.163452	0.191108	0.154632	0.127023	0.127231
a23	0.0782372	0.0511442	0.0424273	0.0638971	0.148809	0.191598	0.161224	0.12378	0.138883
a99	0.109876	0.0611408	0.0492073	0.0481116	0.104402	0.144786	0.153807	0.121709	0.206962
</S>	0.137548	0.0583878	0.0447434	0.047358	0.0948279	0.126697	0.126943	0.129057	0.234437
