 	j'	ai	économisé	de	l'	argent	</S>
a23	0.347069	0.139032	0.0953428	0.107288	0.107141	0.110216	0.0939118
a18	0.560243	0.178369	0.117183	0.0666941	0.0411057	0.0212827	0.0151226
a24	0.412607	0.208002	0.165564	0.104901	0.0564293	0.0299145	0.0225815
a31	0.45291	0.273626	0.176562	0.0610856	0.0225011	0.00843233	0.00488318
a66	0.238343	0.270056	0.252349	0.119605	0.0716468	0.0301133	0.0178871
a90	0.144942	0.207373	0.258945	0.155198	0.123173	0.0636279	0.0467418
a94	0.141538	0.215137	0.230494	0.153587	0.130066	0.0713535	0.0578242
a56	0.165118	0.182835	0.168029	0.15909	0.157383	0.0937731	0.0737719
a96	0.111159	0.123949	0.137908	0.169255	0.194865	0.1395	0.123364
a66	0.0549688	0.0562458	0.0781004	0.142991	0.215975	0.225067	0.226653
a90	0.0254077	0.0271467	0.0435309	0.0911258	0.165158	0.283948	0.363683
a76	0.0238073	0.0234966	0.0458299	0.104193	0.184426	0.270439	0.347807
a94	0.0125061	0.0117547	0.0242219	0.0586861	0.13089	0.320078	0.441864
a53	0.00868412	0.00835214	0.0162847	0.0387516	0.0967474	0.295143	0.536037
a69	0.00849217	0.00763662	0.0137605	0.0339333	0.0853084	0.276124	0.574745
a58	0.00824593	0.00648783	0.0144723	0.0388775	0.0893571	0.275559	0.567
a82	0.00526809	0.0031823	0.00677798	0.0207691	0.0543289	0.230643	0.67903
a87	0.00906856	0.00580915	0.00765633	0.0180644	0.0517006	0.255852	0.651849
a23	0.0278754	0.0208334	0.0220156	0.0492443	0.128975	0.349313	0.401743
a87	0.0607116	0.0430874	0.0351673	0.0588042	0.117148	0.32076	0.364322
</S>	0.0546474	0.0356169	0.0324154	0.0579762	0.116927	0.317495	0.384922
