 	il	attache	le	cabri	a	l'	arbre	</S>
a23	0.476019	0.202634	0.0784373	0.0485234	0.0322399	0.0373247	0.0557949	0.0690267
a79	0.342874	0.195621	0.101163	0.0737993	0.0546556	0.055459	0.0753795	0.101049
a20	0.352049	0.202509	0.103656	0.0811177	0.0635165	0.0547808	0.0654215	0.0769492
a44	0.544371	0.223974	0.106684	0.0575469	0.0294858	0.0154863	0.0118421	0.0106101
a94	0.388001	0.241353	0.171909	0.0976045	0.0444727	0.0223511	0.0174188	0.01689
a98	0.296842	0.267265	0.20114	0.105816	0.0465006	0.0278545	0.0258414	0.0287402
a25	0.258624	0.254499	0.209717	0.126273	0.0585122	0.0337657	0.0285609	0.0300493
a10	0.22049	0.227357	0.205958	0.1456	0.0814322	0.0487853	0.0362187	0.0341596
a62	0.194118	0.227057	0.203265	0.151777	0.0848186	0.0525699	0.0426663	0.043728
a98	0.17019	0.205838	0.193156	0.161275	0.113113	0.0679758	0.0454811	0.0429703
a38	0.172773	0.216467	0.194939	0.161318	0.109565	0.0625472	0.0424415	0.0399495
a73	0.122187	0.165905	0.162847	0.16514	0.139988	0.0978003	0.0723759	0.0737551
a94	0.0898452	0.121427	0.120658	0.146619	0.142781	0.120957	0.116569	0.141143
a53	0.0680278	0.090423	0.101921	0.137792	0.164631	0.155321	0.134655	0.147229
a76	0.0587834	0.068702	0.0769681	0.11253	0.156098	0.175877	0.164668	0.186374
a90	0.0313254	0.0314435	0.0362433	0.0552875	0.0924611	0.155853	0.246794	0.350592
a32	0.0668514	0.0634064	0.0653642	0.0849207	0.123329	0.170234	0.193392	0.232502
a24	0.0253601	0.0234809	0.0259966	0.0367543	0.0695805	0.152983	0.268841	0.397004
a9	0.0170299	0.0165615	0.0188544	0.0279195	0.0558291	0.135979	0.27273	0.455096
a87	0.0101255	0.0113178	0.0128258	0.0215501	0.0475448	0.118947	0.266456	0.511232
a23	0.0043615	0.00520235	0.00758992	0.0147416	0.0405116	0.110067	0.282691	0.534834
a11	0.00342017	0.00318761	0.00536008	0.0116335	0.0392842	0.130316	0.310492	0.496307
a24	0.00209088	0.00313121	0.00682898	0.0155373	0.0412923	0.115727	0.275366	0.540026
a41	0.00598164	0.00553179	0.00900409	0.0178648	0.0437997	0.119264	0.270109	0.528445
a90	0.00173566	0.0023037	0.00370214	0.00763566	0.0243645	0.101182	0.2916	0.567476
a58	0.002919	0.0032678	0.00412942	0.00696555	0.018031	0.0711587	0.247198	0.646331
a82	0.00180454	0.00222752	0.00286214	0.00549335	0.015376	0.0605716	0.229925	0.68174
a87	0.00104513	0.00126126	0.00190299	0.00415608	0.0149333	0.067217	0.247506	0.661978
a23	0.000867023	0.000915941	0.00155541	0.00383269	0.0161984	0.0743796	0.262096	0.640155
a30	0.0031486	0.0025041	0.00397664	0.00848919	0.0287789	0.104978	0.293077	0.555048
a98	0.00708006	0.0058758	0.00813244	0.0151251	0.0430024	0.122897	0.288177	0.50971
a13	0.00948175	0.00870638	0.0137334	0.026216	0.0575753	0.135002	0.278899	0.470386
a38	0.00212623	0.00292175	0.00890641	0.0237174	0.0630571	0.147851	0.275588	0.475833
a11	0.00173296	0.00213481	0.0049068	0.01248	0.0377848	0.121759	0.282416	0.536786
a90	0.00138713	0.00183267	0.00414332	0.00938994	0.0281287	0.104657	0.275433	0.575029
a69	0.00220208	0.00257252	0.00406086	0.00775411	0.0206526	0.0782422	0.253294	0.631221
a84	0.00189948	0.00201127	0.0031124	0.00602354	0.0167241	0.0655632	0.236884	0.667782
a87	0.000905265	0.00113251	0.0020681	0.00508744	0.0191157	0.0764632	0.250459	0.644769
</S>	0.00726831	0.00521255	0.00762611	0.0134345	0.035833	0.103543	0.266464	0.560618
