 	il	agrandit	le	trou	</S>
a23	0.534482	0.227339	0.109794	0.0760862	0.0522985
a53	0.445768	0.2314	0.151826	0.102416	0.0685903
a54	0.681776	0.194658	0.0630126	0.0322064	0.0283471
a35	0.73628	0.181271	0.0486844	0.0217142	0.0120507
a30	0.631687	0.290061	0.0490064	0.017103	0.0121424
a41	0.457698	0.323105	0.110041	0.0571539	0.0520023
a35	0.350722	0.3431	0.144462	0.0813126	0.0804045
a24	0.30377	0.324984	0.168878	0.100762	0.101605
a41	0.268158	0.292748	0.186054	0.13066	0.12238
a32	0.229959	0.255947	0.2095	0.158886	0.145709
a26	0.165068	0.170328	0.209622	0.223628	0.231354
a43	0.0710456	0.11958	0.212576	0.253586	0.343212
a0	0.0403311	0.0684365	0.179781	0.30664	0.404811
a26	0.0345425	0.058817	0.15243	0.316574	0.437637
a24	0.0190675	0.0299718	0.0897846	0.282385	0.578791
a83	0.0094613	0.0150653	0.0679372	0.254407	0.65313
a21	0.00663895	0.00897036	0.0472528	0.21389	0.723248
a41	0.00933528	0.0121458	0.0662906	0.236527	0.675701
a14	0.00756352	0.01651	0.0798221	0.227035	0.669069
a30	0.00631125	0.0198958	0.108616	0.255925	0.609252
a57	0.0236828	0.0415139	0.117552	0.226417	0.590835
a87	0.0293396	0.0302428	0.0674245	0.17385	0.699143
</S>	0.0459159	0.0772167	0.128315	0.224754	0.523798
