 	si	tu	abandonnes	tes	études	tant	pis	pour	toi	</S>
a23	0.451593	0.376451	0.0668129	0.030591	0.024213	0.0172992	0.0107682	0.00675068	0.00760792	0.00791311
a53	0.290244	0.229285	0.0435925	0.0261589	0.0288997	0.0535407	0.0637514	0.07547	0.0927037	0.0963533
a20	0.305783	0.248395	0.0998283	0.0743105	0.0529904	0.0362813	0.033386	0.0372724	0.0457552	0.0659978
a73	0.216264	0.235017	0.136967	0.131576	0.123148	0.0624192	0.0294598	0.0199787	0.0232074	0.0219624
a47	0.231937	0.191738	0.155438	0.110433	0.0981963	0.0712091	0.0283027	0.0259901	0.0437965	0.0429597
a92	0.105016	0.0957693	0.152844	0.185334	0.165116	0.120606	0.0436203	0.0349212	0.0485395	0.048234
a44	0.0992469	0.0842689	0.148134	0.203626	0.158234	0.119522	0.051852	0.0366211	0.0485128	0.0499824
a26	0.172216	0.13691	0.1674	0.15178	0.146244	0.0976248	0.0350681	0.025422	0.0319839	0.0353509
a75	0.114268	0.100442	0.110084	0.153937	0.149617	0.113385	0.055122	0.051552	0.0710565	0.0805375
a21	0.115211	0.0940085	0.121494	0.169464	0.145017	0.101777	0.0594902	0.0511665	0.0667225	0.0756492
a5	0.201174	0.179751	0.186618	0.101786	0.0668925	0.0617917	0.0499935	0.0437147	0.0517197	0.0565584
a36	0.161004	0.123036	0.146677	0.0737657	0.0536352	0.0666325	0.0794918	0.083048	0.0999109	0.112799
a25	0.104104	0.0793554	0.118329	0.103737	0.0755618	0.0955831	0.0834224	0.0855501	0.115906	0.138451
a92	0.0481724	0.0340874	0.048581	0.0427163	0.0472833	0.0603018	0.107991	0.131945	0.201085	0.277836
a56	0.0658107	0.0428429	0.0663041	0.0675518	0.0608507	0.0766926	0.130011	0.137767	0.164925	0.187244
a66	0.0301833	0.0229708	0.0496865	0.0632736	0.0535684	0.068085	0.133766	0.156721	0.206598	0.215147
a71	0.00392478	0.00321603	0.00577074	0.00760575	0.0166771	0.0210987	0.0646733	0.128638	0.260234	0.488161
a83	0.00582459	0.0052273	0.00419898	0.00312899	0.00453327	0.00741706	0.049235	0.129695	0.257492	0.533248
a66	0.00304815	0.00230871	0.00264631	0.00302792	0.0060839	0.0097776	0.056674	0.134987	0.264234	0.517213
a93	0.0107608	0.00880988	0.00431229	0.00314169	0.00356998	0.00655077	0.0565045	0.150976	0.252299	0.503076
a4	0.000976607	0.00073211	0.00083464	0.00139196	0.00269352	0.00436521	0.0291759	0.115375	0.283533	0.560922
a93	0.00128181	0.00109303	0.00140861	0.00215808	0.00285203	0.00480227	0.0361425	0.116187	0.269586	0.564489
a4	0.00150935	0.00153244	0.00228956	0.00406549	0.00563301	0.00941331	0.0517156	0.14482	0.282651	0.49637
a57	0.00300315	0.00285635	0.00388697	0.00614342	0.00710177	0.0117521	0.0660834	0.14537	0.269309	0.484494
a3	0.00817954	0.00566537	0.00420334	0.00547821	0.00763911	0.0114356	0.0816465	0.157338	0.247253	0.471161
a87	0.0837641	0.0616175	0.0353918	0.029701	0.0285272	0.0293303	0.106993	0.162998	0.180481	0.281196
a23	0.21722	0.22461	0.0785305	0.0882528	0.070971	0.0541481	0.0660949	0.0655382	0.060871	0.0737628
a87	0.0668395	0.0679849	0.0225287	0.0375307	0.0373559	0.0393411	0.114567	0.188061	0.215718	0.210073
</S>	0.0125976	0.0153131	0.00968709	0.0246287	0.0337166	0.0423282	0.127189	0.214718	0.264943	0.254879
