 	j'	étais	triste	parce	que	mon	oncle	m'	a	traité	d'	ingrat	</S>
a66	0.139321	0.0805836	0.0753867	0.0860219	0.0993916	0.106771	0.126737	0.111382	0.0834638	0.0400201	0.0206302	0.017856	0.0124347
a87	0.235716	0.150743	0.153056	0.107246	0.0650303	0.0504933	0.0479156	0.0474267	0.0386669	0.0232932	0.0218125	0.0223974	0.0362031
a10	0.347195	0.224734	0.125843	0.0589003	0.0436043	0.0392894	0.0374384	0.0310674	0.0251294	0.0156131	0.0133809	0.014273	0.0235326
a87	0.275449	0.206069	0.148796	0.0708872	0.0513107	0.0489031	0.0503237	0.0452534	0.0356221	0.0201996	0.0147707	0.0150295	0.0173862
a99	0.253739	0.189978	0.132808	0.0679674	0.0507199	0.0484007	0.0488472	0.0496262	0.042628	0.0296198	0.0248488	0.0278625	0.0329547
a50	0.337753	0.19863	0.140387	0.061596	0.0379617	0.0296232	0.0258088	0.0298674	0.0318211	0.0274538	0.0210982	0.0241802	0.033819
a88	0.360253	0.189372	0.134212	0.0639764	0.03519	0.021924	0.015231	0.0158923	0.0188528	0.0212829	0.0272023	0.0330728	0.063538
a18	0.322032	0.227304	0.16316	0.0795162	0.0384112	0.0217824	0.0156525	0.0157483	0.0174884	0.0190564	0.0205142	0.0222604	0.0370731
a12	0.181003	0.174403	0.164555	0.118196	0.0722823	0.0470066	0.0348648	0.0321749	0.0297897	0.0294509	0.0307301	0.0340547	0.0514894
a5	0.0943041	0.134293	0.196365	0.177687	0.105719	0.0644953	0.0428851	0.0329887	0.0268672	0.0270082	0.0280218	0.0307783	0.0385865
a23	0.0708821	0.107615	0.172476	0.177165	0.121894	0.0799339	0.0597661	0.0427739	0.0351392	0.0356424	0.0320014	0.0328252	0.0318871
a18	0.0523211	0.0877114	0.143519	0.1744	0.133511	0.0979379	0.0757352	0.0508863	0.0350237	0.0335941	0.0327152	0.0378638	0.044781
a96	0.0356954	0.0530966	0.110141	0.192794	0.168504	0.122679	0.0834669	0.0481132	0.0312678	0.0294127	0.0305375	0.0365839	0.0577075
a70	0.033954	0.0486491	0.100785	0.159174	0.142253	0.120766	0.103264	0.0678457	0.0450788	0.0414274	0.0385346	0.0421281	0.0561401
a54	0.0243555	0.0327675	0.0753964	0.165698	0.169256	0.143877	0.118084	0.0764174	0.0453229	0.0338667	0.0300489	0.0337902	0.0511194
a36	0.0138912	0.0171018	0.0349255	0.116614	0.149282	0.135994	0.123993	0.0963575	0.0685952	0.0540899	0.0441724	0.0503211	0.094662
a2	0.0127132	0.0145908	0.027	0.0999922	0.174274	0.166003	0.140905	0.102681	0.0652981	0.04453	0.0349144	0.040222	0.0768755
a57	0.0131458	0.0134129	0.018936	0.0513247	0.14793	0.199577	0.188131	0.12635	0.067142	0.0414381	0.0331406	0.0404636	0.0590074
a87	0.0227857	0.0222315	0.026248	0.0529014	0.104839	0.152495	0.182727	0.140794	0.0767582	0.0507751	0.0436267	0.0599185	0.0639001
a10	0.11278	0.0763977	0.0537558	0.0558157	0.0753581	0.0864565	0.108668	0.10386	0.0632967	0.0442414	0.0480075	0.0689942	0.102368
a38	0.0531239	0.0353188	0.0277704	0.0426053	0.0534997	0.0643618	0.0768817	0.082523	0.0686111	0.0644538	0.0742028	0.116147	0.240501
a40	0.0128345	0.0125159	0.0153354	0.0376303	0.0569568	0.0598411	0.0593293	0.062848	0.0603363	0.0626467	0.0768688	0.105713	0.377144
a7	0.0166254	0.0167742	0.0199798	0.0501371	0.0853407	0.0891989	0.101054	0.0936709	0.0776742	0.0749522	0.0797352	0.113508	0.181349
a44	0.00653297	0.00791262	0.010573	0.0390099	0.0847416	0.0954802	0.113186	0.111017	0.0997363	0.0882069	0.0819232	0.0994176	0.162262
a53	0.0076258	0.00831432	0.00959356	0.0327593	0.0759961	0.0978905	0.11634	0.115172	0.113307	0.0983473	0.0818967	0.0951149	0.147642
