 	notre	grand-mère	souffre	de	l'	éléphantiasis	</S>
a66	0.556186	0.289849	0.0803695	0.0327282	0.0204145	0.00968436	0.0107684
a87	0.605887	0.234034	0.0647721	0.0348384	0.0312212	0.0141562	0.0150916
a40	0.373517	0.217994	0.106876	0.0879679	0.107886	0.0450544	0.0607054
a47	0.476792	0.224271	0.112119	0.0602242	0.0797251	0.0213849	0.0254838
a98	0.508622	0.274747	0.119403	0.0408373	0.0332004	0.011708	0.0114814
a79	0.383743	0.296649	0.181238	0.0690302	0.0438466	0.0144275	0.0110658
a56	0.39411	0.258078	0.161055	0.0780907	0.0611311	0.0267765	0.0207582
a75	0.32572	0.202008	0.204967	0.105569	0.0763238	0.0463255	0.0390872
a5	0.279027	0.189845	0.201282	0.121129	0.0843328	0.0609634	0.0634198
a61	0.252217	0.157261	0.186729	0.113026	0.0809627	0.0921324	0.117672
a62	0.103135	0.129111	0.19891	0.1677	0.123592	0.124559	0.152993
a88	0.0355323	0.05973	0.121488	0.175305	0.174916	0.180821	0.252208
a0	0.00789228	0.0147962	0.0310788	0.102444	0.169688	0.279306	0.394794
a31	0.00356972	0.00611716	0.00908235	0.0334349	0.0879919	0.246068	0.613736
a96	0.0010186	0.00248587	0.00492672	0.0299205	0.0837476	0.283213	0.594688
a88	0.000947693	0.00313485	0.00513526	0.0283726	0.0743169	0.261871	0.626222
a24	0.000611251	0.00279473	0.00502746	0.0284588	0.0807354	0.253817	0.628555
a9	0.00112303	0.00484063	0.0087692	0.0362389	0.0879669	0.211743	0.649318
a97	0.0143403	0.0291774	0.0388049	0.0732015	0.148568	0.211909	0.483999
a87	0.18892	0.174359	0.105249	0.0961884	0.143998	0.117301	0.173984
a23	0.194413	0.172456	0.120623	0.107444	0.143215	0.103782	0.158065
a99	0.0549672	0.0486407	0.0221058	0.032751	0.0998016	0.140286	0.601448
a97	0.0229016	0.0226228	0.016154	0.0368182	0.10974	0.18002	0.611743
</S>	0.00981925	0.0124047	0.00888108	0.0290471	0.0915401	0.154294	0.694014
