 	dans	ce	village	on	parle	mal	de	ngala	parce	qu'	elle	a	fait	une	bonne	récolte	d'	ignames	</S>
a82	0.116066	0.0629852	0.0495783	0.0450466	0.0607577	0.0669244	0.0537872	0.0508618	0.0476617	0.0460514	0.0440128	0.060354	0.0654979	0.0522121	0.0657803	0.046299	0.0258975	0.0233553	0.0168702
a87	0.142326	0.0830028	0.0590737	0.0488003	0.0790649	0.0874464	0.0711688	0.0656481	0.0508421	0.0448018	0.0361512	0.0399838	0.0403828	0.034764	0.0362707	0.0284203	0.0185424	0.0225139	0.0107959
a23	0.176534	0.13257	0.09636	0.0759022	0.103658	0.0840541	0.0503379	0.0348987	0.025046	0.0228678	0.023283	0.0267514	0.0252901	0.0237471	0.0269632	0.0225016	0.0163228	0.0251722	0.0077395
a30	0.167283	0.122647	0.0800481	0.0732844	0.104814	0.113274	0.0764778	0.0586364	0.0374096	0.026639	0.0224362	0.0209403	0.0160549	0.0135148	0.0157773	0.0150485	0.0113853	0.0173981	0.00693205
a4	0.117622	0.0994507	0.0787961	0.072856	0.0852229	0.101222	0.0601925	0.0418792	0.031635	0.0278465	0.0319288	0.0380936	0.0334351	0.0321151	0.0397136	0.0368228	0.0290185	0.0296307	0.0125193
a50	0.249572	0.179018	0.118744	0.0844743	0.0537078	0.0434186	0.0209826	0.012828	0.0114388	0.0111064	0.0150388	0.0250881	0.0270919	0.025152	0.0355049	0.0317432	0.022055	0.0205189	0.0125159
a62	0.151345	0.156331	0.126371	0.0992153	0.0553029	0.0443115	0.0271896	0.020953	0.0196297	0.0190005	0.0228865	0.0293461	0.0276801	0.0247194	0.0331104	0.0354622	0.0305549	0.0429044	0.033687
a12	0.0772113	0.107351	0.105738	0.101704	0.0725599	0.0611829	0.0473405	0.0419001	0.034562	0.026967	0.0254677	0.0283509	0.026306	0.0236633	0.0305077	0.0343674	0.032899	0.0549236	0.066998
a4	0.0560631	0.0817079	0.0870837	0.0972416	0.0784869	0.0653358	0.0513945	0.0468279	0.0372756	0.0278617	0.0252388	0.0280004	0.0262697	0.023854	0.030307	0.033838	0.0343079	0.0587296	0.110176
a54	0.051521	0.0712008	0.0761831	0.0882733	0.0758181	0.0613687	0.0486488	0.0430111	0.0325213	0.0242481	0.0212107	0.0237683	0.0236414	0.0217478	0.0269628	0.0298346	0.034591	0.0649974	0.180452
a56	0.0295178	0.0373376	0.042746	0.0596035	0.0635827	0.0646354	0.0545743	0.0551071	0.0422319	0.0338497	0.0331835	0.0362396	0.0333496	0.0312031	0.0388344	0.0490187	0.0513008	0.0833859	0.160299
a44	0.0224563	0.0261579	0.0310796	0.0490954	0.0585301	0.0611846	0.051978	0.0557134	0.0411824	0.0316177	0.0298096	0.0286009	0.0282166	0.0259777	0.0257775	0.0328434	0.0396541	0.0858444	0.27428
a70	0.016257	0.0186917	0.0243568	0.0489052	0.0688425	0.0682149	0.0569081	0.0556578	0.0405454	0.0307979	0.0268058	0.0267682	0.0292339	0.0270723	0.0267167	0.0292661	0.0361257	0.0792857	0.289548
a93	0.0111419	0.0131508	0.0167929	0.0372228	0.0681917	0.0728426	0.0631444	0.0606524	0.0444628	0.0334859	0.0284842	0.0271548	0.0302284	0.02818	0.0271284	0.0294491	0.0370601	0.0829326	0.288294
a4	0.0118555	0.0137142	0.0183765	0.0423047	0.0776644	0.0813349	0.0706157	0.0699054	0.0549619	0.0416446	0.0330529	0.0302994	0.0338433	0.030954	0.0298629	0.0312816	0.0376614	0.0773942	0.213272
a53	0.00854464	0.0101837	0.0138323	0.0340865	0.0732687	0.0866298	0.0784847	0.0711182	0.0512186	0.0390861	0.0314869	0.0320755	0.0365968	0.0327327	0.035546	0.033931	0.039888	0.0710891	0.220201
a15	0.00767015	0.00931199	0.0124507	0.0283236	0.0620206	0.0825236	0.0742841	0.0689157	0.0523719	0.0398217	0.0310895	0.0291994	0.0322667	0.029223	0.034639	0.0365657	0.0442715	0.0967885	0.228263
a44	0.00731804	0.00899474	0.0126485	0.0314043	0.0648763	0.0919866	0.0833417	0.0792995	0.0547572	0.0403372	0.0296831	0.0262606	0.0271529	0.0241848	0.0288738	0.0334081	0.0384096	0.0873609	0.229702
a93	0.00659582	0.00783016	0.0109583	0.0271872	0.0538846	0.0769892	0.0865068	0.0883516	0.0641604	0.0478195	0.0377143	0.0300736	0.0309737	0.0265299	0.0272912	0.028658	0.0365145	0.0752635	0.236698
a75	0.00523791	0.00597573	0.00842685	0.0215505	0.0474581	0.0732009	0.0941966	0.0991881	0.072235	0.0469159	0.0352941	0.0263176	0.0269538	0.0230356	0.0234614	0.0245184	0.0305065	0.0672955	0.268231
