 	cet	enfant	a	marché	sur	l'	épine	dans	la	forêt	</S>
a66	0.365891	0.192989	0.112528	0.0591548	0.0404202	0.0522053	0.057229	0.0545995	0.0322604	0.0184923	0.0142306
a87	0.258543	0.13774	0.0950138	0.0932781	0.0870994	0.0964386	0.0821094	0.0504461	0.0321293	0.0305411	0.0366614
a23	0.424401	0.22001	0.141092	0.0753461	0.040327	0.0266051	0.0173053	0.0118468	0.0100332	0.0127328	0.0203002
a38	0.302647	0.194146	0.187807	0.124256	0.0708075	0.0343017	0.0173819	0.0156924	0.0138137	0.0160825	0.0230645
a54	0.245947	0.170575	0.179268	0.127216	0.069817	0.0396994	0.0277085	0.0289723	0.0295934	0.0380504	0.0431532
a47	0.196439	0.171337	0.193043	0.147239	0.0735778	0.0516392	0.0474724	0.0467476	0.03042	0.0233425	0.0187436
a98	0.105268	0.111828	0.190218	0.198437	0.132916	0.0745879	0.0448537	0.0453317	0.0364211	0.0330666	0.0270725
a79	0.0774677	0.120143	0.19738	0.230557	0.167547	0.0869972	0.0470088	0.0327656	0.0174152	0.0122547	0.010465
a56	0.0506871	0.0964982	0.169398	0.22462	0.205657	0.109715	0.0603441	0.0383203	0.0198335	0.0129805	0.0119466
a44	0.0774723	0.113344	0.183757	0.23114	0.204104	0.0893284	0.0393768	0.023288	0.014523	0.0119351	0.0117311
a37	0.088853	0.114149	0.159379	0.194026	0.187257	0.106751	0.0571906	0.0381475	0.0219022	0.0162249	0.0161201
a21	0.0674632	0.0724864	0.0992021	0.132223	0.192806	0.15372	0.0953029	0.0682261	0.0413942	0.0360122	0.0411633
a75	0.0352461	0.030978	0.0379044	0.0486946	0.1069	0.155962	0.140628	0.142409	0.105827	0.0886324	0.10682
a25	0.00562021	0.005413	0.00787769	0.014097	0.040833	0.0916615	0.11618	0.158918	0.191438	0.18385	0.184113
a79	0.00363739	0.00403918	0.00685212	0.0118458	0.0351455	0.081546	0.110204	0.176425	0.219734	0.174263	0.176308
a76	0.00436413	0.00422861	0.00643893	0.0111686	0.0290185	0.0629714	0.101973	0.175983	0.241282	0.185975	0.176597
a98	0.00174523	0.00201278	0.00326933	0.00555454	0.0136975	0.0324611	0.0638187	0.126132	0.236202	0.244194	0.270912
a79	0.000920486	0.00111868	0.00210566	0.00354003	0.0089711	0.0200446	0.0374347	0.0847595	0.204099	0.279435	0.357571
a7	0.000604684	0.000561158	0.000890826	0.00143944	0.00352101	0.00713769	0.0129096	0.036588	0.14152	0.323535	0.471292
a69	0.000685062	0.000588923	0.000713874	0.00104907	0.00213971	0.00410993	0.00703632	0.01721	0.0854659	0.312759	0.568243
a4	0.000734617	0.000697236	0.00077114	0.00111969	0.00196308	0.00384764	0.00729083	0.0173907	0.0966672	0.324889	0.544629
a58	0.00254227	0.00240366	0.00250449	0.00350721	0.00608911	0.0117368	0.0202762	0.0390513	0.122223	0.300156	0.48951
a82	0.026686	0.0242842	0.0183942	0.0175388	0.0200118	0.028998	0.0349373	0.0577971	0.125395	0.264286	0.381672
a10	0.167078	0.108213	0.071458	0.051434	0.050679	0.0623342	0.0692942	0.0715308	0.0846119	0.113242	0.150125
a87	0.255526	0.157658	0.0960239	0.061471	0.0459802	0.0483388	0.0546638	0.0537857	0.070138	0.0756594	0.0807554
a23	0.189025	0.145041	0.103425	0.0854002	0.0659495	0.0616713	0.058635	0.0594513	0.076266	0.079994	0.0751411
a87	0.053591	0.0373155	0.0277652	0.0264997	0.0220397	0.0264076	0.0360217	0.0490876	0.141986	0.257717	0.321568
</S>	0.00593264	0.00520239	0.00449419	0.00488849	0.00657554	0.0124463	0.0271668	0.0472094	0.148345	0.305217	0.432522
