 	la	pirogue	a	chaviré	dans	la	partie	peu	profonde	du	fleuve	</S>
a66	0.202696	0.194844	0.166202	0.119087	0.0749156	0.0468997	0.0435952	0.0356515	0.0325869	0.0306921	0.0281984	0.0246316
a87	0.167742	0.141022	0.111688	0.0914305	0.074258	0.0802969	0.0874461	0.0826994	0.0772192	0.0390024	0.0272536	0.0199418
a23	0.267119	0.230522	0.14295	0.0957525	0.0581578	0.041486	0.0259806	0.0193132	0.03567	0.0308014	0.0311915	0.0210567
a97	0.208858	0.152523	0.0938338	0.0682449	0.05121	0.0604962	0.0477592	0.0501567	0.0780642	0.0682935	0.0703103	0.0502504
a99	0.191381	0.160706	0.116631	0.0922168	0.0748132	0.0789522	0.0622498	0.0514384	0.0576163	0.0411371	0.0395373	0.0333202
a90	0.173334	0.151818	0.114837	0.0932049	0.0784066	0.0847107	0.0644852	0.0647423	0.0712316	0.0417944	0.0354076	0.0260277
a15	0.201469	0.180362	0.167091	0.127738	0.110168	0.0854486	0.0449557	0.0370752	0.0232012	0.00909287	0.00678923	0.00660945
a25	0.113336	0.110924	0.132743	0.119146	0.129138	0.107258	0.0780329	0.0806313	0.0561734	0.0235789	0.0231959	0.0258424
a44	0.108774	0.117114	0.131879	0.113679	0.125099	0.100883	0.0759185	0.0715166	0.0431366	0.0286985	0.0383371	0.044965
a56	0.0517648	0.0627036	0.080837	0.0795038	0.110192	0.115159	0.108015	0.101599	0.0722323	0.0475855	0.074251	0.0961573
a93	0.0764819	0.085353	0.0969959	0.0839864	0.10867	0.105227	0.100762	0.0776774	0.0697752	0.0472943	0.0714596	0.0763181
a56	0.0706397	0.083147	0.0987567	0.0826854	0.0940043	0.0933986	0.0957559	0.0772568	0.0810801	0.0534742	0.083315	0.0864863
a43	0.0447582	0.0516944	0.0653903	0.0698486	0.0938828	0.107108	0.117574	0.102166	0.0972764	0.0705629	0.0913528	0.0883846
a21	0.0241358	0.0285827	0.0387553	0.0420862	0.0504474	0.0619627	0.0780675	0.0836455	0.0937633	0.107518	0.18301	0.208026
a41	0.0105907	0.0118448	0.0156994	0.0193588	0.0253061	0.0334746	0.055764	0.0754227	0.113395	0.149857	0.24653	0.242757
a21	0.00723552	0.00641518	0.00878992	0.0131554	0.0171912	0.0218361	0.0342542	0.0477194	0.0672228	0.173257	0.29111	0.311814
a12	0.0027928	0.00225051	0.00273312	0.00353936	0.00502295	0.00729859	0.0125368	0.0210445	0.0468655	0.144187	0.33322	0.418509
a96	0.00134219	0.00113774	0.00136697	0.00174096	0.00242713	0.00374938	0.00586547	0.0111347	0.0294276	0.10593	0.320956	0.514922
a18	0.00165754	0.00147586	0.00169695	0.00201521	0.00278484	0.00446869	0.00654648	0.0113559	0.0286064	0.0990744	0.30784	0.532477
a71	0.0149608	0.0150128	0.0171449	0.0152861	0.0151893	0.0154989	0.0175079	0.0291572	0.0491273	0.116244	0.237539	0.457331
a25	0.0770081	0.06868	0.0733355	0.0580002	0.052444	0.0465723	0.0429306	0.0484975	0.0577246	0.0941044	0.143293	0.23741
a87	0.0588847	0.0547059	0.0473312	0.0409284	0.0346793	0.0347108	0.0374484	0.0499889	0.0751185	0.129776	0.198321	0.238107
a23	0.157222	0.146149	0.107643	0.090205	0.0604652	0.049555	0.0377544	0.0360607	0.048119	0.0649805	0.094445	0.107402
a87	0.0233572	0.0169313	0.0128264	0.0136988	0.0108947	0.0125715	0.011607	0.0149466	0.0279645	0.105063	0.313882	0.436257
a82	0.00885486	0.00742555	0.00649045	0.00842644	0.00942211	0.011863	0.0124514	0.0166364	0.0335554	0.127861	0.327224	0.429789
</S>	0.0197299	0.0197356	0.0164019	0.0202164	0.0177577	0.0192926	0.0198483	0.0262835	0.0464166	0.115538	0.288907	0.389873
