 	le	forgeron	fabrique	une	houe	</S>
a66	0.438575	0.311055	0.151708	0.0543712	0.0208331	0.0234576
a87	0.401677	0.270925	0.164534	0.0936605	0.0422297	0.0269739
a23	0.541046	0.327859	0.078778	0.0225016	0.0162454	0.0135704
a30	0.643689	0.241427	0.0446618	0.0166991	0.0180263	0.0354967
a57	0.586739	0.228437	0.0524139	0.0362711	0.0401414	0.0559976
a70	0.498466	0.246075	0.109374	0.0617107	0.0402519	0.0441223
a90	0.293814	0.299205	0.22539	0.110674	0.0412952	0.0296223
a54	0.199864	0.27191	0.268626	0.176822	0.0557242	0.0270532
a47	0.0719108	0.10703	0.244436	0.330916	0.148074	0.0976338
a6	0.0531449	0.0700399	0.157482	0.320298	0.226489	0.172546
a36	0.10208	0.113949	0.177506	0.276245	0.204507	0.125714
a11	0.13863	0.12675	0.123869	0.172865	0.20862	0.229267
a47	0.147119	0.126028	0.10998	0.154012	0.207234	0.255628
a18	0.0851001	0.0587394	0.0435688	0.0963521	0.221167	0.495073
a0	0.0527765	0.0272173	0.0198978	0.0365842	0.136626	0.726898
a21	0.112915	0.0725259	0.0874564	0.0799056	0.113926	0.533272
a12	0.00984173	0.0086195	0.0206431	0.0731077	0.235393	0.652395
a18	0.00441733	0.0031783	0.00715684	0.0263556	0.157478	0.801413
a71	0.0139208	0.00957572	0.0249011	0.0421319	0.126929	0.782542
a9	0.111413	0.0755388	0.0879285	0.0901148	0.182345	0.45266
a87	0.398168	0.222221	0.0894204	0.0574433	0.0861291	0.146619
a23	0.40001	0.279192	0.132867	0.0603756	0.0583293	0.0692265
a87	0.447015	0.220151	0.0802621	0.0421738	0.0557802	0.154619
</S>	0.0740786	0.0470326	0.0473103	0.0739356	0.19218	0.565464
