 	son	ami	lui	a	donné	un	vêtement	</S>
a23	0.418762	0.183156	0.104166	0.0819023	0.0700771	0.0621047	0.0455307	0.0343004
a83	0.383175	0.220844	0.124196	0.0839729	0.0513554	0.0365628	0.0426878	0.0572064
a70	0.352568	0.223112	0.134473	0.103916	0.0620715	0.0478322	0.0434988	0.0325287
a66	0.354391	0.2803	0.165094	0.120344	0.0468903	0.0201116	0.00860995	0.00426
a90	0.271381	0.253464	0.193782	0.145193	0.0694666	0.0348093	0.0187883	0.013116
a94	0.148741	0.167193	0.172777	0.184103	0.138582	0.0893518	0.0575769	0.0416749
a20	0.166643	0.195425	0.207157	0.207953	0.121985	0.0573664	0.0272037	0.0162672
a73	0.174732	0.193551	0.208156	0.200849	0.121063	0.0593298	0.0280202	0.0142981
a20	0.15676	0.170036	0.189569	0.188801	0.139028	0.0815215	0.0472446	0.02704
a14	0.164371	0.176239	0.193959	0.180611	0.123858	0.0805959	0.0512101	0.0291559
a35	0.124277	0.150877	0.184623	0.185554	0.142933	0.0988533	0.0673063	0.0455764
a24	0.0883541	0.108214	0.143218	0.168895	0.180557	0.144853	0.0987449	0.0671641
a25	0.0724303	0.0879278	0.10692	0.133856	0.186093	0.187075	0.132223	0.0934747
a38	0.0591998	0.0620896	0.0766504	0.108063	0.187472	0.223577	0.168655	0.114293
a14	0.0419031	0.0461292	0.0595723	0.0948469	0.180629	0.228505	0.196815	0.1516
a76	0.0548206	0.0594845	0.0673522	0.0948035	0.159117	0.207053	0.191161	0.166208
a90	0.0343624	0.0315919	0.0320682	0.0383775	0.0740207	0.156854	0.282035	0.350691
a82	0.0333899	0.0250103	0.0236957	0.0289464	0.0613551	0.152086	0.297966	0.377551
a38	0.0246359	0.0211464	0.0208777	0.0290471	0.060442	0.139911	0.304971	0.398969
a14	0.0165183	0.0107392	0.00882171	0.0121672	0.0269518	0.0851212	0.293976	0.545705
a35	0.0170701	0.0104487	0.00898181	0.0121488	0.0287175	0.0964456	0.288049	0.538139
a98	0.0135815	0.00764399	0.00670589	0.00904221	0.0203822	0.0720141	0.275598	0.595032
a14	0.0202597	0.00971215	0.00760093	0.0105582	0.0234144	0.0762825	0.275331	0.576841
a30	0.0326361	0.0153271	0.0118017	0.016157	0.0318603	0.0959395	0.275676	0.520602
a57	0.023366	0.0122227	0.00836797	0.0115931	0.0210298	0.0644064	0.259162	0.599852
a87	0.041379	0.0204568	0.0132369	0.016	0.0237544	0.0645238	0.268386	0.552263
a23	0.0559437	0.0384264	0.032908	0.033947	0.0470375	0.0984013	0.274565	0.418771
a87	0.0744236	0.0850439	0.0946327	0.0991483	0.109637	0.136775	0.180895	0.219444
</S>	0.0553189	0.0398103	0.0388508	0.0447023	0.0884679	0.17814	0.237913	0.316797
