 	il	alla	jusqu'	aux	bornes	du	village	</S>
a23	0.242615	0.211731	0.170855	0.162317	0.102496	0.0474689	0.0331707	0.0293467
a87	0.375669	0.216245	0.143486	0.0997427	0.0481496	0.0288611	0.0346089	0.0532379
a23	0.274069	0.179776	0.124031	0.0864689	0.0499648	0.0531215	0.0835576	0.149012
a30	0.347175	0.218447	0.122848	0.0601611	0.0257571	0.0264312	0.0570077	0.142173
a4	0.237137	0.246636	0.178125	0.0975014	0.0442369	0.0373656	0.0607121	0.0982857
a20	0.498393	0.298698	0.12555	0.0423468	0.0118576	0.00588573	0.00704559	0.0102238
a73	0.325356	0.290843	0.171456	0.0960124	0.0362072	0.0209551	0.0245659	0.0346039
a37	0.268131	0.278717	0.196825	0.125976	0.0478731	0.0250401	0.0255986	0.0318387
a26	0.266953	0.267159	0.195756	0.128874	0.051241	0.026113	0.0278823	0.0360226
a61	0.166665	0.194701	0.197702	0.199332	0.0977316	0.046257	0.0442058	0.0534057
a75	0.174318	0.198729	0.206025	0.190081	0.0906594	0.0412255	0.0436952	0.0552675
a32	0.150003	0.182773	0.174932	0.145897	0.0950836	0.0649551	0.0796703	0.106687
a25	0.123953	0.16756	0.205315	0.218216	0.113657	0.0492894	0.0537667	0.0682425
a38	0.0853651	0.145257	0.202471	0.237339	0.123694	0.058747	0.0644459	0.0826808
a75	0.0734369	0.114148	0.168646	0.237694	0.148959	0.0690198	0.0800158	0.108081
a24	0.0542219	0.0647484	0.0914852	0.122886	0.127546	0.135332	0.176653	0.227129
a41	0.0622526	0.06249	0.0884891	0.143713	0.188744	0.139146	0.141809	0.173356
a96	0.0698543	0.0616322	0.0819109	0.129627	0.196518	0.15108	0.142296	0.167082
a34	0.0898291	0.0822884	0.0976096	0.13824	0.212382	0.145487	0.115199	0.118965
a24	0.0540746	0.0474549	0.0591514	0.0991263	0.209456	0.216921	0.164822	0.148994
a43	0.0552997	0.0433413	0.0466892	0.0660323	0.15539	0.230688	0.218553	0.184007
a11	0.0505438	0.0429182	0.0512468	0.0756208	0.161213	0.200817	0.207989	0.209651
a56	0.0253221	0.0221802	0.0313425	0.0554993	0.143126	0.208896	0.249367	0.264268
a35	0.0252176	0.0199296	0.0254184	0.0364254	0.0883207	0.200431	0.303384	0.300874
a98	0.0139456	0.0101363	0.0146299	0.0262181	0.0781262	0.211133	0.311916	0.333895
a14	0.0111308	0.00992637	0.0177876	0.034459	0.088457	0.224366	0.307517	0.306356
a7	0.0154566	0.0117782	0.0167856	0.0271161	0.0720172	0.203276	0.312173	0.341398
a2	0.0056494	0.00392113	0.00738716	0.0136115	0.0391537	0.114203	0.304961	0.511113
a53	0.00119711	0.000780955	0.00131718	0.00222361	0.0103995	0.0514982	0.240992	0.691591
a93	0.00250785	0.00130443	0.00204864	0.00439945	0.0179675	0.081776	0.282093	0.607903
a4	0.00266756	0.00154377	0.00242917	0.00390211	0.0146724	0.0700485	0.27213	0.632607
a13	0.00357738	0.00213964	0.0034454	0.00518421	0.0172198	0.0772328	0.28679	0.604411
a9	0.00670852	0.00336057	0.00476479	0.00764343	0.0221842	0.0949342	0.295784	0.56462
a99	0.00908534	0.00599287	0.00985229	0.0156208	0.0394655	0.11971	0.271413	0.52886
a87	0.0141836	0.0109066	0.0173285	0.0255258	0.0496633	0.121739	0.250102	0.510551
</S>	0.0604641	0.0400082	0.043765	0.0475947	0.059652	0.137956	0.238275	0.372285
