 	cet	homme	se	vante	de	ses	biens	</S>
a15	0.209882	0.145877	0.140246	0.201308	0.137474	0.0842839	0.0485161	0.0324128
a66	0.125086	0.118831	0.178872	0.240074	0.157999	0.0927295	0.049973	0.0364366
a38	0.552583	0.219575	0.100936	0.0481848	0.0229348	0.016026	0.0155594	0.0242014
a71	0.468532	0.246055	0.126431	0.0604266	0.033759	0.024724	0.0192471	0.0208258
a54	0.378462	0.221545	0.126706	0.0735482	0.0554257	0.0534708	0.0488979	0.0419448
a98	0.245543	0.189767	0.150863	0.081392	0.064966	0.0686684	0.0947666	0.104033
a85	0.191215	0.20165	0.206865	0.123957	0.0862908	0.0613232	0.0705867	0.0581127
a5	0.161901	0.195604	0.217745	0.144958	0.100511	0.0559162	0.0616484	0.061716
a18	0.210948	0.248656	0.262361	0.129655	0.0597696	0.026138	0.0287683	0.0337042
a90	0.147917	0.19746	0.221128	0.163505	0.101272	0.050509	0.0489783	0.0692307
a56	0.1497	0.190793	0.23269	0.170586	0.0933113	0.0425489	0.0469115	0.0734601
a44	0.103043	0.154801	0.249787	0.218974	0.11141	0.0509863	0.0460205	0.0649789
a96	0.0682647	0.0971894	0.169518	0.254751	0.156914	0.0726948	0.0670486	0.113619
a0	0.0573069	0.0747	0.126348	0.255422	0.172561	0.0901887	0.0841408	0.139332
a21	0.0600043	0.064686	0.0908982	0.231591	0.174539	0.105784	0.10047	0.172028
a47	0.0520392	0.0492206	0.0600911	0.154867	0.168843	0.155263	0.1537	0.205975
a21	0.0299045	0.0330083	0.0425496	0.128192	0.148789	0.14554	0.1747	0.297317
a75	0.024765	0.0220701	0.0253585	0.0803449	0.117226	0.161499	0.226957	0.34178
a98	0.00817614	0.00708676	0.00930369	0.0373725	0.0692001	0.122892	0.240274	0.505694
a79	0.00373273	0.00336575	0.00443816	0.0195231	0.0436094	0.105998	0.270138	0.549195
a7	0.00224521	0.00197438	0.00251985	0.00924088	0.0207498	0.0628022	0.220414	0.680054
a90	0.00371651	0.00217655	0.00174601	0.00417401	0.00897862	0.038142	0.17164	0.769426
a4	0.00190314	0.00136116	0.00158213	0.00486076	0.0104418	0.0413539	0.187878	0.750619
a75	0.00137754	0.000896658	0.000879419	0.00280686	0.00680655	0.0355904	0.191544	0.760099
a21	0.00102331	0.00071095	0.000821723	0.00262027	0.0066131	0.0310968	0.17203	0.785084
a25	0.00224161	0.00136445	0.00141419	0.00427622	0.0105744	0.0387494	0.169856	0.771524
a79	0.000466842	0.000359573	0.000481853	0.00198188	0.00593297	0.0294064	0.165704	0.795667
a44	0.000799905	0.000587506	0.000661804	0.00184007	0.00446117	0.0223121	0.145092	0.824245
a93	0.000694079	0.000609254	0.000769285	0.00234732	0.00695	0.0377511	0.194481	0.756398
a4	0.000866355	0.000743624	0.000928418	0.00280846	0.00771967	0.0384574	0.189972	0.758504
a57	0.00177705	0.00174906	0.00245371	0.00701193	0.0162349	0.0564554	0.201266	0.713052
a13	0.00775779	0.00473909	0.00463435	0.0110893	0.0311884	0.0942588	0.257083	0.589249
a3	0.0962831	0.0451799	0.0343669	0.0489744	0.0706293	0.118258	0.217968	0.36834
a87	0.188723	0.105536	0.0822862	0.0863166	0.0783463	0.107942	0.136726	0.214125
a23	0.161499	0.104292	0.0877764	0.0949534	0.0759278	0.10972	0.1485	0.217331
a10	0.0805351	0.0389766	0.0242148	0.0224416	0.031924	0.0789915	0.181158	0.541758
</S>	0.0204498	0.0107586	0.00789087	0.0112277	0.0172985	0.0449962	0.153181	0.734198
