 	nous	avons	attrapé	un	voleur	dans	le	poulailler	</S>
a66	0.307395	0.111343	0.0989611	0.105692	0.117882	0.115034	0.0821819	0.0383677	0.0231439
a10	0.232881	0.162727	0.111958	0.0987606	0.0948877	0.112853	0.0784066	0.0537613	0.0537646
a97	0.350985	0.229204	0.144399	0.08297	0.0636947	0.0437242	0.029207	0.0292682	0.0265479
a38	0.315873	0.225769	0.145617	0.0937248	0.0694968	0.0495929	0.0349758	0.0355169	0.0294337
a88	0.398674	0.232736	0.11965	0.0743864	0.0501128	0.0347854	0.0268899	0.0332687	0.0294964
a0	0.432295	0.175708	0.117164	0.098007	0.0616426	0.0316882	0.026318	0.0323236	0.0248528
a31	0.278681	0.205121	0.161997	0.126638	0.080248	0.0442744	0.0319551	0.0355237	0.0355622
a21	0.182198	0.202205	0.223554	0.183932	0.111255	0.0449725	0.0228893	0.0167467	0.0122487
a12	0.137582	0.180523	0.215309	0.207585	0.13569	0.0569496	0.0287141	0.0215906	0.0160563
a18	0.138187	0.165564	0.198596	0.195563	0.147405	0.0721028	0.037167	0.025718	0.0196969
a24	0.0624	0.101543	0.142525	0.182875	0.182976	0.123574	0.0733873	0.0640599	0.0666603
a62	0.0674046	0.118321	0.164285	0.188737	0.179987	0.118672	0.0644057	0.0470689	0.0511196
a96	0.0506886	0.0879845	0.134741	0.189846	0.204852	0.148502	0.0802714	0.0533958	0.0497183
a93	0.0445585	0.0689582	0.107339	0.171914	0.20324	0.166267	0.101971	0.068937	0.0668157
a94	0.0418607	0.0526755	0.0806812	0.134427	0.16755	0.189108	0.155629	0.0929984	0.0850704
a11	0.0257782	0.0288126	0.0451311	0.0822672	0.12492	0.189201	0.201077	0.146439	0.156374
a75	0.0205185	0.0218618	0.0324033	0.0558831	0.0908728	0.165695	0.213274	0.187322	0.212169
a56	0.00615677	0.00735618	0.0120223	0.0282431	0.0536567	0.134798	0.230141	0.233286	0.29434
a61	0.00610544	0.00714891	0.0113798	0.0234049	0.0443417	0.113777	0.218835	0.256677	0.31833
a21	0.00418909	0.00504641	0.00754182	0.013978	0.0258232	0.0670606	0.154258	0.263201	0.458902
a6	0.00150071	0.00162367	0.00247487	0.00522959	0.0107252	0.0335274	0.105926	0.252406	0.586587
a36	0.000598555	0.00090922	0.00150071	0.00390689	0.00870752	0.0282562	0.093139	0.234366	0.628616
a37	0.00336236	0.00268915	0.00313611	0.00343359	0.00631107	0.02114	0.0828659	0.247754	0.629308
a11	0.00280451	0.00275808	0.0030499	0.00362719	0.00649363	0.0211313	0.0768666	0.233744	0.649525
a13	0.00390698	0.00423437	0.00466558	0.00512848	0.00940996	0.0282559	0.0845531	0.225941	0.633904
a9	0.00824996	0.00918195	0.0105426	0.0110786	0.0171088	0.0388984	0.0916728	0.222689	0.590578
a82	0.0387718	0.037311	0.0358977	0.0303292	0.031533	0.0478393	0.0838459	0.195114	0.499358
a97	0.151176	0.109048	0.0773201	0.0489119	0.0385912	0.0472837	0.0727691	0.154455	0.300446
a87	0.184598	0.133307	0.0970465	0.0618334	0.0467163	0.0504259	0.0848859	0.158856	0.182331
a97	0.173847	0.119095	0.0910499	0.0670861	0.0617522	0.072434	0.105963	0.153991	0.154782
a10	0.161365	0.110684	0.091141	0.075602	0.0808693	0.0869904	0.10589	0.133484	0.153974
a9	0.132237	0.10944	0.0974297	0.0890782	0.0958347	0.0922175	0.0997339	0.119435	0.164593
</S>	0.115128	0.112904	0.107941	0.103952	0.103355	0.0917564	0.095207	0.112411	0.157345
