 	ils	n'	ont	pas	voulu	s'	aventurer	en	brousse	</S>
a23	0.201001	0.106991	0.0691371	0.0490962	0.0572514	0.0618947	0.0701697	0.105858	0.150807	0.127793
a99	0.239085	0.155752	0.117296	0.0956667	0.114791	0.0956524	0.071472	0.0397563	0.0338109	0.0367174
a98	0.136153	0.141793	0.134686	0.131398	0.159679	0.110756	0.06858	0.0336229	0.0368965	0.0464343
a14	0.277331	0.240255	0.163341	0.120921	0.104453	0.0544233	0.0217823	0.00738952	0.0053595	0.00474355
a41	0.200924	0.20642	0.1675	0.14358	0.132719	0.0899432	0.0418562	0.00872651	0.0045119	0.00381877
a18	0.176234	0.185693	0.168425	0.151157	0.14809	0.101108	0.047433	0.0104727	0.00592578	0.00546148
a38	0.14883	0.171255	0.172196	0.168217	0.161228	0.106569	0.0447427	0.0115151	0.00768441	0.00776211
a62	0.125254	0.141588	0.158358	0.168441	0.173966	0.134713	0.0612408	0.0155948	0.0103004	0.0105431
a98	0.113489	0.128441	0.146943	0.159471	0.158013	0.14624	0.0829299	0.0292125	0.0180034	0.017257
a9	0.0653132	0.0818826	0.110759	0.152608	0.18717	0.193626	0.105115	0.0352733	0.0297024	0.0385498
a38	0.0504626	0.0602978	0.0857199	0.13205	0.19184	0.201965	0.0972339	0.0480352	0.0529092	0.0794864
a90	0.0595106	0.0683715	0.0958758	0.132371	0.166731	0.190184	0.112605	0.0543596	0.0526676	0.0673244
a32	0.075505	0.0807318	0.104503	0.122369	0.141998	0.159652	0.122132	0.072534	0.0598329	0.0607422
a90	0.056346	0.0565331	0.0715917	0.086471	0.10382	0.148893	0.142053	0.119694	0.109629	0.104968
a98	0.062423	0.058136	0.0655692	0.0740217	0.086849	0.139813	0.137904	0.121465	0.121319	0.1325
a90	0.048517	0.0402011	0.0417094	0.0493437	0.053157	0.0888029	0.108916	0.144086	0.190731	0.234536
a76	0.0533063	0.0433892	0.045722	0.0541326	0.0547919	0.082493	0.110861	0.152577	0.183536	0.219191
a98	0.0311738	0.0258148	0.0265659	0.036454	0.0325444	0.0446524	0.0624592	0.1536	0.252272	0.334464
a11	0.0214529	0.017035	0.0186195	0.0261592	0.0270107	0.0364415	0.0538928	0.154072	0.278855	0.366461
a75	0.0178116	0.0154587	0.0175323	0.0281196	0.0264	0.0350021	0.0410991	0.103535	0.259033	0.456008
a41	0.0234591	0.0186649	0.0195847	0.0278268	0.0223907	0.0236683	0.0241372	0.0890214	0.277301	0.473946
a94	0.0116756	0.00922318	0.0102377	0.0144809	0.0117504	0.0138233	0.0166356	0.0756835	0.288539	0.547951
a96	0.0117605	0.0106574	0.0121777	0.0187515	0.0144183	0.0163422	0.0170953	0.0585533	0.24102	0.599224
a62	0.0154517	0.0132194	0.0147845	0.0209627	0.0164748	0.0166087	0.0160899	0.0432889	0.192449	0.65067
a24	0.00919008	0.00822742	0.00930068	0.0135381	0.0128748	0.0128242	0.0137878	0.046665	0.19891	0.674682
a41	0.00616833	0.00504106	0.00543988	0.00798105	0.00766357	0.00858441	0.0109013	0.0479978	0.222582	0.67764
a32	0.00478908	0.0039639	0.00448949	0.00661644	0.00591538	0.00704814	0.00872154	0.0506921	0.249566	0.658198
a75	0.00591447	0.0046805	0.00568249	0.0107497	0.0116999	0.0123786	0.0116402	0.043798	0.190733	0.702723
a41	0.0106664	0.00796419	0.00898635	0.0136487	0.0124194	0.0131296	0.0134767	0.0536453	0.239428	0.626635
a27	0.0107043	0.00811862	0.00952324	0.0143666	0.0125475	0.0123835	0.0124628	0.052221	0.213518	0.654154
a40	0.00524496	0.00345977	0.00415037	0.00725455	0.00978015	0.0106363	0.0121112	0.0579986	0.201859	0.687505
a76	0.0107862	0.00784549	0.00984756	0.0150711	0.014068	0.0148437	0.0151196	0.0594782	0.213619	0.639321
a69	0.0271476	0.0192003	0.0222622	0.0277334	0.0236985	0.0218942	0.0186791	0.0643032	0.205065	0.570017
a58	0.00715309	0.0061959	0.00841844	0.0157929	0.0161634	0.0176997	0.0159906	0.050989	0.192833	0.668764
a40	0.00512537	0.00312898	0.00374349	0.00534865	0.00782439	0.0114346	0.0142331	0.0578588	0.198059	0.693243
a98	0.00998602	0.00733271	0.00889684	0.0112286	0.0123751	0.0178862	0.020725	0.0876078	0.242519	0.581442
a73	0.0102323	0.00781572	0.00919741	0.010061	0.0107141	0.0155925	0.0201545	0.0707921	0.209653	0.635788
a84	0.0170924	0.0120746	0.0140497	0.0154982	0.0153455	0.0221044	0.0296142	0.0847449	0.214542	0.574934
a87	0.0190464	0.0111192	0.0119196	0.0123463	0.0141833	0.023064	0.0358033	0.107002	0.224056	0.541459
</S>	0.0317686	0.0218237	0.0219029	0.0194554	0.0154709	0.0283172	0.0389099	0.128661	0.247371	0.44632
