 	le	forgeron	fabrique	une	houe	</S>
a87	0.489776	0.25838	0.128574	0.0531656	0.0316855	0.0384187
a23	0.537603	0.229767	0.116246	0.0557318	0.0307251	0.0299267
a30	0.522018	0.232356	0.0827952	0.0504704	0.0448885	0.0674725
a13	0.552082	0.253548	0.0859082	0.0415567	0.0284248	0.0384804
a57	0.444885	0.280328	0.134225	0.0599216	0.0386072	0.0420322
a4	0.357924	0.30881	0.180934	0.0862999	0.037441	0.0285907
a53	0.14234	0.20175	0.228792	0.220084	0.124515	0.082519
a98	0.119545	0.175417	0.225655	0.240839	0.14783	0.0907136
a85	0.0671472	0.107919	0.191308	0.265421	0.215043	0.153162
a47	0.0842864	0.0995566	0.13972	0.209339	0.235144	0.231955
a36	0.0603524	0.0601189	0.0802892	0.162436	0.267884	0.368919
a75	0.092451	0.0839127	0.0772019	0.125487	0.228162	0.392786
a21	0.0431981	0.0416773	0.0666399	0.143623	0.279091	0.425771
a5	0.0279554	0.0292066	0.0488848	0.112512	0.282443	0.498998
a56	0.0223679	0.0211693	0.0288637	0.0787391	0.231867	0.616993
a21	0.0107937	0.0110908	0.0176705	0.0540685	0.195931	0.710446
a12	0.00772816	0.00793991	0.0132269	0.0406389	0.173788	0.756678
a18	0.0070661	0.00780098	0.013229	0.0366106	0.169471	0.765822
a25	0.0133252	0.0124165	0.030997	0.0762847	0.221477	0.6455
a82	0.0505779	0.0406298	0.0695529	0.128451	0.246229	0.46456
a87	0.369996	0.178087	0.118489	0.101764	0.0969754	0.134688
a23	0.321032	0.191367	0.147963	0.117521	0.0934936	0.128624
a87	0.188722	0.132278	0.111412	0.0987455	0.122981	0.345861
</S>	0.0201598	0.0161337	0.025035	0.0565949	0.20321	0.678867
