 	les	sorciers	envoûtent	les	gens	</S>
a66	0.266366	0.421165	0.258661	0.0339741	0.0121834	0.00765016
a87	0.612441	0.318104	0.0571824	0.00586089	0.00299011	0.00342149
a23	0.589772	0.326083	0.0589305	0.00938584	0.00734571	0.00848289
a40	0.500556	0.331743	0.0753615	0.0190075	0.0250271	0.0483054
a5	0.3795	0.27149	0.101118	0.0632911	0.0779238	0.106678
a36	0.318144	0.386329	0.203709	0.0492638	0.0236903	0.0188636
a61	0.28089	0.237959	0.253696	0.138139	0.051911	0.0374056
a34	0.183447	0.185612	0.331901	0.220954	0.0493357	0.0287505
a98	0.130303	0.173168	0.398764	0.22882	0.0425815	0.026362
a15	0.072143	0.169415	0.3547	0.292678	0.072044	0.0390205
a98	0.0922544	0.188015	0.323572	0.250269	0.085308	0.0605815
a15	0.0791145	0.131474	0.290064	0.286959	0.119799	0.0925892
a36	0.0597354	0.105124	0.259063	0.303217	0.155039	0.117823
a5	0.0787853	0.112401	0.202132	0.24802	0.156312	0.202351
a98	0.0692566	0.115836	0.227246	0.236636	0.162458	0.188566
a92	0.0111698	0.0268588	0.145935	0.305921	0.265452	0.244663
a5	0.00963504	0.0179183	0.0505359	0.171708	0.323747	0.426456
a43	0.0143743	0.0178728	0.0306454	0.102173	0.296281	0.538654
a56	0.00590861	0.00655224	0.0106552	0.0490555	0.269895	0.657934
a34	0.00286903	0.00340881	0.0056339	0.023851	0.212188	0.752049
a96	0.00142225	0.00198915	0.00374469	0.0234548	0.209779	0.75961
a62	0.00108827	0.00170013	0.00464374	0.0259309	0.219172	0.747465
a88	0.00127815	0.002294	0.00887161	0.0405713	0.241218	0.705767
a0	0.000858118	0.00137759	0.00717456	0.033827	0.211698	0.745065
a9	0.00530739	0.00743846	0.0320694	0.0701027	0.259179	0.625903
a10	0.14259	0.12273	0.0898586	0.0949186	0.196256	0.353647
a87	0.351717	0.281765	0.09341	0.0459	0.0901986	0.137009
a99	0.324356	0.294656	0.175027	0.0523746	0.0696349	0.0839509
a87	0.19436	0.131079	0.12538	0.0744888	0.153828	0.320865
a23	0.157925	0.148832	0.167675	0.084388	0.152902	0.288279
a99	0.0905201	0.0422651	0.0443643	0.053518	0.182406	0.586927
a97	0.0531117	0.045838	0.0722497	0.0824225	0.210499	0.535879
a87	0.0365987	0.0441615	0.0472806	0.0522882	0.183156	0.636515
</S>	0.0860391	0.117824	0.122518	0.0669216	0.147542	0.459154
